attribute_name,unit
be7_unit,disintegrations_per_minute_per_gram
be7_unit,becquerelsPerKilogram
bi214_unit,disintegrationsPerMinutePerGram
bi214_unit,becquerel_per_gram
bi214_unit,becquerelsPerKilogram
cs137_unit,counts_per_hour
cs137_unit,countsPerGramDryWeightPerHour
cs137_unit,disintegrations_per_minute_per_gram
cs137_unit,disintegrationsPerMinutePerGram
cs137_unit,becquerelsPerKilogram
cs137_unit,millibecquerel_per_gram
cs137_unit,picoCuries per gram
cs137_unit,picocuriesPerGram
pb210_unit,disintegrations_per_minute_per_gram
pb210_unit,becquerelsPerKilogram
pb210_unit,disintegrationsPerMinutePerGram
pb210_unit,decaysPerMinutePerGram
pb210_unit,becquerel_per_gram
pb210_unit,distintegrations per minute per gram
pb210_unit,disintegrations per minute per gram
pb210_unit,picocuriesPerGram
pb214_unit,becquerelsPerKilogram
pb214_unit,disintegrationsPerMinutePerGram
pb214_unit,becquerel_per_gram
ra226_unit,becquerelsPerKilogram
ra226_unit,decaysPerMinutePerGram
ra226_unit,disintegrations_per_minute_per_gram
ra226_unit,disintegrationsPerMinutePerGram
