lat_long,n,core_ids,study_ids,num_studies
"-0.637209, -47.561023",6,"S0L2MG1, S0L2MG2, S0L2MG3",Rovai_et_al_2022,1
"-0.667411, -48.0314",6,"S0L1MG1, S0L1MG2, S0L1MG3",Rovai_et_al_2022,1
"-0.6758333333333333, 109.36138888888888",2,M0349,Murdiyarso_et_al_2015,1
"-0.700967, -47.11727",6,"S0L3MG1, S0L3MG2, S0L3MG3",Rovai_et_al_2022,1
"-1.573506, 131.885747",2,M0352,Murdiyarso_et_al_2015,1
"-12.519453, 130.904907",2,M1086,Sanders_et_al_2016_JGR_Biogeoscience,1
"-12.519519, 130.905125",2,M1085,Sanders_et_al_2016_JGR_Biogeoscience,1
"-12.51958, 130.905362",2,M1084,Sanders_et_al_2016_JGR_Biogeoscience,1
"-12.519602, 130.905585",2,M1083,Sanders_et_al_2016_JGR_Biogeoscience,1
"-12.519636, 130.905805",2,M1082,Sanders_et_al_2016_JGR_Biogeoscience,1
"-12.519661, 130.906031",2,M1081,Sanders_et_al_2016_JGR_Biogeoscience,1
"-13.45212758, 48.6068987",2,M0979,Jones_et_al_2016,1
"-13.45218855, 48.61236306",2,M0978,Jones_et_al_2016,1
"-13.4522, 48.6235",2,M0998,Jones_et_al_2016,1
"-13.4524, 48.6264",2,M0999,Jones_et_al_2016,1
"-13.454386, -38.89258",6,"S13L2MG1, S13L2MG2, S13L2MG3",Rovai_et_al_2022,1
"-13.4554, 48.6456",2,M1000,Jones_et_al_2016,1
"-13.4575, 48.5928",2,M0992,Jones_et_al_2016,1
"-13.4576, 48.6067",2,M0996,Jones_et_al_2016,1
"-13.4578, 48.6289",2,M0982,Jones_et_al_2016,1
"-13.4588, 48.5916",2,M0991,Jones_et_al_2016,1
"-13.4601, 48.593",2,M0993,Jones_et_al_2016,1
"-13.46047755, 48.63184299",2,M0980,Jones_et_al_2016,1
"-13.4606, 48.6401",2,M0987,Jones_et_al_2016,1
"-13.463, 48.6068",2,M0997,Jones_et_al_2016,1
"-13.463, 48.6456",2,M0985,Jones_et_al_2016,1
"-13.4631, 48.6125",2,M0988,Jones_et_al_2016,1
"-13.4632, 48.6152",2,M0989,Jones_et_al_2016,1
"-13.4633, 48.6427",2,M0986,Jones_et_al_2016,1
"-13.4655, 48.6096",2,M0990,Jones_et_al_2016,1
"-13.4656, 48.5878",2,M0994,Jones_et_al_2016,1
"-13.46595091, 48.63449413",2,M0981,Jones_et_al_2016,1
"-13.4679, 48.5876",2,M0995,Jones_et_al_2016,1
"-13.473796, -38.906864",6,"S13L3MG1, S13L3MG2, S13L3MG3",Rovai_et_al_2022,1
"-13.4742, 48.6456",2,M0983,Jones_et_al_2016,1
"-13.477, 48.6454",2,M0984,Jones_et_al_2016,1
"-13.493223, -38.911237",6,"S13L1MG1, S13L1MG2, S13L1MG3",Rovai_et_al_2022,1
"-13.5262, 48.4456",2,M1010,Jones_et_al_2016,1
"-13.5268, 48.476",2,M1003,Jones_et_al_2016,1
"-13.5377, 48.4868",2,M1007,Jones_et_al_2016,1
"-13.5396, 48.4843",2,M1009,Jones_et_al_2016,1
"-13.5404, 48.4871",2,M1008,Jones_et_al_2016,1
"-13.5429, 48.4536",2,M1013,Jones_et_al_2016,1
"-13.5454, 48.451",2,M1011,Jones_et_al_2016,1
"-13.5485, 48.4786",2,M1020,Jones_et_al_2016,1
"-13.5486, 48.484",2,M1021,Jones_et_al_2016,1
"-13.5535, 48.4452",2,M1017,Jones_et_al_2016,1
"-13.5535, 48.4508",2,M1018,Jones_et_al_2016,1
"-13.5536, 48.4533",2,M1019,Jones_et_al_2016,1
"-13.5538, 48.4589",2,M1012,Jones_et_al_2016,1
"-13.5564, 48.459",2,M1023,Jones_et_al_2016,1
"-13.5592, 48.4618",2,M1024,Jones_et_al_2016,1
"-13.5643, 48.445",2,M1014,Jones_et_al_2016,1
"-13.5676, 48.4837",2,M1002,Jones_et_al_2016,1
"-13.5698, 48.4478",2,M1016,Jones_et_al_2016,1
"-13.5702, 48.481",2,M1001,Jones_et_al_2016,1
"-13.5703, 48.4797",2,M1022,Jones_et_al_2016,1
"-13.5726, 48.445",2,M1015,Jones_et_al_2016,1
"-13.5726, 48.4589",2,M1005,Jones_et_al_2016,1
"-13.5752, 48.4478",2,M1004,Jones_et_al_2016,1
"-13.5779, 48.445",2,M1006,Jones_et_al_2016,1
"-14.680555555555555, -39.07416666666667",2,M0527,Gomes_et_al_2016,1
"-14.680833333333332, -39.075",2,M0526,Gomes_et_al_2016,1
"-14.681111111111111, -39.074444444444445",2,M0525,Gomes_et_al_2016,1
"-14.718333333333334, -39.07027777777778",2,M0528,Gomes_et_al_2016,1
"-14.758333333333333, -39.06222222222222",2,M0529,Gomes_et_al_2016,1
"-15.43797, 47.22014",2,M1034,Blue_Ventures_Unpublished,1
"-15.44011, 47.22237",2,M1035,Blue_Ventures_Unpublished,1
"-15.4573, 47.09234",2,M1046,Blue_Ventures_Unpublished,1
"-15.46076, 47.10859",2,M1033,Blue_Ventures_Unpublished,1
"-15.46176, 47.09236",2,M1045,Blue_Ventures_Unpublished,1
"-15.46512, 47.10639",2,M1032,Blue_Ventures_Unpublished,1
"-15.46643, 47.08777",2,M1043,Blue_Ventures_Unpublished,1
"-15.46738, 47.09747",2,M1031,Blue_Ventures_Unpublished,1
"-15.46853, 47.20257",2,M1069,Blue_Ventures_Unpublished,1
"-15.47078, 47.19588",2,M1068,Blue_Ventures_Unpublished,1
"-15.47091, 47.09248",2,M1044,Blue_Ventures_Unpublished,1
"-15.47285, 47.20491",2,M1067,Blue_Ventures_Unpublished,1
"-15.47385, 47.11095",2,M1026,Blue_Ventures_Unpublished,1
"-15.4759, 47.11321",2,M1025,Blue_Ventures_Unpublished,1
