lat_long,n,core_ids,study_ids,num_studies
"-18.358643,146.14801",2,"M0055, M0056",Matsui_1998,1
"-18.358774,146.145808",2,"M0053, M0054",Matsui_1998,1
"-18.40913,146.21997",3,"M0066, M0067, M0068",Matsui_1998,1
"-18.421099,146.193129",3,"M0063, M0064, M0065",Matsui_1998,1
"-18.42286,146.19197",3,"M0060, M0061, M0062",Matsui_1998,1
"-18.424325,146.195218",3,"M0057, M0058, M0059",Matsui_1998,1
"-18.743,36.119",3,"15_1, 15_2, 15_6",Trettin_et_al_2017,1
"-18.743,36.128",6,"16_1, 16_2, 16_3, 16_4, 16_5, 16_6",Trettin_et_al_2017,1
"-18.744,36.112",6,"13_1, 13_2, 13_3, 13_4, 13_5, 13_6",Trettin_et_al_2017,1
"-18.746,36.21",6,"32B_1, 32B_2, 32B_3, 32B_4, 32B_5, 32B_6",Trettin_et_al_2017,1
"-18.746,36.223",6,"36_1, 36_2, 36_3, 36_4, 36_5, 36_6",Trettin_et_al_2017,1
"-18.747,36.216",6,"35_1, 35_2, 35_3, 35_4, 35_5, 35_6",Trettin_et_al_2017,1
"-18.75,178.5",2,"Yamamuro_et_al_1993_1, Yamamuro_et_al_1993_2",Yamamuro_et_al_1993,1
"-18.75,36.115",6,"17_1, 17_2, 17_3, 17_4, 17_5, 17_6",Trettin_et_al_2017,1
"-18.752,36.214",6,"37_1, 37_2, 37_3, 37_4, 37_5, 37_6",Trettin_et_al_2017,1
"-18.76,36.144",5,"25_2, 25_3, 25_4, 25_5, 25_6",Trettin_et_al_2017,1
"-18.762,36.139",6,"26_1, 26_2, 26_3, 26_4, 26_5, 26_6",Trettin_et_al_2017,1
"-18.766,36.15",5,"27_1, 27_2, 27_3, 27_5, 27_6",Trettin_et_al_2017,1
"-18.767,36.151",6,"29_1, 29_2, 29_3, 29_4, 29_5, 29_6",Trettin_et_al_2017,1
"-18.798088,36.279556",3,"M0364, M0365, M0366",Stringer_et_al_2015,1
"-18.808457,36.3035",5,"806_1, 806_2, 806_3, 806_4, 806_5",Trettin_et_al_2017,1
"-18.812733,36.128404",5,"9008_1, 9008_2, 9008_3, 9008_4, 9008_5",Trettin_et_al_2017,1
"-18.818504,36.24601",5,"864_1, 864_2, 864_3, 864_4, 864_5",Trettin_et_al_2017,1
"-18.822449,36.132373",5,"9007_1, 9007_2, 9007_3, 9007_4, 9007_5",Trettin_et_al_2017,1
"-18.823362,36.211684",4,"9024_1, 9024_2, 9024_3, 9024_4",Trettin_et_al_2017,1
"-18.824439,36.218115",5,"9005_1, 9005_2, 9005_3, 9005_4, 9005_5",Trettin_et_al_2017,1
"-18.824673,36.194916",2,"M0367, M0368",Stringer_et_al_2015,1
"-18.831602,36.264041",5,"9001_1, 9001_2, 9001_3, 9001_4, 9001_5",Trettin_et_al_2017,1
"-18.831799,36.240201",5,"1001_1, 1001_2, 1001_3, 1001_4, 1001_5",Trettin_et_al_2017,1
"-18.833962,36.18594",4,"9004_1, 9004_3, 9004_4, 9004_5",Trettin_et_al_2017,1
"-18.840148,36.264355",5,"1079_1, 1079_2, 1079_3, 1079_4, 1079_5",Trettin_et_al_2017,1
"-18.84346,36.132076",5,"9022_1, 9022_2, 9022_3, 9022_4, 9022_5",Trettin_et_al_2017,1
"-18.845133,36.118808",5,"9009_1, 9009_2, 9009_3, 9009_4, 9009_5",Trettin_et_al_2017,1
"-18.845148,36.213549",4,"1113_1, 1113_2, 1113_3, 1113_4",Trettin_et_al_2017,1
"-18.845914,36.306805",5,"1130_1, 1130_2, 1130_3, 1130_4, 1130_5",Trettin_et_al_2017,1
"-18.850342,36.26043",4,"9002_1, 9002_2, 9002_3, 9002_4",Trettin_et_al_2017,1
"-18.851282,36.278995",5,"9025_1, 9025_2, 9025_3, 9025_4, 9025_5",Trettin_et_al_2017,1
"-18.854252,36.123515",5,"1216_1, 1216_2, 1216_3, 1216_4, 1216_5",Trettin_et_al_2017,1
"-18.854268,36.237751",5,"1219_1, 1219_2, 1219_3, 1219_4, 1219_5",Trettin_et_al_2017,1
"-18.860066,36.269428",5,"1254_1, 1254_2, 1254_3, 1254_4, 1254_5",Trettin_et_al_2017,1
"-18.860388,36.166532",5,"9027_1, 9027_2, 9027_3, 9027_4, 9027_5",Trettin_et_al_2017,1
"-18.864463,36.221288",5,"9020_1, 9020_2, 9020_3, 9020_4, 9020_5",Trettin_et_al_2017,1
"-18.86529,36.141464",5,"1285_1, 1285_2, 1285_3, 1285_4, 1285_5",Trettin_et_al_2017,1
"-18.865541,36.182005",5,"9018_1, 9018_2, 9018_3, 9018_4, 9018_5",Trettin_et_al_2017,1
"-18.868526,36.282128",2,"1305_1, 1305_4",Trettin_et_al_2017,1
"-18.868706,36.141405",5,"9021_1, 9021_2, 9021_3, 9021_4, 9021_5",Trettin_et_al_2017,1
"-18.869369,36.186352",5,"9017_1, 9017_2, 9017_3, 9017_4, 9017_5",Trettin_et_al_2017,1
"-18.870643,36.270942",4,"9006_1, 9006_2, 9006_3, 9006_5",Trettin_et_al_2017,1
"-18.870943,36.20356",5,"1314_1, 1314_2, 1314_3, 1314_4, 1314_5",Trettin_et_al_2017,1
"-18.871772,36.280204",5,"1317_1, 1317_2, 1317_3, 1317_4, 1317_5",Trettin_et_al_2017,1
"-18.873529,36.21079",5,"9013_1, 9013_2, 9013_3, 9013_4, 9013_5",Trettin_et_al_2017,1
"-18.875474,36.275058",5,"9003_1, 9003_2, 9003_3, 9003_4, 9003_5",Trettin_et_al_2017,1
"-18.87926,36.152707",5,"1359_1, 1359_2, 1359_3, 1359_4, 1359_5",Trettin_et_al_2017,1
"-18.881049,36.185503",5,"9019_1, 9019_2, 9019_3, 9019_4, 9019_5",Trettin_et_al_2017,1
"-18.881318,36.205854",5,"9014_1, 9014_2, 9014_3, 9014_4, 9014_5",Trettin_et_al_2017,1
"-18.881442,36.168942",5,"1361_1, 1361_2, 1361_3, 1361_4, 1361_5",Trettin_et_al_2017,1
"-18.88302,36.174246",5,"1382_1, 1382_2, 1382_3, 1382_4, 1382_5",Trettin_et_al_2017,1
