study_id,table,missing_attributes
Abino_et_al_2014,cores,position_method
Adame_et_al_2013,cores,position_method
Adame_et_al_2015,cores,position_method
AfSIS_Sentinel_Sites,cores,position_method
AfSPDB,cores,position_method
Agawin_et_al_1996,cores,year
Agawin_et_al_1996,cores,position_method
Ajonina_et_al_2014,cores,position_method
Al-Rousan_et_al_2005,cores,year
Al-Rousan_et_al_2005,cores,position_method
Allen_et_al_2007,cores,position_method
Along_et_al_2000_MEPS,cores,position_method
Alongi_1996,cores,position_method
Alongi_et_al_1999,cores,position_method
Alongi_et_al_2000,cores,position_method
Alongi_et_al_2001,cores,position_method
Alongi_et_al_2004,cores,position_method
Alongi_et_al_2005,cores,position_method
Alongi_et_al_2008,cores,position_method
Amon_and_Herndl_1991,cores,year
Amon_and_Herndl_1991,cores,position_method
Andreetta_et_al_2014,cores,position_method
Andreetta_et_al_2016,cores,position_method
Apostolaki_unpublished,cores,year
Apostolaki_unpublished,cores,position_method
Ashton_and_Macintosh_2002,cores,position_method
AU_NatSoil,cores,position_method
Banerjee_et_al_2012,cores,position_method
Barron_et_al_2004,cores,year
Barron_et_al_2004,cores,position_method
Bhomia_et_al_2016_Honduras,cores,position_method
Bhomia_et_al_2016_India,cores,position_method
Bianchi_et_al_2012,cores,position_method
Blue_Ventures_Unpublished,cores,position_method
Borg_et_al_2010,cores,year
Borg_et_al_2010,cores,position_method
Boschker_et_al_2000,cores,year
Boschker_et_al_2000,cores,position_method
Bouillon_et_al_2003,cores,position_method
Bouillon_et_al_2004,cores,year
Bouillon_et_al_2004,cores,position_method
Bouillon_et_al_2004_FEMS,cores,position_method
Boyd_2012,cores,position_method
Boyd_and_Sommerfield_2016,cores,position_method
Breithaupt_et_al_2017,cores,year
Breithaupt_et_al_2017,cores,position_method
Brunskill_et_al_2002,cores,position_method
Brunskill_et_al_2004,cores,position_method
Bukoski_et_al_2017,cores,position_method
Bulmer_et_al_2016,cores,position_method
Burns_and_Swart_1992,cores,year
Burns_and_Swart_1992,cores,position_method
Buzzelli_1998,cores,year
Buzzelli_1998,cores,position_method
C._Sanders_Submitted_to_ECSS,cores,position_method
C._Sanders_Unpublished,cores,position_method
Cahoon_and_Lynch_1997,cores,position_method
Callaway_et_al_1997,cores,position_method
Calleja_et_al_2007,cores,year
Calleja_et_al_2007,cores,position_method
Cardona_and_Botero_1998,cores,position_method
Carruthers_et_al_2005,cores,year
Carruthers_et_al_2005,cores,position_method
Ceron-Breton_et_al_2011,cores,position_method
Chanda_et_al_2013,cores,position_method
Chen_and_Twilley_1999,cores,position_method
Chen_et_al_2010,cores,position_method
Chen_et_al_2012,cores,position_method
Chen_et_al_2014,cores,position_method
Chen_et_al_2016,cores,position_method
Chmura_et_al_2003,cores,position_method
Cifuentes_Unpublished,cores,position_method
Cochran_et_al_1998,cores,year
Cochran_et_al_1998,cores,position_method
Copertino_unpublished,cores,year
Copertino_unpublished,cores,latitude
Copertino_unpublished,cores,longitude
Copertino_unpublished,cores,position_method
Cotner_et_al_2004,cores,year
Cotner_et_al_2004,cores,position_method
Craft_2007,cores,position_method
CRMS_Database,cores,year
CRMS_Database,cores,position_method
Danovaro_1996,cores,year
Danovaro_1996,cores,position_method
Danovaro_and_Fabiano_1995,cores,year
Danovaro_and_Fabiano_1995,cores,position_method
Danovaro_and_Gambi_2002,cores,year
Danovaro_and_Gambi_2002,cores,position_method
Danovaro_et_al_1994,cores,year
Danovaro_et_al_1994,cores,position_method
De_Falco_et_al_2006,cores,year
De_Falco_et_al_2006,cores,position_method
De_Iongh_et_al_1995,cores,year
De_Iongh_et_al_1995,cores,position_method
De_Troch_et_al_2006,cores,year
De_Troch_et_al_2006,cores,position_method
DelVecchia_et_al_2014,cores,position_method
Devereux_et_al_2011,cores,year
Devereux_et_al_2011,cores,position_method
Dissanayake_and_Chandrasekara_2014,cores,position_method
Donato_et_al_2011,cores,position_method
Donato_et_al_2012,cores,position_method
Drake_et_al_2015,cores,year
Drake_et_al_2015,cores,position_method
Drexler_et_al_2009,cores,year
Drexler_et_al_2013,cores,position_method
Drexler_et_al_2019,cores,position_method
Duncan_et_al_2016,cores,position_method
Dung_et_al_2016,cores,position_method
Dutta_et_al_2013,cores,position_method
Eid_and_Shaltout_2016_Egypt,cores,latitude
Eid_and_Shaltout_2016_Egypt,cores,longitude
Eid_and_Shaltout_2016_Egypt,cores,position_method
Eid_et_al_2016_Saudi_Arabia,cores,latitude
Eid_et_al_2016_Saudi_Arabia,cores,longitude
Eid_et_al_2016_Saudi_Arabia,cores,position_method
Elsey_Quirk_et_al_2011,cores,year
Elsey_Quirk_et_al_2011,cores,position_method
Erftemeijer_and_Middelburg_1993,cores,year
Erftemeijer_and_Middelburg_1993,cores,position_method
Eyre_and_Ferguson_2002,cores,year
Eyre_and_Ferguson_2002,cores,position_method
Ezcurra_et_al_2016,cores,position_method
