study_id,site_id,core_id,latitude,longitude
Thom_1992,NA,SB1,NA,NA
Thom_1992,South_Slough,SS1,NA,NA
Schile-Beers_and_Megonigal_2017,Bu Tinah Shamal,Bu_Tinah_Shamal_mangrove_2,NA,NA
Poppe_et_al_2019,Snohomish_North_Ebey,NE_B,NA,NA
Poppe_et_al_2019,Snohomish_Spencer_Island,SP_B,NA,NA
Marot_et_al_2020,Grand Bay,16CCT03_GB200G,NA,NA
Marot_et_al_2020,Grand Bay,16CCT03_GB200G_2,NA,NA
Marot_et_al_2020,Grand Bay,16CCT03_GB200G_3,NA,NA
Drexler_et_al_2013,Coastal_EDU_Field,Coastal_EDU_Field_2,NA,NA
Belshe_et_al_2019,SM,SM10,NA,NA
