study_id,site_id,species_code,code_type
Allen_et_al_2022,Naticoke River Marsh 1,Juncus roemerianus,Genus species
Allen_et_al_2022,Naticoke River Marsh 1,Spartina alterniflora,Genus species
Allen_et_al_2022,Naticoke River Marsh 1,Distichlis spicata,Genus species
Allen_et_al_2022,Naticoke River Marsh 1,Spartina patens,Genus species
Allen_et_al_2022,Naticoke River Marsh 1,Bolboschoenus robustus,Genus species
Allen_et_al_2022,Naticoke River Marsh 2,Spartina alterniflora,Genus species
Allen_et_al_2022,Naticoke River Marsh 2,Spartina patens,Genus species
Allen_et_al_2022,Naticoke River Marsh 2,Spartina cynosuroides,Genus species
Allen_et_al_2022,Naticoke River Marsh 2,Distichlis spicata,Genus species
Allen_et_al_2022,Naticoke River Marsh 2,Bolboschoenus robustus,Genus species
Allen_et_al_2022,Naticoke River Marsh 3,Peltandra virginica,Genus species
Allen_et_al_2022,Naticoke River Marsh 3,Mikania scandens,Genus species
Allen_et_al_2022,Naticoke River Marsh 3,Bidens laevis,Genus species
Allen_et_al_2022,Naticoke River Marsh 3,Typha spp.,Genus
Allen_et_al_2022,Naticoke River Marsh 3,Polygonum punctatum,Genus species
Allen_et_al_2022,Naticoke River Marsh 4,Polygonum arifolium,Genus species
Allen_et_al_2022,Naticoke River Marsh 4,Impatiens capensis,Genus species
Allen_et_al_2022,Naticoke River Marsh 4,Bolboschoenus fluviatilis,Genus species
Allen_et_al_2022,Naticoke River Marsh 4,Peltandra virginica,Genus species
Allen_et_al_2022,Naticoke River Marsh 4,Pilea pumila,Genus species
Allen_et_al_2022,Naticoke River Marsh 5,Peltandra virginica,Genus species
Allen_et_al_2022,Naticoke River Marsh 5,Polygonum arifolium,Genus species
Allen_et_al_2022,Naticoke River Marsh 5,Zizania aquatica,Genus species
Allen_et_al_2022,Naticoke River Marsh 5,Impatiens capensis,Genus species
Allen_et_al_2022,Naticoke River Marsh 5,Nuphar lutea,Genus species
