site_id,core_id,species_code,genus,species
Blind Slough Swamp,COL-BLI-TS1,PISI,Picea,sitchensis
Blind Slough Swamp,COL-BLI-TS1,COSE16,Cornus,sericea
Blind Slough Swamp,COL-BLI-TS1,POMU,Polystichum,munitum
Blind Slough Swamp,COL-BLI-TS2,PISI,Picea,sitchensis
Blind Slough Swamp,COL-BLI-TS2,ACCI,Acer,circinatum
Blind Slough Swamp,COL-BLI-TS2,POMU,Polystichum,munitum
Blind Slough Swamp,COL-BLI-TS3,THPL,Thuja,plicata
Blind Slough Swamp,COL-BLI-TS3,COSE16,Cornus,sericea
Blind Slough Swamp,COL-BLI-TS3,POMU,Polystichum,munitum
Blind Slough Swamp,COL-BLI-TS4,PISI,Picea,sitchensis
Blind Slough Swamp,COL-BLI-TS4,RUPA,Rubus,parviflorus
Blind Slough Swamp,COL-BLI-TS4,Impatiens sp.,Impatiens,sp.
Blind Slough Swamp,COL-BLI-TS5,PISI,Picea,sitchensis
Blind Slough Swamp,COL-BLI-TS5,SASI2,Salix,sitchensis
Blind Slough Swamp,COL-BLI-TS5,OESA,Oenanthe,sarmentosa
Blind Slough Swamp,COL-BLI-TS6,THPL,Thuja,plicata
Blind Slough Swamp,COL-BLI-TS6,ACCI,Acer,circinatum
Blind Slough Swamp,COL-BLI-TS6,CAOB3,Carex,obnupta
Secret River High Marsh,COL-SEC-HM1,CALY3,Carex,lyngbyei
Secret River High Marsh,COL-SEC-HM2,CALY3,Carex,lyngbyei
Secret River High Marsh,COL-SEC-HM2,PHAR3,Phalaris,arundinacea
Secret River High Marsh,COL-SEC-HM3,CALY3,Carex,lyngbyei
Secret River High Marsh,COL-SEC-HM3,PHAR3,Phalaris,arundinacea
Secret River High Marsh,COL-SEC-HM4,CALY3,Carex,lyngbyei
Secret River High Marsh,COL-SEC-HM5,PHAR3,Phalaris,arundinacea
Secret River High Marsh,COL-SEC-HM6,CALY3,Carex,lyngbyei
Secret River High Marsh,COL-SEC-HM6,SPEU,Sparganium,eurycarpum
Secret River Low Marsh,COL-SEC-LM1,CALY3,Carex,lyngbyei
Secret River Low Marsh,COL-SEC-LM2,CALY3,Carex,lyngbyei
Secret River Low Marsh,COL-SEC-LM2,LIOC,Lilaeopsis,occidentalis
