study_id,bibliography_id,publication_type,bibtype,doi,url,author,keywords,title,publisher,year,copyright,month,journal
Kauffman_et_al_2020,Kauffman_et_al_2020_data,primary,Misc,10.25573/serc.12640172,https://smithsonian.figshare.com/articles/dataset/Dataset_Carbon_stocks_in_seagrass_meadows_emergent_marshes_and_forested_tidal_swamps_of_the_Pacific_Northwest/12640172,{J. Boone Kauffman} and Leila Giovannoni and James Kelly and Nicholas Dunstan and Amy Borde and {Heida Diefenderfer} and Craig Cornu and Christopher Janousek and Jude Apple and Laura Brophy,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, FOS: Agriculture, forestry and fisheries","Dataset: Carbon stocks in seagrass meadows, emergent marshes, and forested tidal swamps of the Pacific Northwest",The Smithsonian Institution,2020,Creative Commons Attribution 4.0 International,aug,NA
Kauffman_et_al_2020,Kauffman_et_al_2020_article,associated,Article,10.1111/gcb.15248,https://doi.org/10.1111/gcb.15248,J. Boone Kauffman and Leila Giovannoni and James Kelly and Nicholas Dunstan and Amy Borde and Heida Diefenderfer and Craig Cornu and Christopher Janousek and Jude Apple and Laura Brophy,NA,"Total ecosystem carbon stocks at the marine-terrestrial interface: Blue carbon of the Pacific Northwest Coast, United States",Wiley,2020,NA,aug,Global Change Biology
