study_id,bibtype,doi,title,author,publisher,year,url,month,volume,pages,journal,number,school,institution
Boyd_and_Sommerfield_2016,Article,10.1016/j.ecoleng.2016.03.045,Marsh accretion and sediment accumulation in a managed tidal wetland complex of Delaware Bay,Brandon M. Boyd and Christopher K. Sommerfield,Elsevier {BV},2016,https://doi.org/10.1016/j.ecoleng.2016.03.045,jul,92,37--46,Ecological Engineering,NA,NA,NA
Unger_et_al_2016,Article,10.1016/j.ecss.2016.10.001,Stability of organic carbon accumulating in Spartina alterniflora-dominated salt marshes of the Mid-Atlantic U.S.,Viktoria Unger and Tracy Elsey-Quirk and Christopher Sommerfield and David Velinsky,Elsevier {BV},2016,https://doi.org/10.1016/j.ecss.2016.10.001,dec,182,179--189,"Estuarine, Coastal and Shelf Science",NA,NA,NA
Boyd_2012,MastersThesis,NA,Comparison of sediment accumulation and accretion in impounded and unimpounded marshes of the Delaware Estuary,Brandon Boyd,NA,2012,http://udspace.udel.edu/handle/19716/12831,NA,NA,NA,NA,NA,University of Delaware,NA
Boyd_et_al_2017,Article,10.1016/j.margeo.2016.11.008,Hydrogeomorphic influences on salt marsh sediment accumulation and accretion in two estuaries of the U.S. Mid-Atlantic coast,Brandon M. Boyd and Christopher K. Sommerfield and Tracy Elsey-Quirk,Elsevier,2017,https://doi.org/10.1016/j.margeo.2016.11.008,NA,383,132--145,Marine Geology,,NA,NA
