study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_sd,total_pb210_activity,total_pb210_activity_sd,ra226_activity,ra226_activity_sd,fraction_organic_matter_modeled,total_pb210_activity_modeled,cs137_activity_modeled,ra226_activity_modeled,th234_activity_modeled,th234_activity,th234_activity_sd,bi214_activity,bi214_activity_sd,bi214_activity_modeled,pb212_activity,pb212_activity_sd,be7_activity,be7_activity_sd,am241_activity,am241_activity_sd,fraction_carbon,refractory_carbon,labile_carbon
Boyd_2012,Blackbird_Creek_Marsh,BBRC1,0,2,0.276949967778505,0.28091,10.04156337,1.332950889,181.3080798,8.228379209,63.26880038,5.871536399,0.28091,181.3080798,10.04156337,63.26880038,21.39175979,21.39175979,3.764949723,41.09650521,2.668604234,41.09650521,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Blackbird_Creek_Marsh,BBRC1,2,4,0.394906834574598,0.2438075585746,NA,NA,NA,NA,NA,NA,0.2438075585746,177.201110132554,14.4157623722168,59.2821296056436,23.8279322764876,NA,NA,NA,NA,38.6532256204465,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Blackbird_Creek_Marsh,BBRC1,4,6,0.411574126852955,0.23069,17.02540009,1.439959211,175.8410381,7.924460146,54.677926,5.387552457,0.23068999999999998,175.8410381,17.02540009,54.677926,26.58708517,26.58708517,3.692650718,38.35935386,2.557290258,38.35935386,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Blackbird_Creek_Marsh,BBRC1,6,8,0.416043304284344,0.252399824276201,NA,NA,NA,NA,NA,NA,0.252399824276201,177.145575402339,17.7008003295997,49.7763993380692,29.3914701067871,NA,NA,NA,NA,41.5620932036606,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Blackbird_Creek_Marsh,BBRC1,8,10,0.401221790904292,0.26721,22.65182726,1.379438199,169.71569,7.697687885,48.64872982,5.183881046,0.26721,169.71569,22.65182726,48.64872982,29.56042364,29.56042364,3.677028306,46.39982871,2.495990786,46.39982871,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Blackbird_Creek_Marsh,BBRC1,10,12,0.386801503721085,0.237929394320596,NA,NA,NA,NA,NA,NA,0.237929394320596,145.250616170591,35.5511916568843,54.3436897308294,25.6031068176141,NA,NA,NA,NA,50.2783275474111,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Blackbird_Creek_Marsh,BBRC1,12,14,0.477583419592763,0.19808,43.54345036,1.598562424,119.1593972,6.534164351,62.06944927,7.003199068,0.19808,119.1593972,43.54345036,62.06944927,23.19089375,23.19089375,3.760685473,50.88170354,2.77873381,50.88170354,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Blackbird_Creek_Marsh,BBRC1,14,16,0.543424134708822,0.185410098441415,NA,NA,NA,NA,NA,NA,0.18541009844141498,106.972199640298,34.8621525153631,66.1754989373631,27.1777141102565,NA,NA,NA,NA,47.5700423004449,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Blackbird_Creek_Marsh,BBRC1,16,18,0.537927870430032,0.18386,18.62497043,1.271584326,100.9938741,7.231660124,65.41721252,6.756707397,0.18386,100.9938741,18.62497043,65.41721252,31.98550676,31.98550676,3.693476531,46.12896994,2.493457835,46.12896994,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boyd_2012,Blackbird_Creek_Marsh,BBRC1,18,20,0.590237708378154,0.171968961913743,NA,NA,NA,NA,NA,NA,0.171968961913743,92.040826889466,6.63363163991349,60.5729195172182,31.7087065213599,NA,NA,NA,NA,51.3005912758093,NA,NA,NA,NA,NA,NA,NA,NA,NA
