ID	COUNTRYID	COMPGRPID	SPECID	COMPID	CITID	CNUM	C
1.0	228.0	100.0	25.0	100.0	100.0	1.0	0.464
2.0	228.0	1.0	5.0	20.0	100.0	1.0	0.463
3.0	228.0	1.0	16.0	20.0	100.0	1.0	0.459
4.0	228.0	1.0	20.0	20.0	100.0	1.0	0.471
5.0	228.0	3.0	50.0	17.0	100.0	1.0	0.307
6.0	228.0	1.0	24.0	7.0	96.0	1.0	0.39
7.0	143.0	100.0	24.0	1.0	173.0	1.0	0.5
