study_id,site_id,core_id,year,latitude,longitude,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,core_length_flag
Morgan_et_al_2024,Saco_River,SRF_Q1,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q2,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q3,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q4,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q5,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q6,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q7,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q8,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,SRF_Q9,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,UNEF_Q1,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,UNEF_Q2,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,UNEF_Q3,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,UNEF_Q4,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,UNEF_Q5,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,UNEF_Q6,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,UNEF_Q7,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Saco_River,UNEF_Q8,1997,43.460436,-70.386058,other low resolution,saline,measurement,emergent,measurement,marsh,not specified
Morgan_et_al_2024,Biddeford_Pool_Fringing,BPF_Q1,1997,43.449944,-70.363794,handheld,polyhaline,measurement,emergent,measurement,marsh,not specified
