study_id,bibliography_id,publication_type,bibtype,title,author,doi,url,year,publisher,volume,pages,journal,copyright
Morgan_et_al_2024,Morgan_et_al_2024_article,associated source,article,"The Functions and Values of Fringing Salt Marshes in Northern New England, USA","Morgan, P.A., Burdick, D.M. & Short, F.T",10.1007/s12237-009-9145-0,https://doi.org/10.1007/s12237-009-9145-0,2009,Springer Science and Business Media,32,483–495,Estuaries and Coasts,NA
Morgan_et_al_2024,Morgan_et_al_2024_data,primary dataset,misc,"Dataset: Soil organic matter in fringing and meadow salt marshes in Great Bay, New Hampshire and southern Maine","Morgan, P.A., Burdick, D.M. & Short, F.T.",10.25573/serc.25222124,"https://smithsonian.figshare.com/articles/dataset/Dataset:_Soil_organic_matter_in_fringing_and_meadow_salt_marshes_in_Great_Bay,_New_Hampshire_and_southern_Maine/25222124",2024,Smithsonian Environmental Research Center,NA,NA,NA,Creative Commons Attribution 4.0 International
