study_id,core_id,core_date,core_latitude,core_longitude,core_elevation
Gonneea_et_al_2018,EPA,2014-08-05,41.55923,-70.54365,14
Gonneea_et_al_2018,EPB,2014-08-05,41.55892,-70.54378,14
Gonneea_et_al_2018,GPA,2014-06-16,41.55665,-70.58044,12
Gonneea_et_al_2018,GPB,2014-06-16,41.55655,-70.58011,14
Gonneea_et_al_2018,GPC,2014-06-16,41.556,-70.57988,16
Gonneea_et_al_2018,HBA,2014-07-01,41.5752,-70.50214,13
Gonneea_et_al_2018,HBB,2014-07-01,41.5759,-70.5011,15
Gonneea_et_al_2018,HBC,2014-07-01,41.57671,-70.50044,18
Gonneea_et_al_2018,SLPA,2013-12-04,41.55445,-70.5069,14
Gonneea_et_al_2018,SLPB,2014-01-17,41.55451,-70.50599,24
Gonneea_et_al_2018,SLPC,2014-06-04,41.55449,-70.50714,14
