study_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,cs137_activity,total_pb210_activity,ra226_activity,excess_pb210_activity,be7_activity,age
Gonneea_2018,SLPA,0,1,0.091094148,NA,0,400.16000683333334,14.130582266666668,386.0294245,8.017719921,2.618521916
Gonneea_2018,SLPA,1,2,0.142239186,0.1446334312,0,465.6073163333333,5.358945899999999,460.24837033333336,0,6.106027719
Gonneea_2018,SLPA,2,3,0.129262087,NA,0,446.32239400000003,5.687007633333334,440.6353863333334,0,9.48264853
Gonneea_2018,SLPA,3,4,0.143765903,0.204533436,0,384.7215061666667,3.5973334333333336,381.1241728333333,0,13.10464859
Gonneea_2018,SLPA,4,5,0.16692112,NA,0,313.60363716666666,6.177894183333334,307.42574299999995,0,16.9126281
Gonneea_2018,SLPA,5,6,0.136386768,0.2761474631,0,228.72288883333334,10.374440566666667,218.34844816666666,0,19.34897785
Gonneea_2018,SLPA,6,7,0.136895674,NA,0,169.9278948333333,8.333333333333334,161.59456146666665,0,21.28650609
Gonneea_2018,SLPA,7,8,0.175826972,0.2321798863,1.3216566333333333,180.35396733333334,9.10656225,171.24740516666668,0,24.12686549
Gonneea_2018,SLPA,8,9,0.158778626,NA,0,175.6351771666667,8.333333333333334,167.30184383333332,0,26.85995939
Gonneea_2018,SLPA,9,10,0.184732824,0.23575602539999999,0,143.80843045,5.682472333333333,138.12595811666668,0,29.72425356
Gonneea_2018,SLPA,10,11.125,0.144529262,NA,4.80106535,196.079821,9.72760175,186.35221933333332,0,33.05327898
Gonneea_2018,SLPA,11.125,12.5,0.09566879,0.2132022868,8.118820233333333,147.8031971,5.842813883333334,141.96038323333332,0,34.87261799
Gonneea_2018,SLPA,12.5,13.875,0.083312102,0.208777334,4.745832983333333,115.23822876666668,9.3286337,105.90959505,0,36.1123739
Gonneea_2018,SLPA,13.875,15,0.16259542,NA,7.31553255,200.06143833333334,3.5951850499999995,196.46625316666666,0,41.04927926
Gonneea_2018,SLPA,15,16,0.097964377,NA,28.030998633333336,179.45098899999996,6.162447216666667,173.28854166666665,0,44.01841352
