"study_id","site_id","core_id","impact_class"
"Vincent_and_Dionne_2023","Webhannet",NA,"natural"
"Vincent_and_Dionne_2023","Drakes Island",NA,"tidally restricted"
"Vincent_and_Dionne_2023","Little River",NA,"natural"
"Thom_1992","Elk_River_Prev_Diked","ED1","tidally restored"
"Strand_et_al_2024","CSI-Core","CSI-Core_1","natural"
"Strand_et_al_2024","CSI-Core","CSI-Core_2","natural"
"Strand_et_al_2024","CSI-Core","CSI-Core_3","natural"
"Strand_et_al_2024","CSI-N","CSI-N_1","natural"
"Strand_et_al_2024","CSI-N","CSI-N_2","natural"
"Strand_et_al_2024","CSI-N","CSI-N_3","natural"
"Strand_et_al_2024","NHW-Core","NHW-Core_1","disturbed"
"Strand_et_al_2024","NHW-Core","NHW-Core_2","disturbed"
"Strand_et_al_2024","NHW-Core","NHW-Core_3","disturbed"
"Strand_et_al_2024","NHW-N","NHW-N_1","disturbed"
"Strand_et_al_2024","NHW-N","NHW-N_2","disturbed"
"Strand_et_al_2024","NHW-N","NHW-N_3","disturbed"
"Stevens_et_al_2024","PI",NA,"natural"
"Stevens_et_al_2024","BAY",NA,"ditched"
"Stevens_et_al_2024","CB",NA,"natural"
"Stevens_et_al_2024","RB",NA,"natural"
"Stevens_et_al_2024","PG",NA,"natural"
"Stevens_et_al_2024","FORT",NA,"natural"
"Stevens_et_al_2024","BRAD",NA,"natural"
"Senger_et_al_2020","Pedro","Pe01","natural"
"Senger_et_al_2020","Pedro","Pe02","natural"
"Senger_et_al_2020","Pedro","Pe03","natural"
"Senger_et_al_2020","Pedro","Pe04","natural"
"Senger_et_al_2020","Pedro","Pe05","natural"
"Senger_et_al_2020","Coco","Co02","natural"
"Senger_et_al_2020","Awa_di_Lodo","Aw01","degraded"
"Senger_et_al_2020","Awa_di_Lodo","Aw02","degraded"
"Senger_et_al_2020","Awa_di_Lodo","Aw03","degraded"
"Senger_et_al_2020","Awa_di_Lodo","Aw04","degraded"
"Senger_et_al_2020","Awa_di_Lodo","Aw05","degraded"
"Senger_et_al_2020","Isla_Yuwana","IY01","degraded"
"Senger_et_al_2020","Isla_Yuwana","IY02","degraded"
"Senger_et_al_2020","Isla_Yuwana","IY03","degraded"
"Senger_et_al_2020","Isla_Yuwana","IY04","degraded"
"Senger_et_al_2020","Isla_Yuwana","IY05","degraded"
"Senger_et_al_2020","Isla_di_Chico","IC01","degraded"
"Senger_et_al_2020","Isla_di_Chico","IC02","degraded"
"Senger_et_al_2020","Isla_di_Chico","IC03","degraded"
"Senger_et_al_2020","Isla_di_Chico","IC04","degraded"
"Senger_et_al_2020","Isla_di_Chico","IC05","degraded"
"Radabaugh_et_al_2023","Blackwater_Bay","BWB1B","natural"
"Radabaugh_et_al_2023","Cats_Claw_Basin","CCB1","natural"
"Radabaugh_et_al_2023","Charlotte_Harbor01","CH_01NW","natural"
"Radabaugh_et_al_2023","Charlotte_Harbor01","CH_01SE","natural"
"Radabaugh_et_al_2023","Charlotte_Harbor02","CH_02NE","natural"
"Radabaugh_et_al_2023","Charlotte_Harbor02","CH_02SW","natural"
"Radabaugh_et_al_2023","Charlotte_Harbor03","CH_03NE","natural"
"Radabaugh_et_al_2023","Charlotte_Harbor03","CH_03SW","natural"
"Radabaugh_et_al_2023","Little_Manatee_River01","LMR_1N","natural"
"Radabaugh_et_al_2023","Little_Manatee_River01","LMR_1S","natural"
"Radabaugh_et_al_2023","Little_Manatee_River02","LMR_2N","natural"
"Radabaugh_et_al_2023","Little_Manatee_River02","LMR_2S","natural"
"Radabaugh_et_al_2023","Little_Manatee_River03","LMR_3E","natural"
"Radabaugh_et_al_2023","Little_Manatee_River03","LMR_3W","natural"
"Radabaugh_et_al_2023","Peace_River01","Peace_1N","natural"
"Radabaugh_et_al_2023","Peace_River01","Peace_1S","natural"
"Radabaugh_et_al_2023","Peace_River02","Peace_2E","natural"
"Radabaugh_et_al_2023","Peace_River02","Peace_2W","natural"
"Radabaugh_et_al_2023","Peace_River03","Peace_3NE","natural"
"Radabaugh_et_al_2023","Peace_River03","Peace_3SW","natural"
"Radabaugh_et_al_2023","Peace_River04","Peace_04NW","natural"
"Radabaugh_et_al_2023","Peace_River04","Peace_04SE","natural"
"Radabaugh_et_al_2023","Peace_River05","Peace_05NE","natural"
"Radabaugh_et_al_2023","Peace_River05","Peace_05SW","natural"
"Radabaugh_et_al_2023","Peace_River_LI","Peace_LI","natural"
"Radabaugh_et_al_2023","Tamiami_Trail01","TAM_01N","natural"
"Radabaugh_et_al_2023","Tamiami_Trail01","TAM_01S","natural"
"Radabaugh_et_al_2023","Tamiami_Trail02","TAM_02NE","natural"
"Radabaugh_et_al_2023","Tamiami_Trail02","TAM_02SW","natural"
"Radabaugh_et_al_2023","Tamiami_Trail03","TAM_03NW","natural"
"Radabaugh_et_al_2023","Tamiami_Trail03","TAM_03SE","natural"
"Radabaugh_et_al_2023","Tamiami_Trail04","TAM_04NW","natural"
"Radabaugh_et_al_2023","Tamiami_Trail04","TAM_04SE","natural"
"Radabaugh_et_al_2023","Tamiami_Trail05","TAM_05NE","natural"
"Radabaugh_et_al_2023","Tamiami_Trail05","TAM_05SW","natural"
"Radabaugh_et_al_2023","Tamiami_Trail06","TAM_06NW","natural"
"Radabaugh_et_al_2023","Tamiami_Trail06","TAM_06SE","natural"
"Radabaugh_et_al_2023","Tamiami_Trail07","TAM_07NW","natural"
"Radabaugh_et_al_2023","Tamiami_Trail07","TAM_07SE","natural"
"Radabaugh_et_al_2023","Tamiami_Trail08","TAM_08NE","natural"
"Radabaugh_et_al_2023","Tamiami_Trail08","TAM_08SW","natural"
"Radabaugh_et_al_2023","Tamiami_Trail09","TAM_09NE","natural"
"Radabaugh_et_al_2023","Tamiami_Trail09","TAM_09SW","natural"
"Radabaugh_et_al_2023","Tamiami_Trail10","TAM_10NW","natural"
"Radabaugh_et_al_2023","Tamiami_Trail10","TAM_10SE","natural"
"Radabaugh_et_al_2023","Tamiami_Trail11","TAM_11NE","natural"
"Radabaugh_et_al_2023","Tamiami_Trail11","TAM_11SW","natural"
"Radabaugh_et_al_2023","Tamiami_Trail12","TAM_12NW","natural"
"Radabaugh_et_al_2023","Tamiami_Trail12","TAM_12SE","natural"
"Radabaugh_et_al_2023","Tamiami_Trail13","TAM_13NE","natural"
"Radabaugh_et_al_2023","Tamiami_Trail13","TAM_13SW","natural"
"Radabaugh_et_al_2023","Tamiami_Trail14","TAM_14NE","natural"
"Radabaugh_et_al_2023","Tamiami_Trail14","TAM_14SW","natural"
"Radabaugh_et_al_2023","Upper_Faka_Union01","UFU1","natural"
"Radabaugh_et_al_2021","Clam_Bayou","CBControl01","ditched"
"Radabaugh_et_al_2021","Clam_Bayou","CBControl02","ditched"
"Radabaugh_et_al_2021","Clam_Bayou","CBControl05","ditched"
"Radabaugh_et_al_2021","Clam_Bayou","CBControl10","ditched"
"Radabaugh_et_al_2021","Clam_Bayou","CBControl15","ditched"
"Radabaugh_et_al_2021","Clam_Bayou","CBStressed01","ditched"
"Radabaugh_et_al_2021","Clam_Bayou","CBStressed02","ditched"
"Radabaugh_et_al_2021","Clam_Bayou","CBStressed05","ditched"
"Radabaugh_et_al_2021","Clam_Bayou","CBStressed10","ditched"
"Radabaugh_et_al_2021","Clam_Bayou","CBStressed15","ditched"
"Radabaugh_et_al_2021","Double_Branch_Bay_Control","DBBControl01","natural"
"Radabaugh_et_al_2021","Double_Branch_Bay_Control","DBBControl02","natural"
"Radabaugh_et_al_2021","Double_Branch_Bay_Control","DBBControl05","natural"
"Radabaugh_et_al_2021","Double_Branch_Bay_Control","DBBControl10","natural"
"Radabaugh_et_al_2021","Double_Branch_Bay_Control","DBBControl15","natural"
"Radabaugh_et_al_2021","Double_Branch_Bay_Stressed","DBBStressed01","natural"
"Radabaugh_et_al_2021","Double_Branch_Bay_Stressed","DBBStressed02","natural"
"Radabaugh_et_al_2021","Double_Branch_Bay_Stressed","DBBStressed05","natural"
"Radabaugh_et_al_2021","Double_Branch_Bay_Stressed","DBBStressed10","natural"
"Radabaugh_et_al_2021","Double_Branch_Bay_Stressed","DBBStressed15","natural"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FD2Control01","ditched"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FD2Control02","ditched"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FD2Control05","ditched"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FD2Control10","ditched"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FD2Control15","ditched"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FD2Stressed01","ditched"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FD2Stressed02","ditched"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FD2Stressed05","ditched"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FD2Stressed10","ditched"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FD2Stressed15","ditched"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FDControl01","natural"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FDControl02","natural"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FDControl05","natural"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FDControl10","natural"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FDControl15","natural"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FDStressed01","ditched"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FDStressed02","ditched"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FDStressed05","ditched"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FDStressed10","ditched"
"Radabaugh_et_al_2021","Fort_De_Soto_Marsh","FDStressed15","ditched"
"Radabaugh_et_al_2021","Mangrove_Bay","MBControl01","ditched"
"Radabaugh_et_al_2021","Mangrove_Bay","MBControl02","ditched"
"Radabaugh_et_al_2021","Mangrove_Bay","MBControl05","ditched"
"Radabaugh_et_al_2021","Mangrove_Bay","MBControl10","ditched"
"Radabaugh_et_al_2021","Mangrove_Bay","MBControl15","ditched"
"Radabaugh_et_al_2021","Mangrove_Bay","MBStressed01","wetlands built"
"Radabaugh_et_al_2021","Mangrove_Bay","MBStressed02","wetlands built"
"Radabaugh_et_al_2021","Mangrove_Bay","MBStressed05","wetlands built"
"Radabaugh_et_al_2021","Mangrove_Bay","MBStressed10","wetlands built"
"Radabaugh_et_al_2021","Mangrove_Bay","MBStressed15","wetlands built"
"Radabaugh_et_al_2021","Shell_Point_Marsh","SPControl01","ditched"
"Radabaugh_et_al_2021","Shell_Point_Marsh","SPControl02","ditched"
"Radabaugh_et_al_2021","Shell_Point_Marsh","SPControl05","ditched"
"Radabaugh_et_al_2021","Shell_Point_Marsh","SPControl10","ditched"
"Radabaugh_et_al_2021","Shell_Point_Marsh","SPControl15","ditched"
"Radabaugh_et_al_2021","Shell_Point_Marsh","SPStressed01","ditched"
"Radabaugh_et_al_2021","Shell_Point_Marsh","SPStressed02","ditched"
"Radabaugh_et_al_2021","Shell_Point_Marsh","SPStressed05","ditched"
"Radabaugh_et_al_2021","Shell_Point_Marsh","SPStressed10","ditched"
"Radabaugh_et_al_2021","Shell_Point_Marsh","SPStressed15","ditched"
"Radabaugh_et_al_2021","StPete_Preserve_Control","SPPControl01","ditched"
"Radabaugh_et_al_2021","StPete_Preserve_Control","SPPControl02","ditched"
"Radabaugh_et_al_2021","StPete_Preserve_Control","SPPControl05","ditched"
"Radabaugh_et_al_2021","StPete_Preserve_Control","SPPControl10","ditched"
"Radabaugh_et_al_2021","StPete_Preserve_Control","SPPControl15","ditched"
"Radabaugh_et_al_2021","StPete_Preserve_Stressed","SPPStressed01","wetlands built"
"Radabaugh_et_al_2021","StPete_Preserve_Stressed","SPPStressed02","wetlands built"
"Radabaugh_et_al_2021","StPete_Preserve_Stressed","SPPStressed05","wetlands built"
"Radabaugh_et_al_2021","StPete_Preserve_Stressed","SPPStressed10","wetlands built"
"Radabaugh_et_al_2021","StPete_Preserve_Stressed","SPPStressed15","wetlands built"
"Radabaugh_et_al_2021","Upper_Tampa_Bay_Control","UTBControl01","natural"
"Radabaugh_et_al_2021","Upper_Tampa_Bay_Control","UTBControl02","natural"
"Radabaugh_et_al_2021","Upper_Tampa_Bay_Control","UTBControl05","natural"
"Radabaugh_et_al_2021","Upper_Tampa_Bay_Control","UTBControl10","natural"
"Radabaugh_et_al_2021","Upper_Tampa_Bay_Control","UTBControl15","natural"
"Radabaugh_et_al_2021","Upper_Tampa_Bay_Stressed","UTBStressed01","natural"
"Radabaugh_et_al_2021","Upper_Tampa_Bay_Stressed","UTBStressed02","natural"
"Radabaugh_et_al_2021","Upper_Tampa_Bay_Stressed","UTBStressed05","natural"
"Radabaugh_et_al_2021","Upper_Tampa_Bay_Stressed","UTBStressed10","natural"
"Radabaugh_et_al_2021","Upper_Tampa_Bay_Stressed","UTBStressed15","natural"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WI2Control01","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WI2Control02","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WI2Control05","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WI2Control10","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WI2Control15","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WI2Stressed01","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WI2Stressed02","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WI2Stressed05","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WI2Stressed10","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WI2Stressed15","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WIControl01","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WIControl02","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WIControl05","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WIControl10","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WIControl15","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WIStressed01","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WIStressed02","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WIStressed05","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WIStressed10","ditched"
"Radabaugh_et_al_2021","Weedon_Island_Marsh","WIStressed15","ditched"
"Radabaugh_et_al_2018","Haley_House_Mangroves","HHM1","natural"
"Radabaugh_et_al_2018","Haley_House_Mangroves","HHM2","natural"
"Radabaugh_et_al_2018","Haley_House_Mangroves","HHM3","natural"
"Radabaugh_et_al_2018","Haley_House_Mangroves","HHM4","natural"
"Radabaugh_et_al_2018","Haley_House_Mangroves","HHM5","natural"
"Radabaugh_et_al_2018","Haley_House_Mangroves","HHM6","natural"
"Radabaugh_et_al_2018","Weedon_Island_Marsh","WIM1","ditched"
"Radabaugh_et_al_2018","Weedon_Island_Marsh","WIM2","ditched"
"Radabaugh_et_al_2018","Weedon_Island_Marsh","WIM3","ditched"
"Radabaugh_et_al_2018","Weedon_Island_Marsh","WIM4","ditched"
"Radabaugh_et_al_2018","Weedon_Island_Marsh","WIM5","ditched"
"Radabaugh_et_al_2018","Weedon_Island_Marsh","WIM6","ditched"
"Radabaugh_et_al_2018","Fort_De_Soto_Marsh","FDSM1","ditched"
"Radabaugh_et_al_2018","Fort_De_Soto_Marsh","FDSM2","ditched"
"Radabaugh_et_al_2018","Fort_De_Soto_Marsh","FDSM3","ditched"
"Radabaugh_et_al_2018","Fort_De_Soto_Marsh","FDSM4","ditched"
"Radabaugh_et_al_2018","Fort_De_Soto_Marsh","FDSM5","ditched"
"Radabaugh_et_al_2018","Fort_De_Soto_Marsh","FDSM6","ditched"
"Radabaugh_et_al_2018","Bishop_Harbor_Mangroves","BISH1","tidally restored"
"Radabaugh_et_al_2018","Bishop_Harbor_Mangroves","BISH2","tidally restored"
"Radabaugh_et_al_2018","Bishop_Harbor_Mangroves","BISH3","tidally restored"
"Radabaugh_et_al_2018","Bishop_Harbor_Mangroves","BISH4","tidally restored"
"Radabaugh_et_al_2018","Bishop_Harbor_Mangroves","BISH5","tidally restored"
"Radabaugh_et_al_2018","Bishop_Harbor_Mangroves","BISH6","tidally restored"
"Radabaugh_et_al_2018","EG_Simmons_Park_Mangroves","EGSM1","wetlands built"
"Radabaugh_et_al_2018","EG_Simmons_Park_Mangroves","EGSM2","wetlands built"
"Radabaugh_et_al_2018","EG_Simmons_Park_Mangroves","EGSM3","wetlands built"
"Radabaugh_et_al_2018","EG_Simmons_Park_Mangroves","EGSM4","wetlands built"
"Radabaugh_et_al_2018","EG_Simmons_Park_Mangroves","EGSM5","wetlands built"
"Radabaugh_et_al_2018","EG_Simmons_Park_Mangroves","EGSM6","wetlands built"
"Radabaugh_et_al_2018","Clam_Bayou","CBM1","ditched"
"Radabaugh_et_al_2018","Clam_Bayou","CBM2","ditched"
"Radabaugh_et_al_2018","Clam_Bayou","CBM3","ditched"
"Radabaugh_et_al_2018","Clam_Bayou","CBM4","ditched"
"Radabaugh_et_al_2018","Clam_Bayou","CBM5","ditched"
"Radabaugh_et_al_2018","Clam_Bayou","CBM6","ditched"
"Radabaugh_et_al_2018","Upper_Tampa_Bay_Marsh","UTBM1","natural"
"Radabaugh_et_al_2018","Upper_Tampa_Bay_Marsh","UTBM2","natural"
"Radabaugh_et_al_2018","Upper_Tampa_Bay_Marsh","UTBM3","natural"
"Radabaugh_et_al_2018","Upper_Tampa_Bay_Marsh","UTBM4","natural"
"Radabaugh_et_al_2018","Upper_Tampa_Bay_Marsh","UTBM5","natural"
"Radabaugh_et_al_2018","Upper_Tampa_Bay_Marsh","UTBM6","natural"
"Radabaugh_et_al_2018","Little_Manatee_River_Marsh","LMRM1","natural"
"Radabaugh_et_al_2018","Little_Manatee_River_Marsh","LMRM2","natural"
"Radabaugh_et_al_2018","Little_Manatee_River_Marsh","LMRM3","natural"
"Radabaugh_et_al_2018","Little_Manatee_River_Marsh","LMRM4","natural"
"Radabaugh_et_al_2018","Little_Manatee_River_Marsh","LMRM5","natural"
"Radabaugh_et_al_2018","Little_Manatee_River_Marsh","LMRM6","natural"
"Radabaugh_et_al_2018","Rocky_Creek_Marsh","RCM1","natural"
"Radabaugh_et_al_2018","Rocky_Creek_Marsh","RCM2","natural"
"Radabaugh_et_al_2018","Rocky_Creek_Marsh","RCM3","natural"
"Radabaugh_et_al_2018","Rocky_Creek_Marsh","RCM4","natural"
"Radabaugh_et_al_2018","Rocky_Creek_Marsh","RCM5","natural"
"Radabaugh_et_al_2018","Rocky_Creek_Marsh","RCM6","natural"
"Radabaugh_et_al_2018","SERF_Marsh","SERF1","wetlands built"
"Radabaugh_et_al_2018","SERF_Marsh","SERF2","wetlands built"
"Radabaugh_et_al_2018","SERF_Marsh","SERF3","wetlands built"
"Radabaugh_et_al_2018","SERF_Marsh","SERF4","wetlands built"
"Radabaugh_et_al_2018","SERF_Marsh","SERF5","wetlands built"
"Radabaugh_et_al_2018","SERF_Marsh","SERF6","wetlands built"
"Radabaugh_et_al_2018","Cockroach_Bay_Marsh","CB1","wetlands built"
"Radabaugh_et_al_2018","Cockroach_Bay_Marsh","CB2","wetlands built"
"Radabaugh_et_al_2018","Cockroach_Bay_Marsh","CB3","wetlands built"
"Radabaugh_et_al_2018","Cockroach_Bay_Marsh","CB4","wetlands built"
"Radabaugh_et_al_2018","Cockroach_Bay_Marsh","CB5","wetlands built"
"Radabaugh_et_al_2018","Cockroach_Bay_Marsh","CB6","wetlands built"
"Radabaugh_et_al_2018","Apollo_Beach_Marsh","AB1","wetlands built"
"Radabaugh_et_al_2018","Apollo_Beach_Marsh","AB2","wetlands built"
"Radabaugh_et_al_2018","Apollo_Beach_Marsh","AB3","wetlands built"
"Radabaugh_et_al_2018","Apollo_Beach_Marsh","AB4","wetlands built"
"Radabaugh_et_al_2018","Apollo_Beach_Marsh","AB5","wetlands built"
"Radabaugh_et_al_2018","Apollo_Beach_Marsh","AB6","wetlands built"
"Radabaugh_et_al_2018","TECO_Barren","TECO1","natural"
"Radabaugh_et_al_2018","TECO_Barren","TECO2","natural"
"Radabaugh_et_al_2018","TECO_Barren","TECO3","natural"
"Radabaugh_et_al_2018","TECO_Barren","TECO4","natural"
"Radabaugh_et_al_2018","TECO_Barren","TECO5","natural"
"Radabaugh_et_al_2018","TECO_Barren","TECO6","natural"
"Radabaugh_et_al_2018","Upper_Tampa_Bay_Barren","UTBSF1","natural"
"Radabaugh_et_al_2018","Upper_Tampa_Bay_Barren","UTBSF2","natural"
"Radabaugh_et_al_2018","Upper_Tampa_Bay_Barren","UTBSF3","natural"
"Radabaugh_et_al_2018","Upper_Tampa_Bay_Barren","UTBSF4","natural"
"Radabaugh_et_al_2018","Upper_Tampa_Bay_Barren","UTBSF5","natural"
"Radabaugh_et_al_2018","Upper_Tampa_Bay_Barren","UTBSF6","natural"
"Radabaugh_et_al_2018","Shell_Point_Marsh","SPSF1","natural"
"Radabaugh_et_al_2018","Shell_Point_Marsh","SPSF2","natural"
"Radabaugh_et_al_2018","Shell_Point_Marsh","SPSF3","natural"
"Radabaugh_et_al_2018","Shell_Point_Marsh","SPSF4","natural"
"Radabaugh_et_al_2018","Shell_Point_Marsh","SPSF5","natural"
"Radabaugh_et_al_2018","Shell_Point_Marsh","SPSF6","natural"
"Radabaugh_et_al_2018","Weedon_Island_Marsh","WISF1","natural"
"Radabaugh_et_al_2018","Weedon_Island_Marsh","WISF2","natural"
"Radabaugh_et_al_2018","Weedon_Island_Marsh","WISF3","natural"
"Radabaugh_et_al_2018","Weedon_Island_Marsh","WISF4","natural"
"Radabaugh_et_al_2018","Weedon_Island_Marsh","WISF5","natural"
"Radabaugh_et_al_2018","Weedon_Island_Marsh","WISF6","natural"
"Radabaugh_et_al_2018","Little_Manatee_River_Marsh","LMR_EA","natural"
"Radabaugh_et_al_2018","SERF_Marsh","SERF_EA","wetlands built"
"Radabaugh_et_al_2018","Wolf_Branch","WB_EA_A","ditched"
"Radabaugh_et_al_2018","Wolf_Branch","WB_EA_S","ditched"
"Poppe_et_al_2024","SEC-HM","SEC-HM-C1-1539","natural"
"Poppe_et_al_2024","KAN-RM","KAN-RM-C1-1542","restored"
"Poppe_et_al_2024","KAN-RM","KAN-RM-C2-1543","restored"
"Poppe_et_al_2024","MLC-HM","MLC-HM-C1-1544","natural"
"Poppe_et_al_2024","MLC-HM","MLC-HM-C2b-1545","natural"
"Poppe_et_al_2024","SES-TS","SES-TS-C1b-1546","natural"
"Poppe_et_al_2024","WIN-TS","WIN-TS-C1ab-1547","natural"
"Poppe_et_al_2024","FSM-HM","FSM-HM-C1-1548","natural"
"Poppe_et_al_2024","FRE-RM","FRE-RM-C1-1549","natural"
"Poppe_et_al_2024","FRE-RM","FRE-RM-C2-1550","restored"
"Poppe_et_al_2024","FSM-HM","FSM-HM-C3-1551","natural"
"Poppe_et_al_2024","FRE-RM","FRE-RM-C3-1552","restored"
"Poppe_et_al_2024","KZH-RM","KZH-RM-C1-1553","restored"
