Plot,Subplot,Litter (kg),Live (kg),Litter Corrected for % MC,Ash Content (g/g),Litter Corrected for Ash,Notes
15,3,0.00106,,0.0003657,0.3186,0.000249188,
15,4,0.00046,,0.0001587,0.3186,0.000108138,Live=Ferns
27,4,0.00052,,0.0001794,0.3186,0.000122243,Live=Ferns
806,1,0.66,0,0.2277,0.497718789,0.114369432,Live=Ferns
806,2,0.44,0,0.1518,0.442140191,0.084683119,Live=Ferns
806,3,0.36,0,0.1242,0.283195021,0.089027178,Live=Ferns
806,4,0.43,0,0.14835,0.318040274,0.101168725,
806,5,0.19,0,0.06555,0.422646205,0.037845541,Live=Ferns
864,1,0.025,0.02,0.008625,0.3186,0.005877075,
864,2,0.02,0.08,0.0069,0.3186,0.00470166,
864,3,0.025,0,0.008625,0.3186,0.005877075,
864,4,0.02,0.372,0.0069,0.3186,0.00470166,
864,5,0.405,3.4,0.139725,0.3186,0.095208615,
1001,1,0.17,0.03,0.05865,0.2254,0.04543029,
1001,2,0.73,0,0.25185,0.2254,0.19508301,
1001,3,0.53,0.02,0.18285,0.2254,0.14163561,
1001,4,0.62,0.041,0.2139,0.2254,0.16568694,
1001,5,0.44,0.06,0.1518,0.2254,0.11758428,
1079,1,0.02,0.04,0.0069,0.0564,0.006510924,
1079,2,0.02,0.02,0.0069,0.2216,0.00537112,
1079,3,0.15,,0.05175,0.0786,0.047680861,
1079,4,0.025,,0.008625,0.1780,0.007089997,
1079,5,0.02,0.08,0.0069,0.0773,0.006366805,
1113,1,0.025,1.83,0.008625,0.0359,0.008315495,
1113,2,0.625,2.22,0.215625,0.0359,0.207887368,
1113,3,0.055,2.32,0.018975,0.0359,0.018294088,
1113,4,0.055,2.1,0.018975,0.0359,0.018294088,
1130,1,0.18,,0.0621,0.486503322,0.031888144,
1130,2,0.27,,0.09315,0.486503322,0.047832216,
1130,3,0.47,,0.16215,0.486503322,0.083263486,
1130,4,0.06,,0.0207,0.486503322,0.010629381,
1130,5,0.11,,0.03795,0.486503322,0.019487199,
1216,1,0.02,,0.0069,0.178119161,0.005670978,
1216,2,0.08,,0.0276,0.178119161,0.022683911,
1216,3,0.005,,0.001725,0.178119161,0.001417744,
1216,4,0.05,,0.01725,0.178119161,0.014177444,
1216,5,0.05,,0.01725,0.178119161,0.014177444,
1219,1,0.015,,0.005175,0.430616055,0.002946562,
1219,2,0.305,,0.105225,0.182176984,0.086055427,
1219,3,0.14,,0.0483,0.268009134,0.035355159,
1219,4,0.7,,0.2415,0.314445828,0.165561333,
1219,5,0.145,,0.050025,0.436307054,0.02819874,*Listed as plot composites on data sheet
1254,1,0.47,0,0.16215,0.362001185,0.103451508,
1254,2,0.38,0,0.1311,0.362001185,0.083641645,
1254,3,0.37,0,0.12765,0.362001185,0.081440549,
1254,4,0.55,0.22,0.18975,0.362001185,0.121060275,
1254,5,0.46,0.33,0.1587,0.362001185,0.101250412,
1285,1,0.025,,0.008625,0.402241594,0.005155666,
1285,2,0.03,,0.01035,0.402241594,0.0061868,
1285,3,0.02,,0.0069,0.402241594,0.004124533,
1285,4,0.13,,0.04485,0.402241594,0.026809465,
1285,5,0.045,,0.015525,0.402241594,0.009280199,
1305,1,0.18,0,0.0621,0.312772586,0.042676822,
1305,4,0.17,0.15,0.05865,0.505280596,0.029015293,
1314,1,0.17,0,0.05865,0.428304628,0.033529934,
1314,2,0.05,0,0.01725,0.158134715,0.014522176,
1314,3,0.03,0,0.01035,0.302200083,0.007222229,
1314,4,0.03,0,0.01035,0.227084197,0.007999679,
1314,5,0.015,0,0.005175,0.260950799,0.00382458,
1317,1,0.15,0.22,0.05175,0.320862462,0.035145368,
1317,2,0.17,0.41,0.05865,0.320862462,0.039831417,
1317,3,0.14,0.7,0.0483,0.320862462,0.032802343,
1317,4,0.25,1.52,0.08625,0.320862462,0.058575613,
1317,5,0.11,0.55,0.03795,0.320862462,0.02577327,
1359,1,0.04,,0.0138,0.130552096,0.011998381,
1359,2,0.441,,0.152145,0.130552096,0.132282151,
1359,3,0.055,,0.018975,0.130552096,0.016497774,
1359,4,0.26,,0.0897,0.130552096,0.077989477,
1359,5,0.195,,0.067275,0.130552096,0.058492108,
1361,1,0.05,,0.01725,0.356593977,0.011098754,
1361,2,0.02,,0.0069,0.356593977,0.004439502,
1361,3,0.01,,0.00345,0.356593977,0.002219751,
1361,4,0.01,,0.00345,0.356593977,0.002219751,
1361,5,0.02,,0.0069,0.356593977,0.004439502,
1382,1,0,0,0,0.252161033,0,
1382,2,0.015,0,0.005175,0.252161033,0.003870067,
1382,3,0.025,0,0.008625,0.252161033,0.006450111,
1382,4,0.03,0,0.01035,0.252161033,0.007740133,
1382,5,0.015,0.04,0.005175,0.252161033,0.003870067,
9001,1,0.58,0.12,0.2001,0.104793526,0.179130816,
9001,2,0.62,0.17,0.2139,0.243978405,0.161713019,
9001,3,0.51,0.13,0.17595,0.053571429,0.166524107,
9001,4,0.46,0,0.1587,0.060240964,0.149139759,
9001,5,0.16,0,0.0552,0.059165456,0.051934067,
9002,1,0.135,,0.046575,0.209379539,0.036823148,
9002,2,0.6,0.35,0.207,0.3186,0.1410498,
9002,3,0.025,,0.008625,0.3186,0.005877075,
9002,4,0.25,,0.08625,0.3186,0.05877075,
9003,1,0.05,0.335,0.01725,0.235390559,0.013189513,
9003,2,0.621,0.08,0.214245,0.235390559,0.16381375,
9003,3,0.6,0.032,0.207,0.235390559,0.158274154,
9003,4,0.825,0.345,0.284625,0.235390559,0.217626962,
9003,5,0.085,0.025,0.029325,0.235390559,0.022422172,
9004,1,0.55,0.035,0.18975,0.164219069,0.158589432,
9004,3,2.3,1.1,0.7935,0.164219069,0.663192168,
9004,4,0.75,0.65,0.25875,0.164219069,0.216258316,
9004,5,0.25,0.55,0.08625,0.164219069,0.072086105,
9005,1,0.85,0.045,0.29325,0.144250726,0.250948474,
9005,2,1.605,0.195,0.553725,0.144250726,0.473849767,
9005,3,1.759,0.065,0.606855,0.144250726,0.519315725,
9005,4,0.66,0.015,0.2277,0.144250726,0.19485411,
9005,5,1.25,0.55,0.43125,0.144250726,0.369041874,
9006,2,0.041,,0.014145,0.184478107,0.011535557,
9006,3,0.025,,0.008625,0.184478107,0.007033876,
9006,5,0.005,,0.001725,0.184478107,0.001406775,
9007,1,0.095,,0.032775,0.184478107,0.02672873,
9007,2,0.1,,0.0345,0.184478107,0.028135505,
9007,3,0.115,,0.039675,0.184478107,0.032355831,
9007,4,0.03,,0.01035,0.184478107,0.008440652,
9007,5,0.13,,0.04485,0.184478107,0.036576157,
9008,1,0.155,,0.053475,0.401980284,0.031979104,
9008,2,0.005,,0.001725,0.401980284,0.001031584,
9008,3,0.6,,0.207,0.401980284,0.123790081,
9008,4,0.88,,0.3036,0.401980284,0.181558786,
9008,5,0.11,,0.03795,0.401980284,0.022694848,
9009,1,0,,0,0.206132173,0,
9009,2,0.02,,0.0069,0.206132173,0.005477688,
9009,3,0.03,,0.01035,0.206132173,0.008216532,
9009,4,0.015,,0.005175,0.206132173,0.004108266,
9009,5,0.055,,0.018975,0.206132173,0.015063642,
9010,1,0.02,,0.0069,0.575223075,0.002930961,
9010,2,0.03,,0.01035,0.575223075,0.004396441,
9010,3,0.035,,0.012075,0.575223075,0.005129181,
9010,4,0.055,,0.018975,0.575223075,0.008060142,
9010,5,0.12,,0.0414,0.575223075,0.017585765,
9011,1,0.03,,0.01035,0.547416476,0.004684239,
9011,2,0.053,,0.018285,0.547416476,0.00827549,
9011,3,0.07,,0.02415,0.547416476,0.010929892,
9011,4,0,,0,0.547416476,0,
9011,5,0.02,,0.0069,0.547416476,0.003122826,
9012,1,0.03,,0.01035,0.356213596,0.006663189,
9012,2,0.035,,0.012075,0.356213596,0.007773721,
9012,3,0.015,,0.005175,0.356213596,0.003331595,
9012,4,0.015,,0.005175,0.356213596,0.003331595,
9012,5,0.16,,0.0552,0.356213596,0.035537009,
9013,1,0.035,,0.012075,0.356213596,0.007773721,
9013,2,0.245,,0.084525,0.356213596,0.054416046,
9013,3,0.025,,0.008625,0.356213596,0.005552658,
9013,4,0.03,,0.01035,0.356213596,0.006663189,
9013,5,0.02,,0.0069,0.356213596,0.004442126,
9014,1,0.02,0.015,0.0069,0.356213596,0.004442126,
9014,2,0.01,,0.00345,0.356213596,0.002221063,
9014,3,0.04,,0.0138,0.356213596,0.008884252,
9014,4,0.03,,0.01035,0.356213596,0.006663189,
9014,5,0.025,,0.008625,0.356213596,0.005552658,
9017,1,0.045,,0.015525,0.08836341,0.014153158,
9017,2,0.015,,0.005175,0.08836341,0.004717719,
9017,3,0.06,,0.0207,0.08836341,0.018870877,
9017,4,0.06,,0.0207,0.08836341,0.018870877,
9017,5,0.015,,0.005175,0.08836341,0.004717719,
9018,1,0.025,,0.008625,0.198381407,0.00691396,
9018,2,0.01,,0.00345,0.198381407,0.002765584,
9018,3,0.02,,0.0069,0.198381407,0.005531168,
9018,4,0.025,,0.008625,0.198381407,0.00691396,
9018,5,0.095,,0.032775,0.198381407,0.026273049,
9019,1,0.03,,0.01035,0.193273822,0.008349616,
9019,2,0.005,,0.001725,0.193273822,0.001391603,
9019,3,0.015,,0.005175,0.193273822,0.004174808,
9019,4,0.045,,0.015525,0.193273822,0.012524424,
9019,5,0.015,,0.005175,0.193273822,0.004174808,
9020,comp,0.165,0.03,0.056925,0.328466753,0.03822703,
9021,1,0.065,,0.022425,0.19269103,0.018103904,
9021,2,0.06,,0.0207,0.19269103,0.016711296,
9021,3,0.095,,0.032775,0.19269103,0.026459551,
9021,4,0.165,,0.056925,0.19269103,0.045956063,
9021,5,0.295,,0.101775,0.19269103,0.08216387,
9022,1,0.035,,0.012075,0.233012335,0.009261376,
9022,2,0.015,0.02,0.005175,0.233012335,0.003969161,
9022,3,0.05,,0.01725,0.233012335,0.013230537,
9022,4,0.015,,0.005175,0.233012335,0.003969161,
9022,5,0.06,,0.0207,0.233012335,0.015876645,
9023,1,0.03,,0.01035,0.233012335,0.007938322,
9023,2,0.02,,0.0069,0.233012335,0.005292215,
9023,3,0.02,,0.0069,0.233012335,0.005292215,
9023,4,0.01,,0.00345,0.233012335,0.002646107,
9023,5,0.015,,0.005175,0.233012335,0.003969161,
9024,1,0.25,,0.08625,0.123364486,0.075609813,
9024,2,0.35,,0.12075,0.123364486,0.105853738,
9024,4,0.152,,0.05244,0.123364486,0.045970766,
9025,1,0.13,,0.04485,0.123364486,0.039317103,
9025,2,0.862,,0.29739,0.123364486,0.260702636,
9025,3,0.29,,0.10005,0.123364486,0.087707383,
9025,4,0.365,0.095,0.125925,0.123364486,0.110390327,
9025,5,0.382,0.12,0.13179,0.123364486,0.115531794,
9027,1,0.025,0,0.008625,0.427755321,0.00493561,
9027,2,0.025,2.342,0.008625,0.427755321,0.00493561,
9027,3,0.01,0,0.00345,0.427755321,0.001974244,
9027,4,0.345,0,0.119025,0.427755321,0.068111423,
9027,5,0.045,1.235,0.015525,0.427755321,0.008884099,
