Plot ,Subplot,Height Class,Species Code,Live Diameter (cm),Dead Diameter (cm),Dead Code,Height (m)
13,1,2,1,7.7,,,
13,1,2,1,9.9,,,
13,1,2,1,7.4,,,
13,1,2,1,8.9,,,
13,1,2,1,13.2,,,
13,1,2,1,6,,,
13,1,2,1,6.8,,,
13,1,2,1,6.6,,,
13,1,2,1,5.7,,,
13,1,2,1,6.6,,,
13,1,2,1,9.3,,,
13,1,2,1,6.3,,,
13,1,2,1,7,,,
13,1,2,1,16,,,
13,1,2,1,9.5,,,
13,1,2,1,14.2,,,
13,1,2,1,9.4,,,
13,1,2,1,10,,,
13,1,2,1,6.8,,,
13,1,2,1,5.8,,,
13,1,2,1,13,,,
13,1,2,1,7.1,,,
13,1,2,1,15.2,,,
13,1,2,1,14,,,
13,1,2,1,7.4,,,
13,1,2,1,8.5,,,
13,1,2,1,6.1,,,
13,1,2,1,10,,,
13,1,2,1,6.6,,,
13,1,2,1,8.2,,,
13,1,2,1,10.4,,,
13,1,2,1,7.9,,,
13,1,2,1,9.6,,,
13,1,2,1,6.9,,,
13,1,2,1,11.3,,,
13,1,2,1,5.6,,,
13,1,2,1,10.2,,,
13,1,2,1,9.3,,,
13,1,2,1,5.9,,,
13,1,2,1,6,,,
13,1,2,1,5.6,,,
13,1,2,1,7.3,,,
13,1,2,1,7.8,,,
13,1,2,1,9.3,,,
13,1,2,1,9.4,,,
13,1,2,1,8.9,,,
13,1,2,1,10.8,,,
13,1,2,1,6.6,,,
13,1,2,1,6.3,,,
13,1,2,1,7.5,,,
13,1,2,1,5.6,,,
13,1,2,1,12.6,,,
13,1,2,1,8.2,,,
13,1,2,1,13.8,,,
13,1,2,1,8,,,
13,1,2,1,9.3,,,
13,1,2,1,8.5,,,
13,1,2,1,10.1,,,
13,1,2,1,8.5,,,
13,1,2,1,10,,,
13,2,2,6,6.6,,,
13,2,2,6,6.6,,,
13,2,2,6,6.4,,,
13,2,2,6,6.8,,,
13,2,2,6,5.6,,,
13,2,2,6,6.9,,,
13,2,2,6,7.6,,,
13,2,2,6,6.9,,,
13,2,2,6,6.2,,,
13,2,2,6,5.1,,,
13,2,2,6,8,,,
13,2,2,6,12.2,,,
13,2,2,6,8.5,,,
13,2,2,6,7.1,,,
13,2,2,6,9.1,,,
13,2,2,6,9.4,,,
13,2,2,6,7.3,,,
13,2,2,6,10.6,,,
13,2,2,6,5.9,,,
13,2,2,6,5.6,,,
13,2,2,6,6.3,,,
13,2,2,6,5.9,,,
13,3,2,1,6.7,,,
13,3,2,1,6.5,,,
13,3,2,1,9.7,,,
13,3,2,1,7.6,,,
13,3,2,6,6.4,,,
13,3,2,6,10.6,,,
13,3,2,6,10.6,,,
13,3,2,6,6.4,,,
13,3,2,6,5.1,,,
13,3,2,1,5.9,,,
13,3,2,1,5.3,,,
13,4,2,1,5.3,,,
13,4,2,1,6.4,,,
13,4,2,1,,6.1,2,
13,4,2,1,,8.1,3,
13,4,2,1,6.1,,,
13,4,2,1,6.2,,,
13,4,2,1,5.8,,,
13,4,2,1,5.1,,,
13,4,2,1,6.2,,,
13,4,2,5,16.8,,,
13,4,2,6,6.7,,,
13,4,2,1,8.4,,,
13,4,2,6,12.4,,,
13,4,2,1,6.3,,,
13,4,2,5,8.8,,,
13,4,2,5,17.2,,,
13,4,2,1,6.4,,,
13,4,2,3,5.6,,,
13,4,2,3,13.3,,,
13,4,2,3,13.6,,,
13,4,2,3,9.6,,,
13,4,2,1,5.3,,,
13,4,2,1,6.8,,,
13,4,2,3,15.6,,,
13,4,2,1,,5.4,3,
13,4,2,1,5.3,,,
13,4,2,1,5.9,,,
13,4,2,1,,5.9,3,
13,4,2,1,5.6,,,
13,4,2,1,,6.2,3,
13,4,2,1,6.3,,,
13,4,2,1,5.1,,,
13,4,2,1,5.2,,,
13,4,2,1,7.5,,,
13,4,2,1,5.4,,,
13,4,2,1,5.3,,,
13,4,2,1,5.7,,,
13,4,2,1,7.6,,,
13,4,2,1,8.9,,,
13,4,2,1,6.5,,,
13,4,2,1,13.9,,,
13,4,2,5,7.1,,,
13,4,2,3,11,,,
13,4,2,5,6,,,
13,4,2,1,6.6,,,
13,4,2,1,,6.5,3,
13,4,2,1,6.5,,,
13,4,2,1,9.8,,,
13,4,2,1,5.2,,,
13,4,2,1,5.8,,,
13,4,2,1,5.4,,,
13,4,2,1,8.7,,,
13,4,2,1,5.5,,,
13,5,2,1,6.9,,,
13,5,2,1,5.5,,,
13,5,2,1,6.5,,,
13,5,2,1,6.1,,,
13,5,2,1,5.2,,,
13,5,2,5,8.3,,,
13,5,2,1,5.5,,,
13,5,2,1,7.3,,,
13,5,2,5,22.7,,,
13,5,2,1,8.3,,,
13,5,2,2,8.7,,,
13,5,2,1,5.4,,,
13,5,2,1,6,,,
13,5,2,1,7.2,,,
13,5,2,1,5.9,,,
13,5,2,1,5.8,,,
13,5,2,1,5.9,,,
13,5,2,3,8.4,,,
13,5,2,1,6.2,,,
13,5,2,1,6.3,,,
13,5,2,1,,5.8,2,
13,5,2,1,12.2,,,
13,5,2,1,5.2,,,
13,5,2,1,6,,,
13,5,2,1,5.2,,,
13,5,2,1,5.9,,,
13,5,2,1,7.5,,,
13,5,2,6,5.3,,,
13,5,2,6,6.6,,,
13,5,2,5,8.2,,,
13,5,2,5,6.5,,,
13,5,2,5,5.9,,,
13,5,2,5,5.5,,,
13,6,2,5,5.1,,,
13,6,2,5,,6.2,2,
13,6,2,5,8.7,,,
13,6,2,5,7.1,,,
