"StudyID","SampID","StudySampID","Ecosystem","SubSampID","SampInterval","ExtrapInterval","SampLength","BD_type","BD","C method","OM_type","C_type","PercOM","PercC","Calc_CD_C","Calc_CD_OM","Notes"
"13",1,"RR-CA-01-2014","EM","1a","0-5","0-5",5,"M",0.27,"CHN&LOI","M","M",30.9,13.1,0.035,0.036,NA
"13",1,"RR-CA-01-2014","EM","1b","5-10","5-10",5,"M",0.38,"CHN&LOI","M","M",34.2,15.9,0.06,0.057,NA
"13",1,"RR-CA-01-2014","EM","1c","10-15","10-15",5,"M",0.51,"CHN&LOI","M","M",25.5,9.8,0.05,0.056,NA
"13",1,"RR-CA-01-2014","EM","1d","15-20","15-20",5,"M",0.47,"CHN&LOI","M","M",22.5,8.1,0.038,0.045,NA
"13",1,"RR-CA-01-2014","EM","1e","20-30","20-30",10,"E",0.47,NA,"E","E",22.5,8.1,0.038,0.045,NA
"13",3,"RR-CA-03-2014","EM","3a","0-5","0-5",5,"M",0.19,"CHN&LOI","M","M",64.4,30.3,0.058,0.055,NA
"13",3,"RR-CA-03-2014","EM","3b","5-10","5-10",5,"M",0.2,"CHN&LOI","M","M",44.6,20.1,0.04,0.039,NA
"13",3,"RR-CA-03-2014","EM","3c","10-15","10-15",5,"M",0.24,"CHN&LOI","M","M",36.9,16.4,0.039,0.039,NA
"13",3,"RR-CA-03-2014","EM","3d","15-20","15-20",5,"M",0.3,"CHN&LOI","M","M",30.2,12.2,0.037,0.039,NA
"13",3,"RR-CA-03-2014","EM","3e","20-30","20-30",10,"E",0.3,NA,"E","E",30.2,12.2,0.037,0.039,NA
"13",4,"RR-CA-04-2014","EM","4a","0-5","0-5",5,"M",0.24,"CHN&LOI","M","M",43.9,19.5,0.047,0.047,NA
"13",4,"RR-CA-04-2014","EM","4b","5-10","5-10",5,"M",0.26,"CHN&LOI","M","M",35.3,15.1,0.039,0.04,NA
"13",4,"RR-CA-04-2014","EM","4c","10-15","10-15",5,"M",0.24,"CHN&LOI","M","M",33.5,13.6,0.033,0.035,NA
"13",4,"RR-CA-04-2014","EM","4d","15-20","15-20",5,"M",0.27,"CHN&LOI","M","M",35.6,14.8,0.04,0.042,NA
"13",4,"RR-CA-04-2014","EM","4e","20-30","20-30",10,"E",0.27,NA,"E","E",35.6,14.8,0.04,0.042,NA
"13",5,"RR-CA-05-2014","EM","5a","0-5","0-5",5,"M",0.2,"CHN&LOI","M","M",57.8,27.4,0.055,0.052,NA
"13",5,"RR-CA-05-2014","EM","5b","5-10","5-10",5,"M",0.23,"CHN&LOI","M","M",38.9,17.4,0.04,0.039,NA
"13",5,"RR-CA-05-2014","EM","5c","10-15","10-15",5,"M",0.26,"CHN&LOI","M","M",42.6,19.8,0.052,0.049,NA
"13",5,"RR-CA-05-2014","EM","5d","15-20","15-20",5,"M",0.25,"CHN&LOI","M","M",39.6,17.2,0.043,0.044,NA
"13",5,"RR-CA-05-2014","EM","5e","20-30","20-30",10,"E",0.25,NA,"E","E",39.6,17.2,0.043,0.044,NA
"13",6,"RR-CA-06-2014","EM","6a","0-5","0-5",5,"M",0.18,"CHN&LOI","M","M",49,22.1,0.04,0.039,NA
"13",6,"RR-CA-06-2014","EM","6b","5-10","5-10",5,"M",0.21,"CHN&LOI","M","M",45.8,20.4,0.043,0.042,NA
"13",6,"RR-CA-06-2014","EM","6c","10-15","10-15",5,"M",0.24,"CHN&LOI","M","M",37.8,17.2,0.041,0.04,NA
"13",6,"RR-CA-06-2014","EM","6d","15-20","15-20",5,"M",0.28,"CHN&LOI","M","M",34.1,14.3,0.04,0.042,NA
"13",6,"RR-CA-06-2014","EM","6e","20-30","20-30",10,"E",0.28,NA,"E","E",34.1,14.3,0.04,0.042,NA
"13",8,"RR-CA-08-2014","EM","8a","0-5","0-5",5,"M",0.17,"CHN&LOI","M","M",52.1,23.7,0.04,0.039,NA
"13",8,"RR-CA-08-2014","EM","8b","5-10","5-10",5,"M",0.21,"CHN&LOI","M","M",44.9,20.6,0.043,0.042,NA
"13",8,"RR-CA-08-2014","EM","8c","10-15","10-15",5,"M",0.26,"CHN&LOI","M","M",35,15.2,0.04,0.04,NA
"13",8,"RR-CA-08-2014","EM","8d","15-20","15-20",5,"M",0.27,"CHN&LOI","M","M",31.1,12,0.032,0.036,NA
"13",8,"RR-CA-08-2014","EM","8e","20-30","20-30",10,"E",0.27,NA,"E","E",31.1,12,0.032,0.036,NA
"13",9,"RR-CA-09-2014","EM","9a","0-5","0-5",5,"M",0.51,"CHN&LOI","M","M",13.6,4.2,0.021,0.027,NA
"13",9,"RR-CA-09-2014","EM","9b","5-10","5-10",5,"M",0.41,"CHN&LOI","M","M",15.1,4.3,0.017,0.025,NA
"13",9,"RR-CA-09-2014","EM","9c","10-15","10-15",5,"M",0.54,"CHN&LOI","M","M",12,3.3,0.018,0.025,NA
"13",9,"RR-CA-09-2014","EM","9d","15-20","15-20",5,"M",0.7,"CHN&LOI","M","M",13.3,4,0.028,0.037,NA
"13",9,"RR-CA-09-2014","EM","9e","20-30","20-30",10,"E",0.7,NA,"E","E",13.3,4,0.028,0.037,NA
"13",10,"RR-CA-10-2014","EM","10a","0-5","0-5",5,"M",0.46,"CHN&LOI","M","M",18.2,5.7,0.026,0.035,NA
"13",10,"RR-CA-10-2014","EM","10b","5-10","5-10",5,"M",0.32,"CHN&LOI","M","M",17.5,5.3,0.017,0.023,NA
"13",10,"RR-CA-10-2014","EM","10c","10-15","10-15",5,"M",0.26,"CHN&LOI","M","M",23.4,8.9,0.023,0.026,NA
"13",10,"RR-CA-10-2014","EM","10d","15-20","15-20",5,"M",0.36,"CHN&LOI","M","M",26.9,11.1,0.04,0.042,NA
"13",10,"RR-CA-10-2014","EM","10e","20-30","20-30",10,"E",0.36,NA,"E","E",26.9,11.1,0.04,0.042,NA
"13",11,"RR-CA-11-2014","EM","11a","0-5","0-5",5,"M",0.15,"CHN&LOI","M","M",51.1,24.4,0.037,0.034,NA
"13",11,"RR-CA-11-2014","EM","11b","5-10","5-10",5,"M",0.27,"CHN&LOI","M","M",29.9,12,0.032,0.035,NA
"13",11,"RR-CA-11-2014","EM","11c","10-15","10-15",5,"M",0.22,"CHN&LOI","M","M",36,15.7,0.034,0.035,NA
"13",11,"RR-CA-11-2014","EM","11d","15-20","15-20",5,"M",0.29,"CHN&LOI","M","M",33.7,14,0.041,0.043,NA
"13",11,"RR-CA-11-2014","EM","11e","20-30","20-30",10,"E",0.29,NA,"E","E",33.7,14,0.041,0.043,NA
"13",12,"RR-CA-12-2014","EM","12a","0-5","0-5",5,"M",0.16,"CHN&LOI","M","M",53,27.7,0.044,0.038,NA
"13",12,"RR-CA-12-2014","EM","12b","5-10","5-10",5,"M",0.22,"CHN&LOI","M","M",44,19.8,0.044,0.043,NA
"13",12,"RR-CA-12-2014","EM","12c","10-15","10-15",5,"M",0.22,"CHN&LOI","M","M",39.9,17.9,0.039,0.039,NA
"13",12,"RR-CA-12-2014","EM","12d","15-20","15-20",5,"M",0.23,"CHN&LOI","M","M",49.9,23.7,0.054,0.051,NA
"13",12,"RR-CA-12-2014","EM","12e","20-30","20-30",10,"E",0.23,NA,"E","E",49.9,23.7,0.054,0.051,NA
"13",13,"RR-CA-13-2014","EM","13a","0-5","0-5",5,"M",0.19,"CHN&LOI","M","M",51.5,23.4,0.044,0.043,NA
"13",13,"RR-CA-13-2014","EM","13b","5-10","5-10",5,"M",0.26,"CHN&LOI","M","M",34.9,15.4,0.04,0.04,NA
"13",13,"RR-CA-13-2014","EM","13c","10-15","10-15",5,"M",0.28,"CHN&LOI","M","M",45,20.7,0.058,0.056,NA
"13",13,"RR-CA-13-2014","EM","13d","15-20","15-20",5,"M",0.25,"CHN&LOI","M","M",40.2,18,0.045,0.044,NA
"13",13,"RR-CA-13-2014","EM","13e","20-30","20-30",10,"E",0.25,NA,"E","E",40.2,18,0.045,0.044,NA
"13",14,"RR-CA-13-2014","EM","14b","5-10","5-10",5,"M",0.27,"CHN&LOI","M","M",35.3,16,0.043,0.042,NA
"13",14,"RR-CA-13-2014","EM","14c","10-15","10-15",5,"M",0.28,"CHN&LOI","M","M",43.8,20.6,0.058,0.054,NA
"13",14,"RR-CA-13-2014","EM","14d","15-20","15-20",5,"M",0.23,"CHN&LOI","M","M",34.1,14.7,0.034,0.034,NA
"13",14,"RR-CA-13-2014","EM","14e","20-30","20-30",10,"E",0.23,NA,"E","E",34.1,14.7,0.034,0.034,NA
"13",15,"RR-CA-15-2014","EM","15a","0-5","0-5",5,"M",0.38,"CHN&LOI","M","M",16.7,5.9,0.022,0.026,NA
"13",15,"RR-CA-15-2014","EM","15b","5-10","5-10",5,"M",0.48,"CHN&LOI","M","M",12.3,3.5,0.017,0.023,NA
