"StudyID","SampID","Ecosystem","State","Estuary","EstType","Lat","Long","LatLongType","Lvl1EcoReg","KGzone","Cdepth","StkMeth","Stk30","Stk50","Stk100","PercFines","GrainType","Elev_z","Elev_zlow","Elev_zhigh","VegGrp"
"13",1,"EM","CA","SUI","TDE",38.2031,-122.027,"SPEC",11,"Csa","20","CHN",130.16,NA,NA,NA,NA,1.036,NA,1.036,"Br-grm"
"13",3,"EM","CA","SUI","TDE",38.2023,-122.0274,"SPEC",11,"Csa","20","CHN",123.5,NA,NA,NA,NA,1.027,NA,1.027,"Br-grm"
"13",4,"EM","CA","SUI","TDE",38.2021,-122.0281,"SPEC",11,"Csa","20","CHN",119.18,NA,NA,NA,NA,1.025,NA,1.025,"Br-mix"
"13",5,"EM","CA","SUI","TDE",38.2023,-122.0285,"SPEC",11,"Csa","20","CHN",137.71,NA,NA,NA,NA,1.08,NA,1.08,"Br-grm"
"13",6,"EM","CA","SUI","TDE",38.2016,-122.0284,"SPEC",11,"Csa","20","CHN",121.89,NA,NA,NA,NA,1.051,NA,1.051,"Br-grm"
"13",8,"EM","CA","SUI","TDE",38.2035,-122.0274,"SPEC",11,"Csa","20","CHN",110.08,NA,NA,NA,NA,1.065,NA,1.065,"Br-grm"
"13",9,"EM","CA","SUI","TDE",38.1996,-122.0278,"SPEC",11,"Csa","20","CHN",70.44,NA,NA,NA,NA,1.084,NA,1.084,"Br-grm"
"13",10,"EM","CA","SUI","TDE",38.2,-122.0276,"SPEC",11,"Csa","20","CHN",93.46,NA,NA,NA,NA,1.153,NA,1.153,"Br-grm"
"13",11,"EM","CA","SUI","TDE",38.2007,-122.0285,"SPEC",11,"Csa","20","CHN",112.59,NA,NA,NA,NA,1.013,NA,1.013,"Br-mix"
"13",12,"EM","CA","SUI","TDE",38.2004,-122.0293,"SPEC",11,"Csa","20","CHN",145.32,NA,NA,NA,NA,0.992,NA,0.992,"Br-mix"
"13",13,"EM","CA","SUI","TDE",38.1996,-122.0304,"SPEC",11,"Csa","20","CHN",138.83,NA,NA,NA,NA,1.073,NA,1.073,"Br-mix"
"13",14,"EM","CA","SUI","TDE",38.1988,-122.0317,"SPEC",11,"Csa","20","CHN",122.1,NA,NA,NA,NA,1.056,NA,1.056,"Br-mix"
"13",15,"EM","CA","SUI","TDE",38.1986,-122.0309,"SPEC",11,"Csa","20","CHN",83.88,NA,NA,NA,NA,1.468,NA,1.468,"Br-grm"
"13",16,"EM","CA","SUI","TDE",38.1988,-122.0321,"SPEC",11,"Csa","20","CHN",129.01,NA,NA,NA,NA,0.985,NA,0.985,"Br-grm"
"13",17,"EM","CA","SUI","TDE",38.1992,-122.0325,"SPEC",11,"Csa","20","CHN",78.39,NA,NA,NA,NA,0.303,NA,0.303,"Br-grm"
"13",18,"EM","CA","SUI","TDE",38.1996,-122.0315,"SPEC",11,"Csa","20","CHN",69.7,NA,NA,NA,NA,1.161,NA,1.161,"Br-grm"
"13",19,"EM","CA","SUI","TDE",38.2009,-122.0304,"SPEC",11,"Csa","20","CHN",137.96,NA,NA,NA,NA,1.093,NA,1.093,"Br-grm"
"13",20,"EM","CA","SUI","TDE",38.2043,-122.0249,"SPEC",11,"Csa","20","CHN",44,NA,NA,NA,NA,0.971,NA,0.971,"Br-grm"
