"ID","SITEID","DATASETID"
1,1,7
2,2,7
3,18,7
4,19,1
5,19,3
6,19,4
7,20,1
8,20,3
9,20,4
10,1,1
11,2,1
12,10,1
13,12,1
14,13,1
15,14,1
16,15,1
17,16,1
18,17,1
19,21,1
20,22,1
21,23,1
22,21,2
23,22,2
24,23,2
25,21,3
26,22,3
27,23,3
28,21,4
29,22,4
30,23,4
31,21,5
32,22,5
33,23,5
34,24,1
35,24,2
36,24,3
37,24,4
38,24,5
39,25,1
40,25,2
41,25,3
42,25,4
43,25,5
44,26,1
45,26,2
46,26,3
47,26,4
48,26,5
49,27,1
50,27,3
51,27,4
52,27,5
53,28,1
54,28,3
55,28,4
56,28,5
