"ID","TREEID","COMPID","BIOMASS","EQID","C_CONT","C_CONCID","NOTES"
44028,21827,1,86.68,41,43.34,8,
44029,21827,7,4.09,5,1.59,6,
44030,21828,1,1230.17,42,615.09,8,
44031,21828,7,454.67,20,177.32,6,
44032,21829,3,54.17,11,27.08,8,
44033,21829,7,223.91,20,87.32,6,
44034,21830,1,529.35,42,264.67,8,
44035,21830,7,220.59,20,86.03,6,
44036,21831,1,36.02,41,18.01,8,
44037,21831,7,1.58,5,0.61,6,
44038,21832,1,116.63,41,58.31,8,
44039,21832,7,5.64,5,2.20,6,
44040,21833,1,77.84,41,38.92,8,
44041,21833,7,3.64,5,1.42,6,
44042,21834,1,69.55,41,34.77,8,
44043,21834,7,3.23,5,1.26,6,
44044,21835,1,64.84,41,32.42,8,
44045,21835,7,2.99,5,1.16,6,
44046,21836,1,58.86,41,29.43,8,
44047,21836,7,2.69,5,1.05,6,
44048,21837,1,44.12,41,22.06,8,
44049,21837,7,1.97,5,0.77,6,
44050,21838,1,164.89,41,82.44,8,
44051,21838,7,8.19,5,3.19,6,
44052,21839,1,55.99,41,27.99,8,
44053,21839,7,2.55,5,0.99,6,
44054,21840,1,96.09,41,48.04,8,
44055,21840,7,4.57,5,1.78,6,
44056,21841,1,26.98,41,13.49,8,
44057,21841,7,1.16,5,0.45,6,
44058,21842,1,42.91,41,21.45,8,
44059,21842,7,1.91,5,0.74,6,
44060,21843,1,13.29,41,6.65,8,
44061,21843,7,0.54,5,0.21,6,
44062,21844,1,24.30,41,12.15,8,
44063,21844,7,1.03,5,0.40,6,
44064,21845,1,26.07,41,13.03,8,
44065,21845,7,1.12,5,0.43,6,
44066,21846,3,4.48,11,2.24,8,
44067,21846,7,1.12,5,0.43,6,
44068,21847,1,25.18,41,12.59,8,
44069,21847,7,1.08,5,0.42,6,
44070,21848,1,42.91,41,21.45,8,
44071,21848,7,1.91,5,0.74,6,
44072,21849,1,18.68,41,9.34,8,
44073,21849,7,0.78,5,0.30,6,
44074,21850,1,17.95,41,8.97,8,
44075,21850,7,0.75,5,0.29,6,
44076,21851,1,14.36,41,7.18,8,"Decay reduction factor applied (0.8)."
44077,21851,7,0.75,5,0.29,6,
44078,21852,1,29.82,41,14.91,8,
44079,21852,7,1.29,5,0.50,6,
44080,21853,1,12.11,41,6.05,8,
44081,21853,7,0.49,5,0.19,6,
44082,21854,1,20.20,41,10.10,8,
44083,21854,7,0.85,5,0.33,6,
44084,21855,1,28.86,41,14.43,8,
44085,21855,7,1.25,5,0.48,6,
44086,21856,1,110.22,41,55.11,8,
44087,21856,7,5.30,5,2.06,6,
44088,21857,1,17.95,41,8.97,8,
44089,21857,7,0.75,5,0.29,6,
44090,21858,1,58.86,41,29.43,8,
44091,21858,7,2.69,5,1.05,6,
44092,21859,1,32.83,41,16.41,8,
44093,21859,7,1.43,5,0.56,6,
44094,21860,1,30.81,41,15.40,8,
44095,21860,7,1.34,5,0.52,6,
44096,21861,1,28.86,41,14.43,8,
44097,21861,7,1.25,5,0.48,6,
44098,21862,1,27.91,41,13.95,8,
44099,21862,7,1.20,5,0.47,6,
44100,21863,1,20.20,41,10.10,8,
44101,21863,7,0.85,5,0.33,6,
44102,21864,1,71.17,41,35.58,8,
44103,21864,7,3.31,5,1.29,6,
44104,21865,1,77.84,41,38.92,8,
44105,21865,7,3.64,5,1.42,6,
44106,21866,1,21.79,41,10.89,8,
44107,21866,7,0.92,5,0.36,6,
44108,21867,3,8.60,11,4.30,8,
44109,21867,7,2.62,5,1.02,6,
44110,21868,1,159.62,41,79.81,8,
44111,21868,7,7.91,5,3.08,6,
44112,21869,1,112.33,41,56.16,8,
44113,21869,7,5.41,5,2.11,6,
44114,21870,1,96.09,41,48.04,8,
44115,21870,7,4.57,5,1.78,6,
44116,21871,1,96.09,41,48.04,8,
44117,21871,7,4.57,5,1.78,6,
44118,21872,1,36.02,41,18.01,8,
44119,21872,7,1.58,5,0.61,6,
44120,21873,1,88.52,41,44.26,8,
44121,21873,7,4.18,5,1.63,6,
44122,21874,1,36.02,41,18.01,8,
44123,21874,7,1.58,5,0.61,6,
44124,21875,1,74.46,41,37.23,8,
44125,21875,7,3.47,5,1.35,6,
44126,21876,1,72.80,41,36.40,8,
44127,21876,7,3.39,5,1.32,6,
44128,21877,1,125.50,41,62.75,8,
44129,21877,7,6.10,5,2.38,6,
44130,21878,1,96.09,41,48.04,8,
44131,21878,7,4.57,5,1.78,6,
44132,21879,1,37.40,41,18.70,8,"Decay reduction factor applied (0.95)."
44133,21879,7,1.74,5,0.68,6,
44134,21880,1,27.91,41,13.95,8,
44135,21880,7,1.20,5,0.47,6,
44136,21881,1,28.81,41,14.40,8,"Decay reduction factor applied (0.8)."
44137,21881,7,1.58,5,0.61,6,
44138,21882,1,13.79,41,6.89,8,"Decay reduction factor applied (0.8)."
44139,21882,7,0.71,5,0.28,6,
44140,21883,1,40.53,41,20.26,8,
44141,21883,7,1.80,5,0.70,6,
44142,21884,1,41.71,41,20.85,8,
44143,21884,7,1.86,5,0.72,6,
44144,21885,1,44.12,41,22.06,8,
44145,21885,7,1.97,5,0.77,6,
44146,21886,1,47.90,41,23.95,8,
44147,21886,7,2.16,5,0.84,6,
44148,21887,3,10.08,11,5.04,8,
44149,21887,7,3.23,5,1.26,6,
44150,21888,1,54.59,41,27.29,8,
44151,21888,7,2.48,5,0.97,6,
44152,21889,1,34.21,41,17.11,8,"Decay reduction factor applied (0.95)."
44153,21889,7,1.58,5,0.61,6,
44154,21890,1,58.86,41,29.43,8,
44155,21890,7,2.69,5,1.05,6,
44156,21891,1,12.06,41,6.03,8,"Decay reduction factor applied (0.95)."
44157,21891,7,0.51,5,0.20,6,
44158,21892,1,14.54,41,7.27,8,
44159,21892,7,0.59,5,0.23,6,
44160,21893,3,8.25,11,4.12,8,
