Site,Status,ID,Date,Lat,Lon,Depth,Elevation,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e,wtC,wtN,13C,15N,Age,Age_e,VAR,MAR,CAR,Year
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,0,6.3,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,   ,   ,   ,   ,  ,,,2017.9
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,0.5,5.8,0.0591,23.0348,0.9997,1.1094,0.2765,21.9254,1.0372,0,0,6.1631,1.46,38.51,1.81,-27.16,4.8,1.1,0.8,9,531,204,2016.8
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,1.5,4.8,0.0637,26.3767,1.0287,0.9969,0.2379,25.3798,1.0559,0,0,4.4255,1.3803,   ,   ,   ,   ,2.6,0.8,6.9,441,,2015.3
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,2.5,3.8,0.0694,23.6505,0.6977,0.4384,0.1252,23.2121,0.7088,0,0,0,0,   ,   ,   ,   ,4.1,0.9,6.6,460,,2013.8
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,3.5,2.8,0.0857,20.8044,0.8717,0.8,0.1,20.0044,0.8774,0,0,0,0,27.58,1.62,-27.45,4.91,5.8,0.9,5.9,508,140,2012.2
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,4.5,1.8,0.1113,17.8188,0.6593,1.0615,0.1536,16.7573,0.677,0,0,0,0,   ,   ,   ,   ,7.7,0.9,5.2,573,,2010.2
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,5.5,0.8,0.1098,18.2451,0.6349,0.7929,0.1418,17.4522,0.6506,0,0,0,0,   ,   ,   ,   ,9.8,1,4.7,517,,2008.1
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,6.5,-0.2,0.1421,14.37,0.4728,0.6114,0.0991,13.7585,0.483,0,0,0,0,28.13,1.58,-27.21,5.45,12.1,1,4.3,612,172,2005.8
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,7.5,-1.2,0.0927,17.0085,0.7144,2.1582,0.2093,14.8502,0.7444,0,0,0,0,   ,   ,   ,   ,13.9,1.1,5.7,532,,2004
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,8.5,-2.2,0.0912,18.6135,0.8302,1.5617,0.2313,17.0519,0.8618,0,0,0,0,   ,   ,   ,   ,16,1.2,4.8,436,,2001.9
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,9.5,-3.2,0.1068,15.0022,0.7051,1.4136,0.1859,13.5887,0.7292,0,0,0,0,28.03,1.77,-27.28,5.82,18.1,1.2,4.8,513,144,1999.9
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,10.5,-4.2,0.0875,12.9501,0.5737,1.6748,0.1844,11.2754,0.6026,0,0,0,0,   ,   ,   ,   ,19.5,1.3,6.7,585,,1998.4
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,11.5,-5.2,0.1015,11.8458,0.4288,1.4048,0.1256,10.441,0.4468,0,0,0,0,   ,   ,   ,   ,21.2,1.3,5.9,601,,1996.7
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,12.5,-6.2,0.0942,12.9006,0.587,1.2777,0.1336,11.623,0.602,0,0,0,0,26.73,1.45,-27.31,6.17,23.1,1.4,5.4,511,137,1994.8
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,13.5,-7.2,0.0942,13.6162,0.6509,0.6403,0.1835,12.976,0.6762,0,0,0,0,   ,   ,   ,   ,25.3,1.5,4.6,430,,1992.6
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,14.5,-8.2,0.0787,13.0998,0.5908,1.1743,0.1804,11.9256,0.6177,0,0,0,0,   ,   ,   ,   ,27.1,1.5,5.6,440,,1990.8
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,15.5,-9.2,0.1253,9.5489,0.4698,0.9159,0.1393,8.6331,0.49,0,0,0,0,24.7,1.43,-27.67,5.85,29.3,1.6,4.6,571,141,1988.7
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,16.5,-10.2,0.0902,10.8415,0.5605,0.7106,0.1241,10.1309,0.5741,0,0,0,0,   ,   ,   ,   ,31.2,1.7,5.1,456,,1986.7
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,17.5,-11.2,0.1521,7.4297,0.399,0.728,0.1032,6.7017,0.4121,0.3118,0.0683,0,0,   ,   ,   ,   ,33.6,1.9,4.2,644,,1984.3
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,18.5,-12.2,0.1095,9.4652,0.6039,0.8,0.1,8.6652,0.6121,0,0,0,0,22.22,1.03,-27.9,4.54,36,2,4.2,463,103,1981.9
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,19.5,-13.2,0.1376,4.5519,0.3664,0.3591,0.1073,4.1928,0.3818,0,0,0,0,   ,   ,   ,   ,37.5,2.1,6.5,900,,1980.4
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,20.5,-14.2,0.0727,13.91,0.8596,0.6887,0.1883,13.2213,0.88,0.9942,0.1797,0,0,   ,   ,   ,   ,40.2,2.3,3.7,267,,1977.7
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,21.5,-15.2,0.1311,8.9459,0.4205,0.3925,0.1058,8.5534,0.4336,0.4238,0.072,0,0,27.57,1.23,-27.28,4.47,43.7,2.5,2.9,375,103,1974.2
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,22.5,-16.2,0.1238,12.1301,0.5325,0.5192,0.1109,11.6109,0.5439,1.3681,0.1062,0,0,   ,   ,   ,   ,48.8,2.9,2,242,,1969.1
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,23.5,-17.2,0.1338,11.6076,0.5827,0.8,0.1,10.8076,0.5912,5.2401,0.1876,0,0,   ,   ,   ,   ,55,3.6,1.6,218,,1962.9
Herring River,Phragmites,HRPA,10/27/2017,41.93744,-70.05544,24.5,-18.2,0.1677,7.6994,0.3934,0.4804,0.1242,7.219,0.4126,5.5867,0.157,0,0,25.56,1.32,-27.26,3.88,61.2,4.4,1.6,269,69,1956.7
