study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,c14_age,c14_age_se,c14_material
Rodriguez_et_al_2022,LB,LB_3,single set of methods,0,2,0.10352854166666625,0.4089451982846937,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,2,4,0.11792854166666625,0.38572087263296956,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,4,6,0.18866604166666626,0.278136963792946,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,6,8,0.09826604166666625,0.4939397087413655,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,8,10,0.14921604166666627,0.39221654284824836,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,10,12,0.18309104166666626,0.3702393048995444,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,12,14,0.19326604166666625,0.26362624059882966,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,14,16,0.24607854166666623,0.23798296106341435,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,16,18,0.21970354166666625,0.2907326823930359,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,18,20,0.40689104166666623,0.16619928451361624,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,20,22,0.21774104166666622,0.31792352727867734,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,22,24,0.23482854166666625,0.399919444772206,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,24,26,0.17117854166666627,0.40885673705694825,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,26,28,0.12839104166666623,0.42088216824577385,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,28,30,0.12841604166666623,0.37767867137575417,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,30,32,0.16636604166666627,0.4029518243531782,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,32,34,0.34962854166666624,0.20343018811035785,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,34,36,0.22455354166666622,0.33794835493020015,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,36,38,0.32919104166666624,0.377288517242711,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,38,40,0.32956604166666625,0.37636614310358935,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,40,42,0.20556604166666623,0.49272486437347385,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,42,44,0.19871604166666626,0.3752213428499847,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,44,46,0.16382854166666624,0.4797698813673352,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,46,48,0.15001604166666624,0.4148722983792023,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,48,50,0.14686604166666625,0.4662412033641782,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,50,52,0.14515354166666625,0.46476647572900676,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,52,54,0.17055354166666623,0.40778983139458985,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,54,56,0.23047854166666623,0.5028667708580977,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,56,58,0.3278160416666662,0.38378994316553344,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,58,60,0.3024285416666662,0.25700285949091306,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,60,62,0.19094104166666623,0.46382118389511695,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,62,64,0.16175354166666625,0.5083350828227627,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,64,66,0.15304104166666624,0.4482457728523271,NA,NA,NA
Rodriguez_et_al_2022,LB,LB_3,single set of methods,66,68,0.22970354166666626,0.398829288113212,NA,NA,NA
