study_id,site_id,vegetation_class,site_longitude_max,site_longitude_min,site_latitude_max,site_latitude_min,site_description,salinity_class,inundation_class
Krause-Jensen_et_al_2011,Aarhus_Bay,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Agerø-st._2,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Agerø-st._5,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Agerø-st._8,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Agerø-st.11,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Als_Fjord-st._13,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Als_Fjord-st._14,seagrass,NA,NA,NA,NA,NA,NA,NA
Marba_unpublished,Anglesey,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Århus_Bugt-st._10,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Århus_Bugt-st._15,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Århus_Bugt-st._17,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Århus_Bugt-st._3,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Århus_Bugt-st._5,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Århus_Bugt-st._7,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Århus_Bugt-st._9,seagrass,NA,NA,NA,NA,NA,NA,NA
Cotner_et_al_2004,Baffin_Bay,seagrass,NA,NA,NA,NA,NA,NA,NA
Carruthers_et_al_2005,Bahia_Almirante,seagrass,NA,NA,NA,NA,NA,NA,NA
Erftemeijer_and_Middelburg_1993,Barrang_Lompo,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Barsø-st._8,seagrass,NA,NA,NA,NA,NA,NA,NA
Van_Engeland_2010,Bay_of_Cadiz,seagrass,NA,NA,NA,NA,NA,NA,NA
Townsend_and_Fonseca_1998,Beaufort_North_Carolina_USA,seagrass,NA,NA,NA,NA,NA,NA,NA
Mellors_et_al_2002,Bolger_Bay,seagrass,NA,NA,NA,NA,NA,NA,NA
Marba_unpublished,Bolinao,seagrass,NA,NA,NA,NA,NA,NA,NA
Lewis_et_al_2007,Bonito_Bay,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Cádiz_Bay,seagrass,NA,NA,NA,NA,NA,NA,NA
Calleja_et_al_2007,Cala_Millor,seagrass,NA,NA,NA,NA,NA,NA,NA
Maher_and_Eyre_2010,Camden_Haven,seagrass,NA,NA,NA,NA,NA,NA,NA
Holmer_et_al_2007,Campello,seagrass,NA,NA,NA,NA,NA,NA,NA
Agawin_et_al_1996,Cape_Bolinao,seagrass,NA,NA,NA,NA,NA,NA,NA
Gonneea_et_al_2004,Celestun_Lagoon,seagrass,NA,NA,NA,NA,NA,NA,NA
Gonneea_et_al_2004,Chelem_Lagoon,seagrass,NA,NA,NA,NA,NA,NA,NA
Lewis_et_al_2007,Choctwhatchee_Bay,seagrass,NA,NA,NA,NA,NA,NA,NA
Mateo_et_al_1997,Culip,seagrass,NA,NA,NA,NA,NA,NA,NA
Holmer_et_al_2007,Cyprus,unvegetated marine,NA,NA,NA,NA,NA,NA,NA
Vichkovitten_et_al_2005,Denmark,seagrass,NA,NA,NA,NA,NA,NA,NA
NA,Dragstrup_Vig-st._7,seagrass,NA,NA,NA,NA,NA,NA,NA
Yamamuro_et_al_1993,Dravuni_Is,unvegetated marine,NA,NA,NA,NA,NA,NA,NA
Yamamuro_et_al_1993,Dravuni_Is._Fiji,seagrass,NA,NA,NA,NA,NA,NA,NA
Koch_and_Madden_2001,Eastern_Grand_Bahama,seagrass,NA,NA,NA,NA,NA,NA,NA
Pedersen_et_al_1997,Ebro_Delta,seagrass,NA,NA,NA,NA,NA,NA,NA
Mateo_et_al_1997,El_Campello,seagrass,NA,NA,NA,NA,NA,NA,NA
Kamp-Nielsen_et_al_2002,El_Nido,seagrass,NA,NA,NA,NA,NA,NA,NA
Mellors_et_al_2002,Ellie_Pt,seagrass,NA,NA,NA,NA,NA,NA,NA
