study_id,core_id,impact_class
Boyd_2012,BBRC_1,natural
Boyd_2012,BBRC_2,natural
Boyd_2012,NCBD_1,impounded
Boyd_2012,NCBD_2,impounded
Boyd_2012,NCBD_3,impounded
Boyd_2012,NCBW_1,impounded
Boyd_2012,NCBW_2,impounded
Boyd_2012,NCBW_3,impounded
Boyd_2012,NCGB_1,impounded
Boyd_2012,NCGB_2,impounded
Boyd_2012,NCGB_3,impounded
Boyd_2012,LC_1,impounded
Boyd_2012,LC_2,impounded
Boyd_2012,LC_3,impounded
Boyd_2012,NCLM_1,natural
Boyd_2012,NCLM_2,natural
Boyd_2012,NCLM_3,natural
Boyd_2012,PK_1,natural
Boyd_2012,PK_2,natural
Boyd_2012,PK_3,natural
Boyd_2012,MH_1,impounded
Boyd_2012,MH_2,impounded
Boyd_2012,MH_3,impounded
Boyd_2012,NCRE_1,natural
Boyd_2012,NCRE_2,natural
Boyd_2012,NCRE_3,natural
Boyd_2012,TH_1,impounded
Boyd_2012,TH_2,impounded
Boyd_2012,TH_3,impounded
Boyd_2012,TH_4,impounded
Boyd_2012,TH_5,impounded
Boyd_2012,TH_6,impounded
Boyd_and_Sommerfield_2016,PM_01,natural
Boyd_and_Sommerfield_2016,PM_02,natural
Boyd_and_Sommerfield_2016,PM_03,impounded
Boyd_and_Sommerfield_2016,PM_03,ditched
Boyd_and_Sommerfield_2016,PM_04,impounded
Boyd_and_Sommerfield_2016,PM_04,ditched
Boyd_and_Sommerfield_2016,PM_05,impounded
Boyd_and_Sommerfield_2016,PM_05,ditched
Boyd_and_Sommerfield_2016,PM_06,impounded
Boyd_and_Sommerfield_2016,PM_06,ditched
Boyd_and_Sommerfield_2016,PM_07,natural
Boyd_and_Sommerfield_2016,PM_08,impounded
Boyd_and_Sommerfield_2016,PM_08,ditched
Boyd_and_Sommerfield_2016,PM_09,impounded
Boyd_and_Sommerfield_2016,PM_09,ditched
Boyd_and_Sommerfield_2016,PM_10,natural
Boyd_and_Sommerfield_2016,PM_11,natural
Boyd_and_Sommerfield_2016,PM_12,natural
Breithaupt_et_al_2014,SH3_1,NA
Breithaupt_et_al_2014,SH3_3,NA
Breithaupt_et_al_2014,SH3_5,NA
Breithaupt_et_al_2014,SH3_7,NA
Breithaupt_et_al_2014,SH3_8,NA
Breithaupt_et_al_2014,SH3_9,NA
Breithaupt_et_al_2017,TTI1,natural
Breithaupt_et_al_2017,TTI2,natural
Breithaupt_et_al_2017,TTI3,natural
Breithaupt_et_al_2017,TTI4,natural
Breithaupt_et_al_2017,TTI5,natural
Breithaupt_et_al_2017,WSC11,NA
Breithaupt_et_al_2017,WSC12,NA
Breithaupt_et_al_2017,WSC13_2,NA
Breithaupt_et_al_2017,WSC07,NA
Breithaupt_et_al_2017,WSC08A,NA
Breithaupt_et_al_2017,WSC08B,NA
Breithaupt_et_al_2017,WSC09,NA
Breithaupt_et_al_2017,WSC10_1,NA
Breithaupt_et_al_2017,WSC01,NA
Breithaupt_et_al_2017,WSC02A,NA
Breithaupt_et_al_2017,WSC02B,NA
Breithaupt_et_al_2017,WSC03,NA
Breithaupt_et_al_2017,WSC04_1,NA
Breithaupt_et_al_2017,WSC05,NA
Breithaupt_et_al_2017,WSC06_2,NA
Callaway_et_al_2012,Browns_Island_A_High,natural
