study_id,core_id,species_code,site_id
Boyd_2012,BBRC_1,Phragmites australis,NA
Boyd_2012,BBRC_1,Distichlis spicata,NA
Boyd_2012,BBRC_2,Phragmites australis,NA
Boyd_2012,BBRC_2,Distichlis spicata,NA
Boyd_2012,NCBD_1,Phragmites australis,NA
Boyd_2012,NCBD_1,Distichlis spicata,NA
Boyd_2012,NCBD_2,Phragmites australis,NA
Boyd_2012,NCBD_2,Distichlis spicata,NA
Boyd_2012,NCBD_3,Phragmites australis,NA
Boyd_2012,NCBD_3,Distichlis spicata,NA
Boyd_2012,NCBW_1,Phragmites australis,NA
Boyd_2012,NCBW_1,Distichlis spicata,NA
Boyd_2012,NCBW_2,Phragmites australis,NA
Boyd_2012,NCBW_2,Distichlis spicata,NA
Boyd_2012,NCBW_3,Phragmites australis,NA
Boyd_2012,NCBW_3,Distichlis spicata,NA
Boyd_2012,NCGB_1,Phragmites australis,NA
Boyd_2012,NCGB_1,Distichlis spicata,NA
Boyd_2012,NCGB_2,Phragmites australis,NA
Boyd_2012,NCGB_2,Distichlis spicata,NA
Boyd_2012,NCGB_3,Phragmites australis,NA
Boyd_2012,NCGB_3,Distichlis spicata,NA
Boyd_2012,LC_1,Spartina alterniflora,NA
Boyd_2012,LC_1,Spartina patens,NA
Boyd_2012,LC_2,Spartina alterniflora,NA
Boyd_2012,LC_2,Spartina patens,NA
Boyd_2012,LC_3,Spartina alterniflora,NA
Boyd_2012,LC_3,Spartina patens,NA
Boyd_2012,NCLM_1,Phragmites australis,NA
Boyd_2012,NCLM_1,Distichlis spicata,NA
Boyd_2012,NCLM_2,Phragmites australis,NA
Boyd_2012,NCLM_2,Distichlis spicata,NA
Boyd_2012,NCLM_3,Phragmites australis,NA
Boyd_2012,NCLM_3,Distichlis spicata,NA
Boyd_2012,PK_1,Spartina alterniflora,NA
Boyd_2012,PK_1,Spartina patens,NA
Boyd_2012,PK_2,Spartina alterniflora,NA
Boyd_2012,PK_2,Spartina patens,NA
Boyd_2012,PK_3,Spartina alterniflora,NA
Boyd_2012,PK_3,Spartina patens,NA
Boyd_2012,MH_1,Spartina alterniflora,NA
Boyd_2012,MH_1,Spartina patens,NA
Boyd_2012,MH_2,Spartina alterniflora,NA
Boyd_2012,MH_2,Spartina patens,NA
Boyd_2012,MH_3,Spartina alterniflora,NA
Boyd_2012,MH_3,Spartina patens,NA
Boyd_2012,NCRE_1,Phragmites australis,NA
Boyd_2012,NCRE_1,Distichlis spicata,NA
Boyd_2012,NCRE_2,Phragmites australis,NA
Boyd_2012,NCRE_2,Distichlis spicata,NA
Boyd_2012,NCRE_3,Phragmites australis,NA
Boyd_2012,NCRE_3,Distichlis spicata,NA
Boyd_2012,TH_1,Spartina alterniflora,NA
Boyd_2012,TH_1,Spartina patens,NA
Boyd_2012,TH_2,Spartina alterniflora,NA
Boyd_2012,TH_2,Spartina patens,NA
Boyd_2012,TH_3,Spartina alterniflora,NA
Boyd_2012,TH_3,Spartina patens,NA
Boyd_2012,TH_4,Spartina alterniflora,NA
Boyd_2012,TH_4,Spartina patens,NA
Boyd_2012,TH_5,Spartina alterniflora,NA
Boyd_2012,TH_5,Spartina patens,NA
Boyd_2012,TH_6,Spartina alterniflora,NA
Boyd_2012,TH_6,Spartina patens,NA
Boyd_and_Sommerfield_2016,PM_01,Spartina alterniflora,NA
Boyd_and_Sommerfield_2016,PM_01,Spartina patens,NA
Boyd_and_Sommerfield_2016,PM_02,Spartina alterniflora,NA
Boyd_and_Sommerfield_2016,PM_02,Spartina patens,NA
Boyd_and_Sommerfield_2016,PM_03,Spartina alterniflora,NA
Boyd_and_Sommerfield_2016,PM_03,Spartina patens,NA
Boyd_and_Sommerfield_2016,PM_04,Spartina alterniflora,NA
Boyd_and_Sommerfield_2016,PM_04,Spartina patens,NA
Boyd_and_Sommerfield_2016,PM_05,Spartina alterniflora,NA
Boyd_and_Sommerfield_2016,PM_05,Spartina patens,NA
Boyd_and_Sommerfield_2016,PM_06,Spartina alterniflora,NA
Boyd_and_Sommerfield_2016,PM_06,Spartina patens,NA
Boyd_and_Sommerfield_2016,PM_07,Spartina alterniflora,NA
Boyd_and_Sommerfield_2016,PM_07,Spartina patens,NA
Boyd_and_Sommerfield_2016,PM_08,Spartina alterniflora,NA
Boyd_and_Sommerfield_2016,PM_08,Spartina patens,NA
Boyd_and_Sommerfield_2016,PM_09,Spartina alterniflora,NA
Boyd_and_Sommerfield_2016,PM_09,Spartina patens,NA
Boyd_and_Sommerfield_2016,PM_10,Spartina alterniflora,NA
Boyd_and_Sommerfield_2016,PM_10,Spartina patens,NA
Boyd_and_Sommerfield_2016,PM_11,Spartina alterniflora,NA
Boyd_and_Sommerfield_2016,PM_11,Spartina patens,NA
Boyd_and_Sommerfield_2016,PM_12,Spartina alterniflora,NA
Boyd_and_Sommerfield_2016,PM_12,Spartina patens,NA
Breithaupt_et_al_2014,SH3_1,Rhizophora mangle,NA
Breithaupt_et_al_2014,SH3_3,Rhizophora mangle,NA
Breithaupt_et_al_2014,SH3_5,Rhizophora mangle,NA
Breithaupt_et_al_2014,SH3_7,Rhizophora mangle,NA
Breithaupt_et_al_2014,SH3_8,Rhizophora mangle,NA
Breithaupt_et_al_2014,SH3_9,Rhizophora mangle,NA
Breithaupt_et_al_2017,TTI1,Avicennia germinans,NA
Breithaupt_et_al_2017,TTI2,Avicennia germinans,NA
Breithaupt_et_al_2017,TTI3,Avicennia germinans,NA
Breithaupt_et_al_2017,TTI4,Avicennia germinans,NA
Breithaupt_et_al_2017,TTI5,Avicennia germinans,NA
Breithaupt_et_al_2017,WSC11,Rhizophora mangle,NA
Breithaupt_et_al_2017,WSC12,Rhizophora mangle,NA
Breithaupt_et_al_2017,WSC13_2,Rhizophora mangle,NA
Breithaupt_et_al_2017,WSC07,Rhizophora mangle,NA
Breithaupt_et_al_2017,WSC08A,Rhizophora mangle,NA
Breithaupt_et_al_2017,WSC08B,Rhizophora mangle,NA
Breithaupt_et_al_2017,WSC09,Rhizophora mangle,NA
Breithaupt_et_al_2017,WSC10_1,Rhizophora mangle,NA
Breithaupt_et_al_2017,WSC01,Rhizophora mangle,NA
Breithaupt_et_al_2017,WSC02A,Rhizophora mangle,NA
Breithaupt_et_al_2017,WSC02B,Rhizophora mangle,NA
Breithaupt_et_al_2017,WSC03,Rhizophora mangle,NA
Breithaupt_et_al_2017,WSC04_1,Rhizophora mangle,NA
Breithaupt_et_al_2017,WSC05,Rhizophora mangle,NA
Breithaupt_et_al_2017,WSC06_2,Rhizophora mangle,NA
Callaway_et_al_2012,Browns_Island_A_High,Scirpus acutus,NA
Callaway_et_al_2012,Browns_Island_A_High,Schoenoplectus californicus,NA
Callaway_et_al_2012,Browns_Island_A_High,Distichlis spicata,NA
Callaway_et_al_2012,Browns_Island_A_High,Typa domingensis,NA
Callaway_et_al_2012,Browns_Island_A_High,Triglochin maritima,NA
Callaway_et_al_2012,Browns_Island_A_Low,Scirpus acutus,NA
Callaway_et_al_2012,Browns_Island_A_Low,Schoenoplectus californicus,NA
Callaway_et_al_2012,Browns_Island_A_Low,Distichlis spicata,NA
Callaway_et_al_2012,Browns_Island_A_Low,Typa domingensis,NA
Callaway_et_al_2012,Browns_Island_A_Low,Triglochin maritima,NA
Callaway_et_al_2012,Browns_Island_A_Mid,Scirpus acutus,NA
Callaway_et_al_2012,Browns_Island_A_Mid,Schoenoplectus californicus,NA
Callaway_et_al_2012,Browns_Island_A_Mid,Distichlis spicata,NA
Callaway_et_al_2012,Browns_Island_A_Mid,Typa domingensis,NA
Callaway_et_al_2012,Browns_Island_A_Mid,Triglochin maritima,NA
Callaway_et_al_2012,Browns_Island_B_High,Scirpus acutus,NA
Callaway_et_al_2012,Browns_Island_B_High,Schoenoplectus californicus,NA
Callaway_et_al_2012,Browns_Island_B_High,Distichlis spicata,NA
Callaway_et_al_2012,Browns_Island_B_High,Typa domingensis,NA
Callaway_et_al_2012,Browns_Island_B_High,Triglochin maritima,NA
Callaway_et_al_2012,Browns_Island_B_Low,Scirpus acutus,NA
Callaway_et_al_2012,Browns_Island_B_Low,Schoenoplectus californicus,NA
Callaway_et_al_2012,Browns_Island_B_Low,Distichlis spicata,NA
Callaway_et_al_2012,Browns_Island_B_Low,Typa domingensis,NA
Callaway_et_al_2012,Browns_Island_B_Low,Triglochin maritima,NA
Callaway_et_al_2012,Browns_Island_B_Mid,Scirpus acutus,NA
Callaway_et_al_2012,Browns_Island_B_Mid,Schoenoplectus californicus,NA
Callaway_et_al_2012,Browns_Island_B_Mid,Distichlis spicata,NA
Callaway_et_al_2012,Browns_Island_B_Mid,Typa domingensis,NA
Callaway_et_al_2012,Browns_Island_B_Mid,Triglochin maritima,NA
Callaway_et_al_2012,China_Camp_A_High,Spartina foliosa,NA
Callaway_et_al_2012,China_Camp_A_High,Salicornia pacifica,NA
Callaway_et_al_2012,China_Camp_A_High,Grindelia stricta,NA
