study_id,study_type,bibliography_id,doi
CRMS_Database,dataset,CRMS_Database,NA
Orson_1990,article,Orson_1990,NA
Noe_et_al_2016,article,Noe_et_al_2016,NA
Noe_et_al_2013,article,Noe_et_al_2013,NA
Craft_2007,article,Craft_2007,NA
Unger_et_al_2016,article,Unger_et_al_2016,NA
Watson_and_Byrne_2013,article,Watson_and_Byrne_2013,NA
Nuttle_1996,book,Nuttle_1996,NA
Drake_et_al_2015,article,Drake_et_al_2015,NA
Boyd_2012,mastersthesis,Boyd_2012,NA
Elsey_Quirk_et_al_2011,article,Elsey_Quirk_et_al_2011,NA
Johnson_et_al_2007,article,Johnson_et_al_2007,NA
Kulawardhana_et_al_2015,article,Kulawardhana_et_al_2015,NA
Pastore_et_al_2017,article,Pastore_et_al_2017,NA
Drexler_et_al_2009,article,Drexler_et_al_2009,NA
Nyman_et_al_1993,article,Nyman_et_al_1993,NA
Windham_Meyers_et_al_2010,techreport,Windham_Meyers_et_al_2010,NA
Neubauer_2002,article,Neubauer_2002,NA
Merrill_1999,phdthesis,Merrill_1999,NA
Radabaugh_et_al_2018,article,Radabaugh_et_al_2018,NA
Hill_and_Anisfeld_2015,article,Hill_and_Anisfeld_2015,NA
Piazza_et_al_2011,techreport,Piazza_et_al_2011,NA
Callaway_et_al_2012,article,Callaway_et_al_2012,NA
Crooks_et_al_2014,techreport,Crooks_et_al_2014,NA
Ensign_et_al_2015,article,Ensign_et_al_2015,NA
Cochran_et_al_1998,article,Cochran_et_al_1998,NA
Breithaupt_et_al_2014,article,Breithaupt_et_al_2014,NA
Kemp_et_al_2012,article,Kemp_et_al_2012,NA
Weis_et_al_2001,article,Weis_et_al_2001,NA
Boyd_and_Sommerfield_2016,article,Boyd_and_Sommerfield_2016,10.1016/j.ecoleng.2016.03.045
Breithaupt_et_al_2017,article,Breithaupt_et_al_2017,10.1016/j.margeo.2017.07.002
Gerlach_et_al_2017,article,Gerlach_et_al_2017,10.1016/j.margeo.2017.07.001
Crooks_et_al_2014,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Nuttle_1996,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Radabaugh_et_al_2018,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Hill_and_Anisfeld_2015,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Boyd_2012,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Boyd_and_Sommerfield_2016,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Breithaupt_et_al_2014,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Breithaupt_et_al_2017,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Callaway_et_al_2012,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Cochran_et_al_1998,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Craft_2007,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
CRMS_Database,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Drake_et_al_2015,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Drexler_et_al_2009,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Elsey_Quirk_et_al_2011,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Ensign_et_al_2015,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Gerlach_et_al_2017,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Johnson_et_al_2007,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Kemp_et_al_2012,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Kulawardhana_et_al_2015,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Merrill_1999,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Neubauer_2002,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Noe_et_al_2013,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Noe_et_al_2016,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Nyman_et_al_1993,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Orson_1990,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Pastore_et_al_2017,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Piazza_et_al_2011,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Unger_et_al_2016,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Watson_and_Byrne_2013,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Weis_et_al_2001,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
Windham_Meyers_et_al_2010,synthesis,Holmquist_et_al_2018,10.25572/ccrcn/10088/35684
