Province,Wetland,Site,Soil depth,"TN 
(g kg-1)","LOC 
(g kg-1)","MBC 
(mg kg-1)","DOC
(mg kg-1)","TP
(g kg-1)",C:N ,pH,"EC
(μS cm-1)",Soil water content (%),"Bulk density
(g cm-3)","Clay 
(%)","Silt
(%)","Sand 
(%)","Λ8
(g kg-1 OC)",S/V,C/V,(Ad/Al)v,(Ad/Al)s,
Liaoning ,Liao River Delta,1 ,0—10,2.65 ,7.90 ,263.91 ,71.30 ,0.80 ,8.14 ,9.45 ,407 ,44.33 ,1.13 ,12.64 ,76.52 ,10.84 ,11.62 ,1.35 ,0.89 ,0.35 ,0.33 ,
Liaoning ,Liao River Delta,1 ,10—20,1.31 ,3.78 ,124.10 ,156.01 ,0.63 ,8.62 ,9.74 ,561 ,34.35 ,1.28 ,8.62 ,75.56 ,15.82 ,3.64 ,0.93 ,0.41 ,0.32 ,0.30 ,
Liaoning ,Liao River Delta,1 ,20—30,1.44 ,3.42 ,118.95 ,164.02 ,0.57 ,7.68 ,9.57 ,648 ,45.21 ,1.14 ,11.09 ,78.30 ,10.60 ,2.70 ,0.97 ,0.43 ,0.31 ,0.30 ,
Liaoning ,Liao River Delta,1 ,30—40,1.37 ,3.33 ,117.16 ,206.66 ,0.61 ,7.28 ,8.69 ,1761 ,34.33 ,1.34 ,12.35 ,83.41 ,4.24 ,2.25 ,0.98 ,0.39 ,0.41 ,0.38 ,
Liaoning ,Liao River Delta,1 ,40—60,1.37 ,4.19 ,nd,59.61 ,0.60 ,7.33 ,8.14 ,1972 ,17.78 ,1.32 ,7.57 ,67.95 ,24.47 ,5.68 ,1.19 ,0.72 ,0.45 ,0.38 ,
Liaoning ,Liao River Delta,1 ,60—80,1.59 ,4.79 ,nd,49.22 ,0.60 ,7.96 ,8.21 ,1945 ,20.78 ,1.23 ,9.85 ,64.71 ,25.44 ,7.24 ,1.25 ,0.70 ,0.50 ,0.43 ,
Liaoning ,Liao River Delta,1 ,80—100,1.68 ,5.12 ,nd,71.13 ,0.77 ,7.07 ,7.99 ,2081 ,21.60 ,1.25 ,7.65 ,67.40 ,24.91 ,9.35 ,1.28 ,0.74 ,0.54 ,0.44 ,
Liaoning ,Liao River Delta,2 ,0—10,0.87 ,3.33 ,157.72 ,43.01 ,0.50 ,7.30 ,9.66 ,480 ,33.57 ,1.29 ,16.96 ,42.55 ,41.50 ,10.96 ,1.37 ,0.38 ,0.28 ,0.25 ,
Liaoning ,Liao River Delta,2 ,10—20,1.35 ,4.79 ,117.16 ,59.06 ,0.54 ,7.46 ,9.35 ,503 ,34.84 ,1.32 ,16.53 ,72.68 ,10.84 ,13.48 ,1.14 ,0.34 ,0.27 ,0.24 ,
Liaoning ,Liao River Delta,2 ,20—30,1.09 ,3.72 ,322.68 ,164.02 ,0.70 ,10.60 ,9.67 ,786 ,34.12 ,1.37 ,4.31 ,59.64 ,36.09 ,4.67 ,1.41 ,1.69 ,0.29 ,0.26 ,
Liaoning ,Liao River Delta,2 ,30—40,1.18 ,5.79 ,430.01 ,169.85 ,0.66 ,8.41 ,9.42 ,865 ,37.02 ,1.27 ,2.66 ,25.98 ,71.93 ,3.76 ,1.23 ,0.59 ,0.28 ,0.28 ,
Liaoning ,Liao River Delta,2 ,40—60,nd,nd,nd,nd,nd,nd,nd,nd,35.80 ,1.23 ,nd,nd,nd,nd,nd,nd,nd,nd,
Liaoning ,Liao River Delta,2 ,60—80,nd,nd,nd,nd,nd,nd,nd,nd,34.11 ,1.31 ,nd,nd,nd,nd,nd,nd,nd,nd,
Liaoning ,Liao River Delta,2 ,80—100,nd,nd,nd,nd,nd,nd,nd,nd,37.81 ,1.28 ,nd,nd,nd,nd,nd,nd,nd,nd,
