Source,Site,Core,Habitat_type,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor
Santos et al. 2019,Ria Formosa,Sp1a,Saltmarsh,36.983,-7.888,direct from dataset,Portugal,2014,0.00,0.05,EA,1.564,0.800,7.090,NA
Santos et al. 2019,Ria Formosa,Sp1b,Saltmarsh,36.983,-7.888,direct from dataset,Portugal,2014,0.00,0.05,EA,2.220,0.802,7.980,NA
Santos et al. 2019,Ria Formosa,Sp1c,Saltmarsh,36.983,-7.888,direct from dataset,Portugal,2014,0.00,0.05,EA,1.197,0.910,6.010,NA
Santos et al. 2019,Ria Formosa,Sp1d,Saltmarsh,36.983,-7.888,direct from dataset,Portugal,2014,0.00,0.05,EA,3.627,0.624,10.650,NA
Santos et al. 2019,Ria Formosa,Sp2a,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2014,0.00,0.05,EA,2.943,0.564,11.920,NA
Santos et al. 2019,Ria Formosa,Sp2b,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2014,0.00,0.05,EA,2.426,0.636,9.940,NA
Santos et al. 2019,Ria Formosa,Sp2c,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2014,0.00,0.05,EA,2.106,0.615,9.630,NA
Santos et al. 2019,Ria Formosa,Sp2d,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2014,0.00,0.05,EA,2.333,0.689,10.320,NA
Santos et al. 2019,Ria Formosa,Sp3a,Saltmarsh,36.999,-7.879,direct from dataset,Portugal,2014,0.00,0.05,EA,2.671,0.580,10.310,NA
Santos et al. 2019,Ria Formosa,Sp3b,Saltmarsh,36.999,-7.879,direct from dataset,Portugal,2014,0.00,0.05,EA,2.575,0.648,10.490,NA
Santos et al. 2019,Ria Formosa,Sp3c,Saltmarsh,36.999,-7.879,direct from dataset,Portugal,2014,0.00,0.05,EA,2.476,0.608,11.730,NA
Santos et al. 2019,Ria Formosa,Sp3d,Saltmarsh,36.999,-7.879,direct from dataset,Portugal,2014,0.00,0.05,EA,2.634,0.621,10.010,NA
Santos et al. 2019,Ria Formosa,Sp4a,Saltmarsh,37.002,-7.881,direct from dataset,Portugal,2014,0.00,0.05,EA,2.552,0.650,10.510,NA
Santos et al. 2019,Ria Formosa,Sp4b,Saltmarsh,37.002,-7.881,direct from dataset,Portugal,2014,0.00,0.05,EA,2.550,0.678,10.190,NA
Santos et al. 2019,Ria Formosa,Sp4c,Saltmarsh,37.002,-7.881,direct from dataset,Portugal,2014,0.00,0.05,EA,2.396,0.628,10.430,NA
Santos et al. 2019,Ria Formosa,Sp4d,Saltmarsh,37.002,-7.881,direct from dataset,Portugal,2014,0.00,0.05,EA,2.771,0.628,10.670,NA
de los Santos et al. 2022 (a),Ria Formosa,Sm1_5,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2017,0.00,0.05,LOI,2.380,0.501,7.885,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm1_10,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2017,0.00,0.05,LOI,0.486,0.935,1.779,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm2_5,Saltmarsh,37.002,-7.882,direct from dataset,Portugal,2017,0.00,0.05,LOI,2.173,0.703,7.219,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm2_10,Saltmarsh,37.002,-7.882,direct from dataset,Portugal,2017,0.00,0.05,LOI,2.090,0.695,6.951,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm2_12,Saltmarsh,37.002,-7.882,direct from dataset,Portugal,2017,0.00,0.05,LOI,1.318,0.733,4.463,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm3_5,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2017,0.00,0.05,LOI,1.910,0.787,6.369,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm3_10,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2017,0.00,0.05,LOI,2.164,0.584,7.189,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm3_15,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2017,0.00,0.05,LOI,1.990,0.636,6.628,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm3_20,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2017,0.00,0.05,LOI,1.934,0.530,6.449,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm3_25,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2017,0.00,0.05,LOI,1.929,0.724,6.432,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm4_8,Saltmarsh,37.002,-7.881,direct from dataset,Portugal,2017,0.00,0.05,LOI,1.907,0.714,6.360,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm4_12,Saltmarsh,37.002,-7.881,direct from dataset,Portugal,2017,0.00,0.05,LOI,2.106,0.772,7.003,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm4_15,Saltmarsh,37.002,-7.881,direct from dataset,Portugal,2017,0.00,0.05,LOI,2.161,0.635,7.178,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm1_5,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2017,0.00,0.05,LOI,1.504,0.710,5.062,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm1_10,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2017,0.00,0.05,LOI,0.899,0.868,3.109,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm2_5,Saltmarsh,37.002,-7.882,direct from dataset,Portugal,2017,0.00,0.05,LOI,1.815,0.636,6.064,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm2_10,Saltmarsh,37.002,-7.882,direct from dataset,Portugal,2017,0.00,0.05,LOI,2.153,0.672,7.152,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm2_12,Saltmarsh,37.002,-7.882,direct from dataset,Portugal,2017,0.00,0.05,LOI,2.121,0.772,7.050,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm3_5,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2017,0.00,0.05,LOI,1.882,0.569,6.280,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm3_10,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2017,0.00,0.05,LOI,2.112,0.650,7.021,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm3_15,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2017,0.00,0.05,LOI,2.130,0.540,7.080,OC = -0.066 + 0.3102*OM
de los Santos et al. 2022 (a),Ria Formosa,Sm3_20,Saltmarsh,36.988,-7.875,direct from dataset,Portugal,2017,0.00,0.05,LOI,2.003,0.634,6.671,OC = -0.066 + 0.3102*OM
