CORE ID,SAMPLE ID,DEPTH MIN,DEPTH MAX,DEPTH MIDDLE,SAMPLE VOLUME,SAMPLE DRY WEIGHT,DRY BULK DENSITY,PERCENTAGE ORGANIC MATTER,PERCENTAGE CARBONATES,PERCENTAGE TOTAL NITROGEN,DELTA 15-NITROGEN (TOTAL),PERCENTAGE TOTAL CARBON,DELTA 13-CARBON (TOTAL),PERCENTAGE ORGANIC NITROGEN,DELTA 15-NITROGEN (ACIDIFIED),PERCENTAGE ORGANIC CARBON,DELTA 13-CARBON (ACIDIFIED)
ZN,ZN_01_B,0,3.1,1.5,2.7,0.958,0.36,8.79,20.577,0.33,4.84,4.51,-11.39,0.335,9.25,3.29,-14.43
ZN,ZN_03_B,3.1,6.1,4.6,2.3,0.614,0.27,6.5,18.642,0.29,4.57,4.24,-10.55,0.283,8.13,2.5,-15.41
ZN,ZN_05_B,6.1,9.2,7.6,3.1,1.287,0.42,5.46,16.746,0.23,4.9,3.57,-10.17,0.235,8.69,2.11,-15.4
ZN,ZN_07_B,9.2,12.2,10.7,2.3,1.106,0.48,5.5,18.937,0.23,4.77,4.25,-8.61,0.207,7.78,1.89,-15.18
ZN,ZN_09_B,12.2,15.3,13.7,3.8,1.467,0.38,5.32,16.725,0.24,4.57,3.79,-9.81,0.226,8.95,2.05,-15.18
ZN,ZN_11_B,15.3,18.3,16.8,2.7,1.709,0.64,2.98,10.997,0.13,3.92,2.7,-8.36,0.051,10.69,1.2,-15.92
ZN,ZN_13_B,18.3,21.4,19.8,3.4,2.491,0.73,2.69,11.117,0.12,4.26,2.98,-8.53,0.108,10.17,1.49,-18.49
ZN,ZN_15_B,21.4,24.4,22.9,3.1,2.053,0.67,2.78,14.251,0.12,3.97,3.37,-5.22,0.105,10.12,1.06,-15.77
ZN,ZN_17_B,24.4,27.5,25.9,5,3.918,0.79,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZN,ZN_19_B,27.5,30.5,29,3.1,1.418,0.46,3.15,13.11,0.12,3.27,3.5,-5.98,0.107,11.13,1.1,-16.09
ZN,ZN_21_B,30.5,33.6,32,4.2,1.984,0.47,3.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
