study_id,bibliography_id,publication_type,bibtype,title,author,doi,url,journal,year
Johnson_et_al_2024,associated publication,primary source,Article,Contributions of organic and inorganic matter to sediment volume and accretion in tidal wetlands at steady state,"James T. Morris, Donald C. Barber, John C. Callaway, Randy Chambers, Scott C. Hagen, Charles S. Hopkinson, Beverly J. Johnson, Patrick Megonigal, Scott C. Neubauer, Tiffany Troxler, Cathleen Wigand",10.1002/2015EF000334,https://doi.org/10.1002/2015EF000334,Earth's Future,2016
Sonshine_2012,Sonshine_2012_thesis,primary source,Misc,"The Characterization of Organic Carbon from Sedimentary Cores from Zostera marina beds, Maquoit Bay, Casco Bay, Maine",Elizabeth Emily Sonshine,,https://scarab.bates.edu/geology_theses/4/,Standard Theses,2012
Doyle_2018,Doyle_2018_thesis,primary source,Misc,Eelgrass Bed Carbon Storage in Casco Bay,"John Doyle, Beverly Johnson, Philip Dostie",,https://scarab.bates.edu/geology_theses/40,Standard Theses,2018
