study_id,site_id,core_id,species_code,code_type,habitat
Doyle_2018,Flying_Point,Flying_Point_1,Zostera marina,Genus species,seagrass
Doyle_2018,Flying_Point,Flying_Point_2,Zostera marina,Genus species,seagrass
Doyle_2018,Flying_Point,Flying_Point_3,Zostera marina,Genus species,seagrass
Doyle_2018,Broad_Cove,Broad_Cove_1,Zostera marina,Genus species,seagrass
Doyle_2018,Broad_Cove,Broad_Cove_2,Zostera marina,Genus species,seagrass
Doyle_2018,Broad_Cove,Broad_Cove_3,Zostera marina,Genus species,seagrass
Doyle_2018,Larrabee_Cove,Larrabee_Cove_1,Zostera marina,Genus species,seagrass
Doyle_2018,Larrabee_Cove,Larrabee_Cove_2,Zostera marina,Genus species,seagrass
Doyle_2018,Larrabee_Cove,Larrabee_Cove_3,Zostera marina,Genus species,seagrass
Sonshine_2012,Head_of_Bay,Head_of_Bay_1,Zostera marina,Genus species,seagrass
Sonshine_2012,Head_of_Bay,Head_of_Bay_2,Zostera marina,Genus species,seagrass
Sonshine_2012,Head_of_Bay,Head_of_Bay_6,Zostera marina,Genus species,seagrass
Doyle_2018,Broad_Cove,Sand_Core,Zostera marina,Genus species,seagrass
