study_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,site_id
Githaiga_et_al_2017,THQ1,0,5,0.815,0.0649941811637672,THQ1
Githaiga_et_al_2017,THQ1,5,10,1.365,0.04728074972652888,THQ1
Githaiga_et_al_2017,THQ1,10,15,2.01,0.03148384859528101,THQ1
Githaiga_et_al_2017,THQ1,15,20,1.355,0.02418790628861379,THQ1
Githaiga_et_al_2017,THQ1,20,25,1.345,0.03366462013133649,THQ1
Githaiga_et_al_2017,THQ1,25,30,1.24,0.058862844586496245,THQ1
Githaiga_et_al_2017,THQ1,30,35,1.135,0.04097959057432387,THQ1
Githaiga_et_al_2017,THQ1,35,40,1.025,0.05018428942634426,THQ1
Githaiga_et_al_2017,THQ1,40,45,0.85,0.03599296281487399,THQ1
Githaiga_et_al_2017,THQ1,45,50,0.915,0.03727466056534423,THQ1
Githaiga_et_al_2017,THQ2,0,5,0.85,0.04149212315073962,THQ2
Githaiga_et_al_2017,THQ2,5,10,0.96,0.04435520700499129,THQ2
Githaiga_et_al_2017,THQ2,10,15,1.315,0.038992443022790854,THQ2
Githaiga_et_al_2017,THQ2,15,20,1.485,0.03387926488214147,THQ2
Githaiga_et_al_2017,THQ2,20,25,1.425,0.027786506824413904,THQ2
Githaiga_et_al_2017,THQ2,25,30,1.44,0.031589326404157576,THQ2
Githaiga_et_al_2017,THQ2,30,35,1.41,0.03198652694006474,THQ2
Githaiga_et_al_2017,THQ2,35,40,1.325,0.03119108285500031,THQ2
Githaiga_et_al_2017,THQ2,40,45,1.22,0.03779244151169776,THQ2
Githaiga_et_al_2017,THQ2,45,50,1.39,0.029394121175764894,THQ2
Githaiga_et_al_2017,THQ3,0,5,1.225,0.02009208633093522,THQ3
Githaiga_et_al_2017,THQ3,5,10,1.175,0.023578182295576774,THQ3
Githaiga_et_al_2017,THQ3,10,15,1.44,0.020194183489905964,THQ3
Githaiga_et_al_2017,THQ3,15,20,1.44,0.02248471240874276,THQ3
Githaiga_et_al_2017,THQ3,20,25,1.475,0.02827710306209113,THQ3
Githaiga_et_al_2017,THQ3,25,30,1.71,0.027588964414234286,THQ3
Githaiga_et_al_2017,THQ3,30,35,1.495,0.018176350951257084,THQ3
Githaiga_et_al_2017,THQ3,35,40,1.5,0.03518226928696835,THQ3
Githaiga_et_al_2017,THQ3,40,45,1.385,0.05517921390746831,THQ3
Githaiga_et_al_2017,THQ3,45,50,1.395,0.027986007276082105,THQ3
Githaiga_et_al_2017,THQ4,0,5,0.735,0.017587210869897722,THQ4
Githaiga_et_al_2017,THQ4,5,10,1.1,0.01948549251628023,THQ4
Githaiga_et_al_2017,THQ4,10,15,1.44,0.026492122607065918,THQ4
Githaiga_et_al_2017,THQ4,15,20,1.48,0.02727560427387201,THQ4
