study_id,site_id,core_id,core_longitude,core_latitude,salinity_class,vegetation_class
Jones_et_al_2017,Waccamaw_River_Turkey_Creek,Oligohaline_Marsh,-79.3447,33.35003,oligohaline,marsh
Jones_et_al_2017,Waccamaw_River_Turkey_Creek,Heavily_Salt_Impacted_Swamp,-79.34166,33.34001,fresh,forested
Jones_et_al_2017,Waccamaw_River_Butler_Island,Moderately_Salt_Impacted,-79.207996,33.422823,fresh,forested
