study_id,core_id,sample_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,c14_age,c14_age_sd,c14_material,c14_notes,age,age_min,age_max,age_depth_model_reference
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261021,0,1,0.13,0.692308,NA,NA,NA,NA,-31,-59,20,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261022,2,3,0.0375,0.8666670000000001,NA,NA,NA,NA,31,-39,121,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261023,4,5,0.07,0.732143,NA,NA,NA,NA,91,2,179,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261024,6,7,0.1183,0.7464790000000001,NA,NA,NA,NA,153,69,216,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261025,8,9,0.2089,0.712766,NA,NA,NA,NA,220,188,252,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261016,9.5,10.5,NA,NA,NA,NA,bulk organic picked free of roots,c14 age yielded greater than modern day,NA,NA,NA,NA
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261026,10,11,0.2015,0.764706,NA,NA,NA,NA,305,236,403,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261027,12,13,0.416,0.7,NA,NA,NA,NA,400,276,566,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261028,14,15,0.1893,0.633803,NA,NA,NA,NA,498,337,679,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261029,16,17,0.3556,0.76875,NA,NA,NA,NA,600,423,767,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261030,18,19,0.4978,0.5,NA,NA,NA,NA,698,530,843,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261031,20,21,0.2333,0.6857139999999999,NA,NA,NA,NA,792,674,911,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261017,20.5,21.5,NA,NA,970,30,bulk organic picked free of roots,NA,NA,NA,NA,NA
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261032,22,23,0.2822,0.637795,NA,NA,NA,NA,874,768,987,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261033,24,25,0.2689,0.7933880000000001,NA,NA,NA,NA,935,808,1127,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261034,26,27,0.3665,0.539683,NA,NA,NA,NA,995,847,1254,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261035,28,29,0.2367,0.830986,NA,NA,NA,NA,1054,881,1387,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261036,30,31,0.3956,0.398876,NA,NA,NA,NA,1115,920,1513,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261037,32,33,0.108,0.777778,NA,NA,NA,NA,1176,963,1636,YBP
Jones_et_al_2017,Heavily_Salt_Impacted_Swamp,261018,33,35,NA,NA,1110,30,bulk organic picked free of roots,NA,NA,NA,NA,NA
