Source,Site,Subsite,Season,Core,Habitat_type,Species,Latitude,Longitude,accuracy_flag,Country,Year_collected,U_depth_m,L_depth_m,Method,OC_perc,BD_reported_g_cm3,SOM_perc,Conv_factor
Human et al (2022),Swartkops Estuary,1,Summer,1,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0,0.05,LOI,1.332480917,1.37209,1.950710372,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,1,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,0.955917213,1.72658,1.618789963,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,1,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,1.282630096,1.538943333,1.906769587,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,1,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,0.85932496,1.62103,1.533649149,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,1,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,1.008730097,1.486733333,1.665341646,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,1,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,0.993075918,1.527003333,1.651543339,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,1,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,1.176881894,1.335286667,1.813558303,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,1,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,0.652211753,1.479156667,1.35109013,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,1,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.85,1,LOI,1.162424648,1.620743333,1.800815027,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,2,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0,0.05,LOI,1.686146521,1.369696667,2.262447352,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,2,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,1.521369502,1.341943333,2.117205379,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,2,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,1.073417447,1.79061,1.722360023,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,2,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.2,0.3,LOI,1.019847618,1.47563,1.675141135,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,2,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.3,0.4,LOI,1.376237737,1.44421,1.989279627,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,2,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.4,0.5,LOI,0.826164441,1.389663333,1.504419957,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,2,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.5,0.65,LOI,0.958091501,1.781026667,1.62070648,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,2,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.65,0.85,LOI,0.987579831,1.68583,1.646698838,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,2,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.85,1,LOI,1.287594705,1.49304,1.911145619,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,3,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0,0.05,LOI,0.961007754,1.49538,1.623276998,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,3,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.05,0.1,LOI,1.364639455,1.558156667,1.979056373,(1.1345*SOM_perc)-0.8806
Human et al (2022),Swartkops Estuary,1,Summer,3,Saltmarsh,Spartina maritima,-33.8689,25.6286,direct from dataset,SouthAfrica,2018,0.1,0.2,LOI,1.839074213,1.517903333,2.397244789,(1.1345*SOM_perc)-0.8806
