study_id,bibliography_id,publication_type,key,bibtype,doi,url,author,keywords,title,publisher,year,copyright,month,volume,number,pages,journal
Ensign_et_al_2020_data,Ensign_et_al_2020_data,Misc,Ensign_et_al_2020_data,Misc,10.25573/serc.13483332,https://smithsonian.figshare.com/articles/dataset/Dataset_Head_of_tide_bottleneck_of_particulate_material_transport_from_watersheds_to_estuaries/13483332,Scott H. Ensign and Gregory B. Noe and Cliff R. Hupp and Katherine J. Skalak,"Soil Science, 50301 Carbon Sequestration Science, FOS: Agriculture, forestry and fisheries, FOS: Agriculture, forestry and fisheries",Dataset: Head of tide bottleneck of particulate material transport from watersheds to estuaries,The Smithsonian Institution,2021,Creative Commons Attribution 4.0 International,jan,NA,NA,NA,NA
Ensign_et_al_2020,Ensign_et_al_2020,Article,Ensign_et_al_2020,Article,10.1002/2015gl066830,https://doi.org/10.1002/2015gl066830,Scott H. Ensign and Gregory B. Noe and Cliff R. Hupp and Katherine J. Skalak,NA,Head-of-tide bottleneck of particulate material transport from watersheds to estuaries,American Geophysical Union ({AGU}),2015,NA,dec,42,24,"10,671--10,679",Geophysical Research Letters
