study_id,site_id,country,site_latitude,site_longitude,latitude_precision,longitude_precision,dead_wood_carbon_stock (Mg ha-1)
Nam et al. 2016,CGMBR fringe,Vietnam,10.48,106.94,2,2,2.333333333
Nam et al. 2016,CGMBR interior,Vietnam,10.48,106.94,2,2,4.433333333
Nam et al. 2016,KVPF fringe,Vietnam,8.65,105.11,2,2,4.2
Nam et al. 2016,KVPF interior,Vietnam,8.65,105.11,2,2,2.983333333
Adame et al. (2018),5years,Malaysia,4.838333333,100.6308333,9,7,10.4
Adame et al. (2018),15 years,Malaysia,4.838333333,100.6308333,9,7,15.3
Adame et al. (2018),30 years,Malaysia,4.838333333,100.6308333,9,7,35.1
Adame et al. (2018),40 years,Malaysia,4.838333333,100.6308333,9,7,29.6
Adame et al. (2018),70 years,Malaysia,4.838333333,100.6308333,9,7,62.7
Kauffman et al. (2011),Yap-interior,Fed. States of Micronesia,9.5879,138.1277,4,4,26.68
Kauffman et al. (2011),Yap-Lanward,Fed. States of Micronesia,9.5879,138.1277,4,4,10.9504
Kauffman et al. (2011),Yap-seaward,Fed. States of Micronesia,9.5879,138.1277,4,4,22.3648
Kauffman et al. (2011),Airai-interior,Palau,7.3522,134.5393,4,4,11.4608
Kauffman et al. (2011),Airai-Lanward,Palau,7.3522,134.5393,4,4,15.9616
Kauffman et al. (2011),Airai-seaward,Palau,7.3522,134.5393,4,4,13.7808
Kauffman et al (2014),Alta 3-Tall,Dominican Republic,19.7011,-71.7093,4,4,16.845
Kauffman et al (2014),Bajo final-short,Dominican Republic,19.8763,-71.6514,4,4,0
Kauffman et al (2014),Balsa alta-tall,Dominican Republic,19.7013,-71.72,4,2,15.285
Kauffman et al (2014),Granja bajo-short,Dominican Republic,19.882,-17.6473,3,4,0
Kauffman et al (2014),Guinea media-medium,Dominican Republic,19.7077,-71.7232,4,4,5.01
Kauffman et al (2014),Laguna media-medium,Dominican Republic,19.6909,-71.7155,4,4,2.745
Kauffman et al (2014),Mediana sur-medium,Dominican Republic,19.6926,-71.7116,4,4,1.67
Kauffman et al (2014),Morro bajo-short,Dominican Republic,19.842,-17.6419,3,3,0
Kauffman et al (2014),Tapio alta-tall,Dominican Republic,19.7243,-71.7246,4,4,19.26
Kauffman et al. (2016),Boca Pedro Este,Mexico,18.6485,-92.4746,4,4,18
Kauffman et al. (2016),Boca Pedro Oeste,Mexico,18.6519,-92.4579,4,4,22
Kauffman et al. (2016),Grijalva,Mexico,18.6056,-92.6848,4,4,35
Kauffman et al. (2016),Manglar Cometa,Mexico,18.4922,-92.4287,4,4,8
Kauffman et al. (2016),Manglar Gallego,Mexico,18.5952,-92.4484,4,4,23
Kauffman et al. (2016),Manglar Vital,Mexico,18.5671,-92.4989,4,4,114
Kauffman et al. (2016),Sabalo,Mexico,18.594,-92.4675,3,4,48
Sitoe et al. (2014),Sitoe-1,Mozambique,-20.1833,34.75,4,2,1.83
Ajonina et al. (2014)_Springer,cam-heavily exploited,Cameroon,3.6381,9.6578,4,4,6.1
Ajonina et al. (2014)_Springer,cam-mod,Cameroon,3.6381,9.6578,4,4,16.4
Ajonina et al. (2014)_Springer,cam-undistrubed,Cameroon,3.6381,9.6578,4,4,70.6
Jones et al. (2014),closed canopy,Madagascar,-13.4333,48.5,4,1,3.33
Jones et al. (2014),Open canopy I,Madagascar,-13.4333,48.5,4,1,2
Jones et al. (2014),Open canopy II,Madagascar,-13.4333,48.5,4,1,5.33
Bhomia et al. (2016),Chismuyo,Honduras,13.4276,-87.61,4,2,8.2
Bhomia et al. (2016),Isla de Pajaros,Honduras,13.3669,-87.47,4,2,4
Bhomia et al. (2016),San Bernardo,Honduras,13.0978,-87.18,4,2,8.3
Bhomia et al. (2016),San Lorenzo,Honduras,13.3676,-87.48,4,2,1.5
Bhomia et al. (2016),El Canalito,Honduras,15.8742,-87.64,4,2,15.4
Bhomia et al. (2016),El Marion,Honduras,15.7854,-87.6,4,1,16.9
Bhomia et al. (2016),La Diamente,Honduras,15.8913,-87.63,4,2,2.6
Bhomia et al. (2016),Laguna Quemada,Honduras,15.8222,-87.58,4,2,8.7
Bhomia et al. (2016),Manglon,Honduras,15.8223,-87.6,4,1,8.8
Bhomia et al. (2016),Milton Bight,Honduras,16.4042,-86.4,4,1,5.9
Bhomia et al. (2016),Politily,Honduras,16.4013,-86.4,4,1,6.6
Bhomia et al. (2016),West End,Honduras,16.4184,-85.94,4,2,6.3
Bhomia et al. (2016),The Bight,Honduras,16.4548,-85.86,4,2,1
Bhomia et al. (2016),Big Bight,Honduras,16.0885,-86.89,4,2,6.3
Bhomia et al. (2016),Iron Bound,Honduras,16.1192,-86.9,4,1,5.8
Bhomia et al. (2016),Weatern Path,Honduras,16.0983,-86.91,4,2,11.5
Bhomia et al. (2016),Oyster Bed,Honduras,16.0927,-86.91,4,2,3.7
Bhomia et al. (2016),Turtle Harbor,Honduras,16.11,-86.94,2,2,5.5
Stringer et al. (2014),height class 1,Mozambique,-18.8946,36.1252,4,4,12.09
Stringer et al. (2014),height class 2,Mozambique,-18.8946,36.1252,4,4,6.47
Stringer et al. (2014),height class 3,Mozambique,-18.8946,36.1252,4,4,13.67
Stringer et al. (2014),height class 4,Mozambique,-18.8946,36.1252,4,4,18.43
Stringer et al. (2014),height class 5,Mozambique,-18.8946,36.1252,4,4,23.48
Murdiyarso et al. 2015,Sembilang 1,Indonesia,-2.0745,104.4666667,4,7,2.4
Murdiyarso et al. 2015,Sembilang 2,Indonesia,-2.0745,104.4666667,4,7,10.9
Murdiyarso et al. 2015,Sembilang 3,Indonesia,-2.0745,104.4666667,4,7,9.4
Murdiyarso et al. 2015,Sembilang 4,Indonesia,-2.0745,104.4666667,4,7,16.9
Murdiyarso et al. 2015,Sembilang 5,Indonesia,-2.0745,104.4666667,4,7,10.3
Murdiyarso et al. 2015,Sembilang 6,Indonesia,-2.0745,104.4666667,4,7,18.1
