study_id,site_id,country,site_latitude,site_longitude,latitude_precision,longitude_precision,litter_carbon_stock (Mg ha-1)
Adame et al. (2018),5years,Malaysia,4.838333333,100.6308333,9,7,0.78
Adame et al. (2018),15 years,Malaysia,4.838333333,100.6308333,9,7,1.48
Adame et al. (2018),30 years,Malaysia,4.838333333,100.6308333,9,7,0.93
Adame et al. (2018),40 years,Malaysia,4.838333333,100.6308333,9,7,1.66
Adame et al. (2018),70 years,Malaysia,4.838333333,100.6308333,9,7,1.31
Kauffman et al. (2016),Boca Pedro Este,Mexico,18.6485,-92.4746,4,4,2
Kauffman et al. (2016),Boca Pedro Oeste,Mexico,18.6519,-92.4579,4,4,12
Kauffman et al. (2016),Grijalva,Mexico,18.6056,-92.6848,4,4,24
Kauffman et al. (2016),Manglar Cometa,Mexico,18.4922,-92.4287,4,4,1
Kauffman et al. (2016),Manglar Gallego,Mexico,18.5952,-92.4484,4,4,4
Kauffman et al. (2016),Manglar Vital,Mexico,18.5671,-92.4989,4,4,74
Kauffman et al. (2016),Sabalo,Mexico,18.594,-92.4675,3,4,31
Sitoe et al. (2014),Sitoe-1,Mozambique,-20.1833,34.75,4,2,1.39
Stringer et al. (2014),height class 1,Mozambique,-18.8946,36.1252,4,4,0.17
Stringer et al. (2014),height class 2,Mozambique,-18.8946,36.1252,4,4,0.29
Stringer et al. (2014),height class 3,Mozambique,-18.8946,36.1252,4,4,0.31
Stringer et al. (2014),height class 4,Mozambique,-18.8946,36.1252,4,4,0.37
Stringer et al. (2014),height class 5,Mozambique,-18.8946,36.1252,4,4,0.66
Mao et al. 2012,inner bay,China,22.5167,114,4,0,20.4899
Mao et al. 2012,mid bay,China,22.5167,114,4,0,0.5239
Mao et al. 2012,outer bay,China,22.5167,114,4,0,0.10815
"Utrera-Lopez and Moreno-Casasola, 2008 in Hiraishi et al. 2013",relic riverine site,Mexico,19.55,-96.4,2,1,5.24
"Utrera-Lopez and Moreno-Casasola, 2008 in Hiraishi et al. 2013",fringe site,Mexico,19.55,-96.4,2,1,1.46
"Utrera-Lopez and Moreno-Casasola, 2008 in Hiraishi et al. 2013",basin I site,Mexico,19.55,-96.4,2,1,0.66
"Utrera-Lopez and Moreno-Casasola, 2008 in Hiraishi et al. 2013",basin II site,Mexico,19.55,-96.4,2,1,0.71
Liao 1990 in Hiraishi et al. 2013,Qinglan,China,19.6833,110.8,4,1,0.15
Richards et al. 2011 in Hiraishi et al. 2013,East,USA,27.85,-82.6,2,1,0.426195
Richards et al. 2011 in Hiraishi et al. 2013,Interior,USA,27.85,-82.6,2,1,0.264737
Richards et al. 2011 in Hiraishi et al. 2013,West,USA,27.85,-82.6,2,1,0.143418
Chen et al. 2008 in Hiraishi et al. 2013,Jiulongjiang Estuary,China,24.4,117.9167,1,4,0.0350878
e Silva et al. 2007 in Hiraishi et al. 2013,Potengi estuary,Brazil,-5.7,-35.4,1,1,0.1804
Twilley et al. 1986 in Hiraishi et al. 2013,RBF1 mixed,USA,25.033,-81.5667,3,4,0.170929
Twilley et al. 1986 in Hiraishi et al. 2013,Fort Myers mixed,USA,26.033,-81.75,3,2,0.0203852
Twilley et al. 1986 in Hiraishi et al. 2013,RBF1 monospecific,USA,25.033,-81.5667,3,4,0.085239
