study_id,core_id,country,core_latitude,core_longitude,latitude_precision,longitude_precision,Inorganic_carbon_stock (Mg ha-1)
Guan et al. 2018,Dongchang-Caiqiao,China,19.833,109.54,3,2,23.0955414
Guan et al. 2018,Danzhou,China,19.74,109.275,2,3,19.99130435
Guan et al. 2018,Dongfang,China,19.2,108.633,1,3,19.544
Guan et al. 2018,Sanya,China,18.24,108.633,2,3,55.66666667
Guan et al. 2018,Dongzhai Bay,China,19.94,110.575,2,3,2.18152662
Middelburg et al. (1996),B,Kenya,-4.4167,39.5,4,1,0.563486085
Middelburg et al. (1996),C,Kenya,-4.4167,39.5,4,1,0.188516206
Middelburg et al. (1996),I,Kenya,-4.4167,39.5,4,1,0.189589651
Middelburg et al. (1996),II,Kenya,-4.4167,39.5,4,1,0.385891319
Middelburg et al. (1996),III,Kenya,-4.4167,39.5,4,1,1.607035542
Middelburg et al. (1996),IV,Kenya,-4.4167,39.5,4,1,4.898636964
Middelburg et al. (1996),J,Kenya,-4.4167,39.5,4,1,0.179130436
Middelburg et al. (1996),K,Kenya,-4.4167,39.5,4,1,0.034217668
Middelburg et al. (1996),L,Kenya,-4.4167,39.5,4,1,0
Middelburg et al. (1996),middleburge-A,Kenya,-4.4167,39.5,4,1,0.213649824
Middelburg et al. (1996),M-Middleburg,Kenya,-4.4167,39.5,4,1,0
Middelburg et al. (1996),R,Kenya,-4.4167,39.5,4,1,0.795423069
Middelburg et al. (1996),S,Kenya,-4.4167,39.5,4,1,0.702824952
Middelburg et al. (1996),V,Kenya,-4.4167,39.5,4,1,3.589399106
Middelburg et al. (1996),VI,Kenya,-4.4167,39.5,4,1,0.56443537
Middelburg et al. (1996),X,Kenya,-4.4167,39.5,4,1,0
Yando et al. 2016,Cedar Key,USA,29.14,-83.03,2,2,89.95375
Yando et al. 2016,Port Fourchon,USA,29.11,-90.2,2,1,148.5409722
Yando et al. 2016,Port Aransas,USA,27.86,-97.07,2,2,99.69873016
"Ukpong 1995, 2000",ukp-95,Nigeria,4.94,8.27,2,2,103.022
Brunskill et al. (2002),582,Australia,-18.5,146.25,0,1,0
Brunskill et al. (2002),584,Australia,-18.5,146.25,0,1,0
Brunskill et al. (2002),586,Australia,-18.5,146.25,0,1,7.395612245
Fujimoto et al. (1999),B-Fujimoto,Fed. States of Micronesia,6.8583,158.2941,4,4,0.409
Fujimoto et al. (1999),P1-Fujimoto,Fed. States of Micronesia,6.8583,158.2941,4,4,14.05759091
Schile et al 2017,Abu al Abyad,United Arab Emirates,24.2016,53.802,4,3,1506.882346
Schile et al 2017,Al Khor,United Arab Emirates,25.8902,51.5425,4,4,1138.751555
Schile et al 2017,Al Rams,United Arab Emirates,25.2685,55.3075,4,4,841.9077375
Schile et al 2017,Al Shalila,United Arab Emirates,24.4343,54.5424,4,4,1093.068998
Schile et al 2017,Al Zorah,United Arab Emirates,25.4363,55.4648,4,4,443.6654247
Schile et al 2017,Bu Tinah,United Arab Emirates,24.6283,53.0526,4,4,773.6145937
Schile et al 2017,Eastern Mangrove,United Arab Emirates,24.4423,54.4574,4,4,1056.94
Schile et al 2017,Jubail Is.,United Arab Emirates,24.5215,54.4889,4,4,1105.621512
Schile et al 2017,Khalba,United Arab Emirates,25.051,56.3489,3,4,94.8216883
Schile et al 2017,Marawah Is.,United Arab Emirates,24.2993,53.2881,4,4,548.610526
Schile et al 2017,Ras Al Kaimah,United Arab Emirates,25.6741,55.9804,4,4,650.0563315
Schile et al 2017,Umm Al Quwain,United Arab Emirates,25.5205,55.7134,4,4,828.6207914
Machiwa (1998),TF,Tanzania,-6.1666,39.2,4,1,0.81532
Machiwa (1998),MF,Tanzania,-6.1666,39.2,4,1,4.115950334
Lallier-Verges et al. (1998),GU,French Guiana/Guadeloupe,16.2808,-61.555,4,2,143.7568669
Adame et al. (2013),Cayo Culebra,Mexico,19.6957,-87.47,4,2,317.375
Adame et al. (2013),El Playon,Mexico,19.8218,-87.5,4,0,219.93
Adame et al. (2013),Hualaxtoc,Mexico,19.6477,-87.45,4,2,516.535
Adame et al. (2013),Isla Pitaya,Mexico,19.4867,-87.7,4,1,16.105
Adame et al. (2013),La Raya,Mexico,19.8408,-87.48,4,2,549.395
Adame et al. (2013),Laguan Negra,Mexico,19.78,-87.48,2,2,310.27
Adame et al. (2013),Xamach,Mexico,19.8612,-87.46,4,2,544.025
Hemminga et al. (1994),Hemminga-94,Kenya,-4.4167,39.5,4,1,9.344870866
Jacotot et al. (2018),Jacotot_18,New Caledonia,-21.7333,165.7833,3,2,0
Saderne et al. (2019),Red Sea,Saudi Arabia,26.7,49.98,4,1,1027.5
Saderne et al. (2019),Arabian Golf,Saudi Arabia,27.33,49.58,4,1,1053.5
Saderne et al. (2019),West-Florida / Everglades,USA,25.73,-80.55,4,1,92.8
Saderne et al. (2019),Northern Territory,Australia,-12.45,130.83,4,1,6.3
Saderne et al. (2019),Queensland,Australia,-18.3,146.25,4,1,16.9
Saderne et al. (2019),Queensland 2,Australia,-27.8,153.35,4,1,2.5
Saderne et al. (2019),NSW,Australia,-32.8,151.8,4,1,4.1
Saderne et al. (2019),Victoria,Australia,-38.3,144.5,4,1,10.3
Ouyang and Lee unpubished data,Yung Shue O ,"Hong Kong, China",22.47,114.22,4,1,23.2
Ouyang and Lee unpubished data,Ting Kok ,"Hong Kong, China",22.41,114.27,4,1,28.8
Ouyang and Lee unpubished data,Wu Shek Kok,"Hong Kong, China",22.53,114.22,4,1,20.4
Ouyang and Lee unpubished data,Mai Po Marshes,"Hong Kong, China",22.5,114.03,4,1,27.6
Ouyang and Lee unpubished data,Gei Wai,"Hong Kong, China",22.5,114.03,4,1,19.2
