study_id,core_id,country,core_latitude,core_longitude,latitude_precision,longitude_precision,Inorganic_carbon_stock (Mg ha-1)
Grellier et al. 2017,Intact,Vietnam,20.24,106.52,2,2,11.02
Alongi et al. (2000),BR1,Australia,-21.967,113.95,3,2,190.1949488
Alongi et al. (2000),D,Australia,-20.717,116.617,3,3,23.60883085
Alongi et al. (2000),MB1,Australia,-21.967,113.95,3,2,73.9128
Alongi et al. (2000),PH,Australia,-20.3833,118.617,4,3,268.9822591
Higashi & Shinagawa (1985),Higashi-85,Japan,24.383,124.133,3,3,23.838
Howe et al. (2009),site1,Australia,-32.8644,151.7042,4,4,14.66666667
Howe et al. (2009),site2,Australia,-32.8644,151.7042,4,4,34.33
Madkour et al. (2014),Sharm el-Bahari,Egypt,25.8675,34.4133,4,4,709.4557777
Madkour et al. (2014),Erier,Egypt,25.6991,34.0872,4,4,1009.387244
Madkour et al. (2014),Hamata,Egypt,25.8333,34.4333,4,4,535.5371835
Okbah et al. (2005),I-III,Egypt,28,34.2,0,1,397.1608871
Okbah et al. (2005),IV-VII,Egypt,28,34.2,0,1,398.8475144
Brunskill et al. (2001),1140,Australia,-22.07,114.55,1,2,26.65700479
Brunskill et al. (2001),1141,Australia,-22.06,114.55,2,2,17.70963773
Brunskill et al. (2001),1142,Australia,-22.06,114.55,2,2,205.8572858
Brunskill et al. (2001),1143,Australia,-22.06,114.54,2,2,608.1367324
Brunskill et al. (2001),1144,Australia,-22.06,114.54,2,2,35.00958821
Brunskill et al. (2001),1145,Australia,-22.06,114.54,2,2,73.67152847
Brunskill et al. (2001),1147,Australia,-22.32,114.31,1,2,491.7559845
Brunskill et al. (2001),1148,Australia,-22.43,114.31,1,2,1462.131709
Brunskill et al. (2001),1151,Australia,-22.5,114.43,0,2,921.5932296
Brunskill et al. (2001),1153,Australia,-22.24,114.14,2,2,555.660451
Brunskill et al. (2001),1160,Australia,-22.12,114.52,2,2,309.993416
Kathiresan et al. (2014),Kath1,India,11.4294,79.7939,4,4,211.3165757
Ramirez-Elias et al. (2014),Ram-14,Mexico,18.6333,-91.7667,4,3,315.7831781
Alongi et al. (2008),AWM,Indonesia,-4.2333,119.6167,4,4,87.11107278
Alongi et al. (2008),HBA,Indonesia,-5.5,105.25,1,1,6.274335566
Alongi et al. (2008),HBR,Indonesia,-5.5,105.25,1,1,30.26215023
Alongi et al. (2008),HBS,Indonesia,-5.5,105.25,1,1,883.9184183
Koch and Madden (2001),M,Bahamas,24.25,-76,2,0,676.225
Guan et al. 2018,Qinglan Bay,China,19.583,110.8,3,1,93.41463415
Guan et al. 2018,Chengmai,China,19.9,109.983,1,3,19.88961039
