study_id,site_id,country,site_latitude,site_longitude,latitude_precision,longitude_precision,dead_root_carbon_stock (Mg ha-1)
Kauffman et al (2014),Montescristi wetland,Dominican Republic,19.7011,-71.7093,4,4,1.26
Kauffman et al. (2016),Pandtanos de Centla wetland,Mexico,18.6485,-92.4746,4,4,7.14
Stringer et al. (2014),Zambezi River Delta,Mozambique,-18.8946,36.1252,4,4,1.41
Alongi 2009,RS1_Western Australia,Australia,NA,NA,NA,NA,97.968
Alongi 2009,RS2_Western Australia,Australia,NA,NA,NA,NA,40.716
Alongi 2009,RS3_Western Australia,Australia,NA,NA,NA,NA,59.67
Alongi 2009,AM1_Western Australia,Australia,NA,NA,NA,NA,78.507
Alongi 2009,AM2_Western Australia,Australia,NA,NA,NA,NA,35.763
Alongi 2009,AM3_Western Australia,Australia,NA,NA,NA,NA,142.74
Alongi 2009,"RS,RA/QLD",Australia,NA,NA,NA,NA,125.658
Alongi 2009,RA_3YR,Thailand,NA,NA,NA,NA,100.893
Alongi 2009,RA_5YR,Thailand,NA,NA,NA,NA,45.825
Alongi 2009,RA_25YR,Thailand,NA,NA,NA,NA,123.669
Alongi 2009,RA_5YR,Malaysia,NA,NA,NA,NA,90.402
Alongi 2009,RA_8YR,Malaysia,NA,NA,NA,NA,56.004
Alongi 2009,RA_85YR,Malaysia,NA,NA,NA,NA,87.087
Alongi 2009,KC_5YR,China,NA,NA,NA,NA,4.914
Alongi 2009,KC_20YR,China,NA,NA,NA,NA,13.416
Alongi 2009,KC_30YR,China,NA,NA,NA,NA,12.675
