study_id,Reference,component
Nam et al. 2016,"Nam, V. N. et al. Carbon stocks in artificially and naturally regenerated mangrove ecosystems in the Mekong Delta. Wetl. Ecol. Manag. 24, 231-244, doi:10.1007/s11273-015-9479-2 (2016).",dead wood
Adame et al. (2018),"Adame, M. F. et al. Loss and recovery of carbon and nitrogen after mangrove clearing. Ocean Coast. Manag. 161, 117-126, doi:10.1016/j.ocecoaman.2018.04.019 (2018).",dead wood
Kauffman et al. (2011),"Kauffman, J. B. et al. Ecosystem carbon stocks of Micronesian mangrove forests. Wetlands 31, 343-352, doi:10.1007/s13157-011-0148-9 (2011).",dead wood
Kauffman et al (2014),"Kauffman, J. B. et al. Carbon stocks of intact mangroves and carbon emissions arising from their conversion in the Dominican Republic. Ecol. Appl. 24, 518-527, doi:10.1890/13-0640.1 (2014).",dead wood
Kauffman et al. (2016),"Kauffman, J. B. et al. Carbon stocks of mangroves and losses arising from their conversion to cattle pastures in the Pantanos de Centla, Mexico. Wetl. Ecol. Manag. 24, 203-216, doi:10.1007/s11273-015-9453-z (2016).",dead wood
Sitoe et al. (2014),"Sitoe, A. A. et al. Biomass and Carbon Stocks of Sofala Bay Mangrove Forests. Forests 5, 1967-1981 (2014).",dead wood
Ajonina et al. (2014)_Springer,"Ajonina, G. N. et al. in The Land/Ocean Interactions in the Coastal Zone of West and Central Africa     139-149 (Springer, 2014).",dead wood
Jones et al. (2014),"Jones, T. G. et al. Ecological variability and carbon stock estimates of mangrove ecosystems in Northwestern Madagascar. Forests 5, 177-205 (2014).",dead wood
Bhomia et al. (2016),"Bhomia, R. K. et al. Ecosystem carbon stocks of mangrove forests along the Pacific and Caribbean coasts of Honduras. Wetl. Ecol. Manag. 24, 187-201, doi:10.1007/s11273-016-9483-1 (2016).",dead wood
Stringer et al. (2014),"Stringer, C. E. et al. Final Report: The Zambezi River Delta mangrove carbon project : A pilot baseline assessment for REDD+ reporting and monitoring., (2014).",dead wood
