References,Sample ID,Country,C stock (Mg ha-1)
Perera et al. (2019),Negombo estuary,Sri Lanka,902.2444444
Perera et al. (2019),Chilaw lagoon,Sri Lanka,770.7333333
Perera et al. (2019),Rekawa lagoon,Sri Lanka,1290.755556
Perera et al. (2019),Kala Oya estuary,Sri Lanka,836.1333333
Perera et al. (2019),MalwathuOya estuary,Sri Lanka,767.8444444
Perera et al. (2019),Batticaloa lagoon,Sri Lanka,702.8666667
Perera et al. (2019),Uppar lagoon,Sri Lanka,752.9111111
Ochoa-Gomez et al. (2019),Balandra,Mexico,530.8888889
Ochoa-Gomez et al. (2019),Enfermeria,Mexico,412.2222222
Ochoa-Gomez et al. (2019),Zacatecas,Mexico,222.8888889
Sun et al. (2019),sun_19,China,48.493
Jacotot et al. (2018),Jacotot_18,New Caledonia,285.025
Rozainah et al. (2018),DK,Malaysia,413.33
Rozainah et al. (2018),JP,Malaysia,384.57
Arifanti et al. (2019),Tunu,Indonesia,343
Arifanti et al. (2019),Salette,Indonesia,275
Arifanti et al. (2019),Bayur,Indonesia,354
Arifanti et al. (2019),Labu-labu,Indonesia,337
Arifanti et al. (2019),Muara Berau,Indonesia,275
Arifanti et al. (2019),Lerong,Indonesia,229
Arifanti et al. (2019),Rinding,Indonesia,311
Arifanti et al. (2019),Kanyuran,Indonesia,253
Arifanti et al. (2019),Banjar,Indonesia,518
Chen et al. (2018)_FEM,JRE,China,150.33
Hieu et al. (2017),HL,Vietnam,142.12
Adame et al. (2012),Bald Hills,Australia,754.16
Adame et al. (2012),Caboolture,Australia,341.32
Adame et al. (2012),Eprapah,Australia,997.05
Adame et al. (2012),Mooloolah,Australia,601.92
Adame et al. (2012),Nudgee,Australia,973.84
Adame et al. (2012),Tingalpa,Australia,890.4
Adame et al. (2013),Cayo Culebra,Mexico,508
Adame et al. (2013),El Playon,Mexico,426
Adame et al. (2013),Hualaxtoc,Mexico,577
Adame et al. (2013),Isla Pitaya,Mexico,802
Adame et al. (2012),La Raya,Mexico,286
Adame et al. (2013),Laguna Negra,Mexico,496
Adame et al. (2013),Xamach,Mexico,294
Adame et al. (2015),Esterillo,Mexico,655.19
Adame et al. (2015),Las Palmas,Mexico,182.8
Adame et al. (2015),Paistalon,Mexico,470.9
Adame et al. (2015),Panzacola,Mexico,489.2
Adame et al. (2015),Santa Chila,Mexico,415.3
Adame et al. (2015),Teculapoa,Mexico,430.5
Adame et al. (2015),Zacapulco,Mexico,308.98
Adame et al. (2018),Matang,Malaysia,471
Ajonina et al. (2014),Kpe?tou ,Benin,179.39
Ajonina et al. (2014),Dje?gbadji ,Benin,288.45
Ajonina et al. (2014),Adounko-degraded ,Benin,231.57
Ajonina et al. (2014),Adounko-nondegraded,Benin,183.68
Ajonina et al. (2014)_Springer,cam-heavily exploited,Cameroon,904.3
Ajonina et al. (2014),congo-heavy,Congo,470.1
Ajonina et al. (2014),DRC-heavy,Democratic Republic of Congo,935.6667
Ajonina et al. (2014),Gabon-heavy,Gabon,736.0667
Allen et al. (2010),Logan River-summer,Australia,514.59
Allen et al. (2010),Western Bay-Winter,Australia,339.12
Allen et al. (2010),Brisbane river-summer,Australia,225.12
Allen et al. (2010),Eastern Bay-summer,Australia,170.92
Almahasheer et al. unpublished data,KMA,Saudi Arabia,146.16
Almahasheer et al. unpublished data,AMH1,Saudi Arabia,69.0333
Almahasheer et al. unpublished data,EMA,Saudi Arabia,61.57917
Almahasheer et al. unpublished data,TMA,Saudi Arabia,51.3375
Almahasheer et al. unpublished data,RMA,Saudi Arabia,36.58333
Alongi et al. (1993),RB1-Alongi,Papua New Guinea,153.2836
Alongi et al. (1993),SA1-Alongi,Papua New Guinea,138.9633
Alongi et al. (1993),NF1,Papua New Guinea,128.905
Alongi (1996),high1,Australia,426.1878
Alongi (1996),mid1,Australia,424.3008
Alongi (1996),low1,Australia,320.78002
Alongi (1996),Creek bank1,Australia,258.5994
Alongi et al. (2000),BR1,Australia,335.73
Alongi et al. (2000),MB1,Australia,307.97
Alongi et al. (2000),PH1,Australia,186.01
Alongi et al. (2000),D1,Australia,178.9385
Alongi et al. (2001),Alongi et al. (2001)S3-ne,Thailand,290.785
Alongi et al. (2001),Alongi et al. (2001)S4-ne,Thailand,241.29
Alongi et al. (2001),Alongi et al. (2001)S2-ne,Thailand,204.015
Alongi et al. (2001),Alongi et al. (2001)S1-ne,Thailand,198.48
Alongi et al. (2004),M18,Malaysia,336.07
Alongi et al. (2004),MVR,Malaysia,453.58
Alongi et al. (2004),Stn5,Malaysia,229.44
Alongi et al. (2005),JJ1,China,141.05
Alongi et al. (2008),AWM,Indonesia,490.72571
Alongi et al. (2008),HBA,Indonesia,238.424752
Alongi et al. (2008),HBR,Indonesia,472.089544
Alongi et al. (2008),HBS,Indonesia,161.576485
Alongi et al. (2012),TB1,Timor-Leste,377.393434
Alongi et al. (2012),TL6,Timor-Leste,238.424752
Alongi et al. (2012),TL5,Timor-Leste,223.023596
Alongi et al. (2012),SL2,Timor-Leste,205.328279
Alongi et al. (2012),BC1,Timor-Leste,173.943004
Alongi et al. (2012),SL1,Timor-Leste,150.109262
Alongi et al. (2012),TL4,Timor-Leste,112.887074
Rovai et al. (2018),andre-18-1,Brazil,203.7
Rovai et al. (2018),andre-18-2,Brazil,172
Rovai et al. (2018),andre-18-3,Brazil,166.4
Rovai et al. (2018),andre-18-4,Brazil,240.7
Rovai et al. (2018),andre-18-5,Brazil,370.1
Rovai et al. (2018),andre-18-6,Brazil,335.7
Rovai et al. (2018),andre-18-7,Brazil,300.1
Rovai et al. (2018),andre-18-8,Brazil,194.2
Rovai et al. (2018),andre-18-9,Brazil,204.7
Rovai et al. (2018),andre-18-10,Brazil,274.8
Rovai et al. (2018),andre-18-11,Brazil,232.6
Rovai et al. (2018),andre-18-12,Brazil,289.9
Rovai et al. (2018),andre-18-13,Brazil,162.4
Rovai et al. (2018),andre-18-14,Brazil,213.6
Rovai et al. (2018),andre-18-15,Brazil,202.7
Rovai et al. (2018),andre-18-16,Costa Rica,329.9
Rovai et al. (2018),andre-18-17,Costa Rica,244.6
Rovai et al. (2018),andre-18-18,Costa Rica,287.5
Rovai et al. (2018),andre-18-19,Costa Rica,412.2
Rovai et al. (2018),andre-18-20,Costa Rica,469.8
Rovai et al. (2018),andre-18-21,Costa Rica,443.8
Rovai et al. (2018),andre-18-22,El Salvador,249.5
Rovai et al. (2018),andre-18-23,El Salvador,211.4
Rovai et al. (2018),andre-18-24,El Salvador,180.7
Rovai et al. (2018),andre-18-25,Panama,238.2
Rovai et al. (2018),andre-18-26,Panama,289.6
Rovai et al. (2018),andre-18-27,Panama,345.2
Rovai et al. (2018),andre-18-28,USA,814.7
Rovai et al. (2018),andre-18-29,USA,767.5
Rovai et al. (2018),andre-18-30,USA,543.6
Rovai et al. (2018),andre-18-31,USA,527.8
Rovai et al. (2018),andre-18-32,USA,488.4
Rovai et al. (2018),andre-18-33,USA,587.7
Rovai et al. (2018),andre-18-34,USA,419.4
Rovai et al. (2018),andre-18-35,USA,615.1
Rovai et al. (2018),andre-18-36,USA,728
Andreetta et al. (2014),RHI,Kenya,391.966
Andreetta et al. (2014),AV1,Kenya,277.8398
Andreetta et al. (2014),CER,Kenya,105.818
Andreetta et al. (2016),Tande Cheu,Guinea-Bissau,165.4
Andreetta et al. (2016),Blaftchur Oio,Guinea-Bissau,85.7
Arianto et al. (2015),Arianto-1,Malaysia,147.28
Ashton & Macintosh (2002),Ash-1,Malaysia,249.8728
Bai unpublished,Darwin Harbour2,Australia,204.75
Balk et al. (2015),S. Corniche,Saudi Arabia,118.789243
Balk et al. (2015),Thuwal,Saudi Arabia,105.192296
Balk et al. (2015),Port of Island-Avicennia,USA,580.9525
Balk et al. (2015),S. Hutchinson Island-Avicennia,USA,518.3254
Balk et al. (2015),N. Hutchinson Island-Avicennia,USA,264.4435
Bao et al. (2013),Bao 1,China,99.92
Barreto et al. (2016),Barreto-Rhiz-live,Venezuela,270.8183
Bharathkumar et al. (2008),Guesthouse,India,95.26505005
Bharathkumar et al. (2008),Kodiyampalayam,India,68.2948082
Bharathkumar et al. (2008),Pillumedu,India,21.02421886
Bharathkumar et al. (2008),Tandavaraycholarpet ,India,37.66258394
Bhomia et al. (2016),Chismuyo,Honduras,336.3
Bhomia et al. (2016),Isla de Pajaros,Honduras,295.9
Bhomia et al. (2016),San Bernardo,Honduras,125
Bhomia et al. (2016),San Lorenzo,Honduras,276.5
Bhomia et al. (2016),El Canalito,Honduras,404.5
Bhomia et al. (2016),El Marion,Honduras,190.7
Bhomia et al. (2016),La Diamente,Honduras,514.5
Bhomia et al. (2016),Laguna Quemada,Honduras,413.4
Bhomia et al. (2016),Manglon,Honduras,381.9
Bhomia et al. (2016),Milton Bight,Honduras,563.6
Bhomia et al. (2016),Politily,Honduras,403.6
Bhomia et al. (2016),West End,Honduras,233.2
Bhomia et al. (2016),The Bight,Honduras,402.7
Bhomia et al. (2016),Big Bight,Honduras,507.2
Bhomia et al. (2016),Iron Bound,Honduras,533.7
Bhomia et al. (2016),Weatern Path,Honduras,471.7
Bhomia et al. (2016),Oyster Bed,Honduras,700.4
Bhomia et al. (2016),Turtle Harbor,Honduras,397.3
Bianchi et al. (2013),Mudd-Mangrove 1,USA,146.755
Bianchi et al. (2013),Habour-Mangrove 1,USA,82.12
Bouillon and Boschker (2006),Pichavaram-2,India,216.79
Bouillon and Boschker (2006),Chunnambar,India,93.52
Bouillon and Boschker (2006),"Gazi Bay, Kenya-1",Kenya,279.2399
Bouillon and Boschker (2006),Tana estuary,Kenya,189.330825
Bouillon and Boschker (2006),Tana Delta-1,Kenya,131.7553
Bouillon and Boschker (2006),"Pambala, Avice",Sri Lanka,453.2288
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,206.70246
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,214.43947
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,221.37528
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,227.67912
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,227.67912
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,227.67912
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,227.67912
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,233.47
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,233.47
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,233.47
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,233.47
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,233.47
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,233.47
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,238.8353
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,238.8353
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,238.8353
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,238.8353
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,243.84096
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,248.53842
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,252.96824
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,252.96824
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,257.16315
Bouillon et al. (2003) in Jardine and Siikamaki (2014),India (CWS),India,284.74874
Breithaupt et al. (2014),SH3-1,USA,460.062
Brunskill et al. (2001),1140,Australia,152.6719366
Brunskill et al. (2001),1141,Australia,126.9190704
Brunskill et al. (2001),1142,Australia,65.63565634
Brunskill et al. (2001),1143,Australia,64.17523307
Brunskill et al. (2001),1144,Australia,123.2946367
Brunskill et al. (2001),1145,Australia,146.0728582
Brunskill et al. (2001),1147,Australia,122.5560086
Brunskill et al. (2001),1148,Australia,57.93995119
Brunskill et al. (2001),1151,Australia,88.69793994
Brunskill et al. (2001),1153,Australia,78.67758598
Brunskill et al. (2001),1160,Australia,99.50405947
Brunskill et al. (2002),582,Australia,220.54
Brunskill et al. (2002),584,Australia,354.63
Brunskill et al. (2002),586,Australia,241.59
Brunskill et al. (2004),S1-Brunskill,Indonesia,259.4225
Bulmer et al (2015),Bulmer-combined sites,New Zealand,218.7429229
Cahoon & Lynch (1997),Basin-Cahoon,USA,276.98
Callaway et al. (1997),black mangrove-Callaway,USA,359.85
Cardona and Botero (1998),"CAR, Columbia",Colombia,357.9654661
Cardona and Botero (1998),"HON, Columbia",Colombia,342.561293
Cardona and Botero (1998),"RIN, Columbia",Colombia,305.658916
Castaneda-Moya et al. (2013),Ts/Ph-6-Cost,USA,505.1667
Castaneda-Moya et al. (2013),SRS-4-Cost,USA,498.9433
Chakraborty et al. (2014),Mang-1,India,262.181
Chambers et al. (2014),Chambers-1,USA,589.02
Chanda et al. (2014),JK-LW,India,313.7328
Chanda et al. (2014),HI-LW,India,181.0943
Chatterjee et al. (2009),S1-LL,India,113.9819
Chatterjee et al. (2009),S2-LL,India,94.37851
Chatterjee et al. (2009),S3-LL,India,92.35995
Chen et al. (2012),MZ-Spring,China,237.0707
Chen et al. (2012),LW-Spring,China,215.8462
Chen et al. (2012),SW-Spring,China,203.2469
Chen et al. (2014),Teremaal-LW,Indonesia,381.1946
Chen et al. (2014),Likupand-LW,Indonesia,376.7153
Chen et al. (2014),Kema-LW,Indonesia,284.7668
Chen et al. (2018),LW,Indonesia,163
Chen et al. (2018),MZ,Indonesia,162
Chen et al. (2018),SW,Indonesia,136
Cormier et al. (2015),Sapwalap-Fringe,Fed. States of Micronesia,338.33
Cormier et al. (2015),Yela-Fringe,Fed. States of Micronesia,142.87
Coronado-Molina et al. 2012,TL,Mexico,475
Coronado-Molina et al. 2012,SE,USA,759.333
Day et al. 1996,Day_96_2,Mexico,587
Day et al. 1996,Day_96_1,Mexico,417
Deborde et al. (2015),Marchland-Avicennia,New Caledonia,364.955
Delvecchia et al. (2014),Nat A,Ecuador,375.6667
Delvecchia et al. (2014),Res A,Ecuador,343
Delvecchia et al. (2014),Aff,Ecuador,304
Dominguez et al. (2010),Gangadharpur,India,111.55356
Dominguez et al. (2010),Gosaba,India,106.146665
Dominguez et al. (2010),Jharkhali,India,114.969778
Dominguez et al. (2010),Lothian Island,India,138.629329
Donato et al. (2011),G1,Bangladesh,155.48
Donato et al. (2011),G2,Bangladesh,160.08
Donato et al. (2011),Y1,Fed. States of Micronesia,293.6236
Donato et al. (2011),K1,Fed. States of Micronesia,443.1
Donato et al. (2011),S1,Indonesia,678.375
Donato et al. (2011),B1,Indonesia,293.6236
Donato et al. (2011),J1,Indonesia,279.1905
Donato et al. (2011),PM1,Palau,460
Donato et al. (2012),YM1,Fed. States of Micronesia,753.88
Donato et al. (2012),Donato-2012-PM1,Palau,533.4333
Doughty et al. (2015),C-20-c,USA,220
Doughty et al. (2015),Pine,USA,180
Doughty et al. (2015),T9-North,USA,216.7
Dung et al. 2016,dung-16,Vietnam,231.23
Eid & Shaltout (2015),Eid-a,Egypt,88.4
Ezcurra et al. 2016,PE16 Punta Cancun Fringe,Mexico,309.8
Ezcurra et al. 2016,PE16 La Salina Fringe,Mexico,916.1
Ezcurra et al. 2016,PE16 Sur Fringe,Mexico,880.4
Ezcurra et al. 2016,PE16 Norte Fringe,Mexico,700
Ezcurra et al. 2016,PE16 La Concepcion Fringe,Mexico,75.2
Ezcurra et al. 2016,PE16 Puerto Gata Fringe Core 1,Mexico,1400
Ezcurra et al. 2016,PE16 Puerto Gata Fringe Core 2,Mexico,415.7
Ezcurra et al. 2016,PE16 Puerto Gata Fringe Core 3,Mexico,205.3
Fan et al. (2012),GM-Fan,Taiwan,156.78
Fernandes et al. (2014),S11,India,125.1402
Fernandes et al. 2011,Man II,India,98.2
Ferreira et al. (2010),T1,Brazil,505.6767
Ferreira et al. (2010),T2,Brazil,537.0367
Fujimoto et al. (1999),P1-Fujimoto,Fed. States of Micronesia,681.53
Fujimoto et al. (1999),B-Fujimoto,Fed. States of Micronesia,597.61
Genthner et al. (2013),Genthner 1,USA,416.75
Giani et al. (1996),1.2Rhizoph,Mexico,503.5625
Gonneea et al. (2004),Terminos st. 15,Mexico,324.245
Gonneea et al. (2004),Celestun St. 16,Mexico,308.1553
Grellier et al. 2017,gre-17,Vietnam,114.75
Gress et al. (2016),Gress-Rhizo-Gazi,Kenya,1526.045
Gress et al. (2016),Gress-Rhizo-Vanga,Kenya,1382.6118
Gress et al. (2016),Gress-Rhizo/mix-Gazi,Kenya,1129.956
Gress et al. (2016),Gress-Rhizo/mix-Vanga,Kenya,1255.3712
Gress et al. (2016),Gress-avi-Gazi,Kenya,1373.0435
Gress et al. (2016),Gress-avi-Vanga,Kenya,1359.321
Gress et al. (2016),Gress-avi/mix-Gazi,Kenya,768.0319
Gress et al. (2016),Gress-avi/mix-Vanga,Kenya,1342.8873
Gress et al. (2016),Gress-ceri-Gazi,Kenya,1023.8106
Gress et al. (2016),Gress-ceri-Vanga,Kenya,949.9628
Gutierrez et al. 2016,LDQL,Mexico,328.2
Gutierrez et al. 2016,LDMM,Mexico,320.9
He et al. 2017 ,qinzhou Bay4,China,151.94
Hemati et al. (2015),SHD-DRY,Malaysia,1337.961
Hemati et al. (2015),KSNP-DRY,Malaysia,1157.74
Hemminga et al. (1994),Hemminga-94,Kenya,315.3728
Henry and Twilley (2013),bay-Henry,USA,159.32
Henry and Twilley (2013),port-Henry,USA,163.263236
Higashi & Shinagawa (1985),Higashi-85,Japan,347.8538
Holmboe et al. (2001),Holmboe-MB,Thailand,463.35
Hoppe-Speer & Adams (2015),Hoppe-speer-fring,South Africa,163.3241835
Hoppe-Speer & Adams (2015),stunted non-browsed,South Africa,142
Hoppe-Speer et al. (2013),Hoppe-Speer-s1-Avi,South Africa,103.36
Hossain (2014),Hossain 1,Malaysia,488.04
Howe et al. (2009),site1,Australia,268.1767
Howe et al. (2009),site2,Australia,204.9033
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil1,Brazil,221.37528
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil2,Brazil,206.70246
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil3,Brazil,197.911
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil4,Brazil,187.6584
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil5,Brazil,187.6584
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil6,Brazil,134.8484
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil7,Brazil,197.911
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil8,Brazil,187.6584
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil9,Brazil,233.47
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil10,Brazil,227.67912
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil11,Brazil,300.92633
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil12,Brazil,334.15461
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil13,Brazil,339.335328
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil14,Brazil,376.22118
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil15,Brazil,357.87468
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil16,Brazil,359.287621
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil17,Brazil,354.994104
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil18,Brazil,366.098898
Jennerjahn et al (2002) in Kristensen et al (2008),Brazil19,Brazil,360.683016
Jennerjahn et al. (2004),"Wonokromo estuary, Java",Indonesia,147.093047
Jones et al. (2014),closed canopy,Madagascar,233.9767
Kao et al. (2002),"Chu-wei, Taiwan",Taiwan,97.6341552
Kao et al. (2002),"Watz-wei, Taiwan",Taiwan,112.210795
Kathiresan et al. (2014),Kath1,India,52.17
Kauffman et al (2014),Alta 3-Tall,Dominican Republic,410.6
Kauffman et al (2014),Bajo final-short,Dominican Republic,410.12
Kauffman et al (2014),Balsa alta-tall,Dominican Republic,325.16
Kauffman et al (2014),Granja bajo-short,Dominican Republic,262.22
