Study ID,Sample_ID,Country,Latitude,Longitude,LOI,OC,ecosystem
Woodroffe et al. (1985),Auckland_9,New Zealand,-36.8,174.75,25.1,7.42,mangrove
Woodroffe et al. (1985),Auckland_10,New Zealand,-36.8,174.75,21.2,5.6,mangrove
Woodroffe et al. (1985),Auckland_15,New Zealand,-36.8,174.75,16.5,5.68,mangrove
Woodroffe et al. (1985),Auckland_8,New Zealand,-36.8,174.75,15.9,2.73,mangrove
Woodroffe et al. (1985),Auckland_2,New Zealand,-36.8,174.75,15.7,2.93,mangrove
Woodroffe et al. (1985),Auckland_20,New Zealand,-36.8,174.75,15,3.1,mangrove
Woodroffe et al. (1985),Auckland_5,New Zealand,-36.8,174.75,14.7,2.99,mangrove
Woodroffe et al. (1985),Auckland_3,New Zealand,-36.8,174.75,14.3,3.44,mangrove
Woodroffe et al. (1985),Auckland_17,New Zealand,-36.8,174.75,13.1,3.16,mangrove
Woodroffe et al. (1985),Auckland_12,New Zealand,-36.8,174.75,12.4,1.8,mangrove
Woodroffe et al. (1985),Auckland_14,New Zealand,-36.8,174.75,12,1.75,mangrove
Woodroffe et al. (1985),Auckland_13,New Zealand,-36.8,174.75,11.4,1.82,mangrove
Woodroffe et al. (1985),Auckland_18,New Zealand,-36.8,174.75,11.2,2.96,mangrove
Woodroffe et al. (1985),Auckland_11,New Zealand,-36.8,174.75,10.9,2.59,mangrove
Woodroffe et al. (1985),Auckland_19,New Zealand,-36.8,174.75,10.9,3.85,mangrove
Woodroffe et al. (1985),Auckland_4,New Zealand,-36.8,174.75,10.3,2.98,mangrove
Woodroffe et al. (1985),Auckland_16,New Zealand,-36.8,174.75,9,1.87,mangrove
Woodroffe et al. (1985),Auckland_1,New Zealand,-36.8,174.75,8.5,1.57,mangrove
Woodroffe et al. (1985),Auckland_7,New Zealand,-36.8,174.75,7.7,1.23,mangrove
Woodroffe et al. (1985),Auckland_6,New Zealand,-36.8,174.75,6.3,0.74,mangrove
Kristensen et al. (1992),creek1,Pakistan,24.7484,67.1258,5.4,1.15,mangrove
Kristensen et al. (1992),dry1,Pakistan,24.7484,67.1258,5.3,1.07,mangrove
Kristensen et al. (1992),creek9,Pakistan,24.7484,67.1258,5.3,0.87,mangrove
Kristensen et al. (1992),creek2,Pakistan,24.7484,67.1258,5,1,mangrove
Kristensen et al. (1992),creek3,Pakistan,24.7484,67.1258,4.9,1.02,mangrove
Kristensen et al. (1992),wet2,Pakistan,24.7484,67.1258,4.9,1.03,mangrove
Kristensen et al. (1992),creek8,Pakistan,24.7484,67.1258,4.9,0.9,mangrove
Kristensen et al. (1992),dry2,Pakistan,24.7484,67.1258,4.8,0.96,mangrove
Kristensen et al. (1992),wet1,Pakistan,24.7484,67.1258,4.8,0.93,mangrove
Kristensen et al. (1992),creek7,Pakistan,24.7484,67.1258,4.7,0.92,mangrove
Kristensen et al. (1992),wet5,Pakistan,24.7484,67.1258,4.7,0.96,mangrove
Kristensen et al. (1992),creek4,Pakistan,24.7484,67.1258,4.6,0.85,mangrove
Kristensen et al. (1992),dry3,Pakistan,24.7484,67.1258,4.5,0.88,mangrove
Kristensen et al. (1992),wet3,Pakistan,24.7484,67.1258,4.5,0.84,mangrove
Kristensen et al. (1992),wet6,Pakistan,24.7484,67.1258,4.5,0.85,mangrove
Kristensen et al. (1992),wet4,Pakistan,24.7484,67.1258,4.4,0.9,mangrove
Kristensen et al. (1992),dry4,Pakistan,24.7484,67.1258,4.3,0.79,mangrove
Kristensen et al. (1992),creek6,Pakistan,24.7484,67.1258,4.3,0.85,mangrove
Kristensen et al. (1992),creek5,Pakistan,24.7484,67.1258,4.2,0.97,mangrove
Kristensen et al. (1992),dry5,Pakistan,24.7484,67.1258,3.7,0.71,mangrove
Kristensen et al. (1992),wet7,Pakistan,24.7484,67.1258,3.7,0.81,mangrove
Kristensen et al. (1992),dry6,Pakistan,24.7484,67.1258,3.1,0.54,mangrove
Kristensen et al. (1992),dry7,Pakistan,24.7484,67.1258,2.9,0.48,mangrove
Ranjan et al. (2010),Pichavaram_1,India,11.4,79.8,2.67,0.64,mangrove
Ranjan et al. (2010),Pichavaram_2,India,11.4,79.8,2.33,0.28,mangrove
Ranjan et al. (2010),Pichavaram_3,India,11.4,79.8,1.76,0.25,mangrove
Ranjan et al. (2010),Pichavaram_4,India,11.4,79.8,1.53,0.2,mangrove
Ranjan et al. (2010),Pichavaram_5,India,11.4,79.8,1.6,0.32,mangrove
Ranjan et al. (2010),Pichavaram_6,India,11.4,79.8,1.66,0.28,mangrove
Ranjan et al. (2010),Pichavaram_7,India,11.4,79.8,1.61,0.34,mangrove
Ranjan et al. (2010),Pichavaram_8,India,11.4,79.8,1.56,0.35,mangrove
Ranjan et al. (2010),Pichavaram_9,India,11.4,79.8,1.42,0.41,mangrove
Ranjan et al. (2010),Pichavaram_10,India,11.4,79.8,1.28,0.21,mangrove
Ranjan et al. (2010),Pichavaram_11,India,11.4,79.8,0.88,0.06,mangrove
Ranjan et al. (2010),Pichavaram_12,India,11.4,79.8,0.49,0.06,mangrove
Ranjan et al. (2010),Pichavaram_13,India,11.4,79.8,0.28,0.06,mangrove
Ranjan et al. (2010),Pichavaram_14,India,11.4,79.8,4.61,1.23,mangrove
Ranjan et al. (2010),Pichavaram_15,India,11.4,79.8,5.32,1.25,mangrove
Ranjan et al. (2010),Pichavaram_16,India,11.4,79.8,5.4,1.45,mangrove
Ranjan et al. (2010),Pichavaram_17,India,11.4,79.8,6.27,1.4,mangrove
Ranjan et al. (2010),Pichavaram_18,India,11.4,79.8,6.04,1.69,mangrove
Ranjan et al. (2010),Pichavaram_19,India,11.4,79.8,6.01,1.74,mangrove
Ranjan et al. (2010),Pichavaram_20,India,11.4,79.8,5.97,1.82,mangrove
Ranjan et al. (2010),Pichavaram_21,India,11.4,79.8,6.02,1.72,mangrove
Ranjan et al. (2010),Pichavaram_22,India,11.4,79.8,6.07,1.97,mangrove
Ranjan et al. (2010),Pichavaram_23,India,11.4,79.8,5.92,1.78,mangrove
Ranjan et al. (2010),Pichavaram_24,India,11.4,79.8,5.43,1.83,mangrove
Ranjan et al. (2010),Pichavaram_25,India,11.4,79.8,5.04,1.44,mangrove
Ranjan et al. (2010),Pichavaram_26,India,11.4,79.8,4.52,1.04,mangrove
