study_id,site_id,transect_id,plot_id,plot_radius,species_code,biomass_flag,decay_class,debris_number,plot_density,tree_height,canopy_width,diameter_dbh,diameter_base,diameter_qmd,wood_volume,wood_volume_flag,biomass_decay_corrected,decay_3_wood_volume,decay_3_biomass_g,decay_3_biomass_Mg,decay_3_biomass_aboveground,biomass_aboveground,biomass_aboveground_scaled,biomass_aboveground_carbon,biomass_downed_wood,biomass_belowground,biomass_belowground_scaled,biomass_total,biomass_belowground_carbon,biomass_total_carbon
Morrissette_et_al_2023,Big Creek,1,1,3,Rhizophora mangle,live,NA,NA,353.68,110,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.396735563,0.847677434,0.4068851683,NA,0.8180266921,0.2893196805,1.136997114,0.1128346754,0.5197198437
Morrissette_et_al_2023,Big Creek,1,1,3,Rhizophora mangle,live,NA,NA,353.68,120,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.396735563,0.847677434,0.4068851683,NA,0.8180266921,0.2893196805,1.136997114,0.1128346754,0.5197198437
Morrissette_et_al_2023,Big Creek,1,1,3,Rhizophora mangle,live,NA,NA,353.68,140,34,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456636429,0.5151831722,0.2472879226,NA,0.4319201643,0.1527615237,0.6679446959,0.05957699424,0.3068649169
Morrissette_et_al_2023,Big Creek,1,1,3,Rhizophora mangle,live,NA,NA,353.68,115,50,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456636429,0.5151831722,0.2472879226,NA,0.4319201643,0.1527615237,0.6679446959,0.05957699424,0.3068649169
Morrissette_et_al_2023,Big Creek,1,1,3,Rhizophora mangle,live,NA,NA,353.68,120,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.722,0.25535696,0.1225713408,NA,0.175582361,0.06209996943,0.3174569294,0.02421898808,0.1467903289
Morrissette_et_al_2023,Big Creek,1,1,3,Rhizophora mangle,live,NA,NA,353.68,90,60,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456636429,0.5151831722,0.2472879226,NA,0.4319201643,0.1527615237,0.6679446959,0.05957699424,0.3068649169
Morrissette_et_al_2023,Big Creek,1,1,3,Rhizophora mangle,live,NA,NA,353.68,85,50,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.396735563,0.847677434,0.4068851683,NA,0.8180266921,0.2893196805,1.136997114,0.1128346754,0.5197198437
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,dead,2,NA,64.9612,550,NA,7.5,20,NA,NA,NA,20.076,NA,NA,NA,NA,23.619,1.304,0.6260117,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,2,2,Rhizophora mangle,dead,1,NA,795.7747,NA,NA,4.3,65,NA,NA,NA,8.792,NA,NA,NA,NA,9.017,6.996,3.358204,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,2,NA,NA,debris,NA,2,NA,NA,NA,NA,NA,4.6098,1.0923,diameter <7.6cm,NA,NA,NA,NA,NA,NA,0.7633,0.3817,775.5607,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,500,70,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.80718084,0.896931036,0.4305268973,NA,7.728337065,0.5020420497,1.398973086,0.1957963994,0.6263232967
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,557,90,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.61936647,1.534342389,0.7364843467,NA,15.38568686,0.9994726815,2.53381507,0.3897943458,1.126278692
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,700,150,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.33332932,1.905528272,0.9146535708,NA,20.31378725,1.319607996,3.225136269,0.5146471184,1.429300689
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,290,150,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.05155133,1.042728036,0.5005094575,NA,9.375116223,0.6090188,1.651746836,0.237517332,0.7380267895
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,700,150,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.96051287,1.361620068,0.6535776328,NA,13.20074778,0.8575364168,2.219156485,0.3344392025,0.9880168354
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,600,110,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.38403658,2.103705877,1.009778821,NA,23.06212148,1.498143086,3.601848963,0.5842758035,1.594054625
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,650,200,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4110681,1.715694677,0.823533445,NA,17.75581681,1.153439167,2.869133844,0.4498412751,1.27337472
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,400,50,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.24461358,0.9253471914,0.4441666519,NA,8.043745188,0.5225313399,1.447878531,0.2037872226,0.6479538745
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,560,200,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.05155133,1.042728036,0.5005094575,NA,9.375116223,0.6090188,1.651746836,0.237517332,0.7380267895
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,400,80,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.05155133,1.042728036,0.5005094575,NA,9.375116223,0.6090188,1.651746836,0.237517332,0.7380267895
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,560,80,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4110681,1.715694677,0.823533445,NA,17.75581681,1.153439167,2.869133844,0.4498412751,1.27337472
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,560,70,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.05155133,1.042728036,0.5005094575,NA,9.375116223,0.6090188,1.651746836,0.237517332,0.7380267895
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,700,80,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4110681,1.715694677,0.823533445,NA,17.75581681,1.153439167,2.869133844,0.4498412751,1.27337472
Morrissette_et_al_2023,Big Creek,1,2,2,Rhizophora mangle,live,NA,NA,795.7747,720,90,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.70723336,9.316320112,4.471833654,NA,6.254524444,4.977192313,14.29351242,1.941105002,6.412938656
Morrissette_et_al_2023,Big Creek,1,2,2,Rhizophora mangle,live,NA,NA,795.7747,400,100,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.956151468,6.331304048,3.039025943,NA,3.811132652,3.032802943,9.36410699,1.182793148,4.22181909
Morrissette_et_al_2023,Big Creek,1,2,2,Rhizophora mangle,live,NA,NA,795.7747,200,100,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.956151468,6.331304048,3.039025943,NA,3.811132652,3.032802943,9.36410699,1.182793148,4.22181909
Morrissette_et_al_2023,Big Creek,1,2,2,Rhizophora mangle,live,NA,NA,795.7747,450,110,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.755466882,7.763153731,3.726313791,NA,4.950085099,3.939152484,11.70230622,1.536269469,5.26258326
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,600,150,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.96051287,1.361620068,0.6535776328,NA,13.20074778,0.8575364168,2.219156485,0.3344392025,0.9880168354
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,500,120,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.05155133,1.042728036,0.5005094575,NA,9.375116223,0.6090188,1.651746836,0.237517332,0.7380267895
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,650,170,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.53974863,1.464209119,0.7028203771,NA,14.48964129,0.9412644856,2.405473605,0.3670931494,1.069913526
Morrissette_et_al_2023,Big Creek,1,2,7,Rhizophora mangle,live,NA,NA,64.9612,600,100,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.61936647,1.534342389,0.7364843467,NA,15.38568686,0.9994726815,2.53381507,0.3897943458,1.126278692
Morrissette_et_al_2023,Big Creek,1,3,7,Rhizophora mangle,dead,2,NA,64.9612,550,NA,12,10,NA,NA,NA,45.292,NA,NA,NA,NA,53.284,2.942,1.4122583,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,3,7,Rhizophora mangle,dead,3,NA,64.9612,300,NA,10.5,11,NA,NA,NA,21.144,27233.681,18791.24,0.01879124,1.227151,42.288,1.374,0.5859367,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,3,7,Rhizophora mangle,dead,3,NA,64.9612,600,NA,10,10.5,NA,NA,NA,19.432,49519.354,34168.354,0.03416835,2.2196173,38.863,1.262,1.0654163,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,3,2,Rhizophora mangle,dead,3,NA,795.7747,175,NA,5,4.7,NA,NA,NA,5.854,3234.073,2231.511,0.00223151,1.77577965,11.707,4.658,0.8523742,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,3,7,Rhizophora mangle,dead,2,NA,64.9612,450,NA,6.9,8.3,NA,NA,NA,17.378,NA,NA,NA,NA,20.445,1.129,0.5418751,NA,NA,NA,NA,NA,NA
Morrissette_et_al_2023,Big Creek,1,3,7,Rhizophora mangle,live,NA,NA,64.9612,450,90,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.80718084,0.896931036,0.4305268973,NA,7.728337065,0.5020420497,1.398973086,0.1957963994,0.6263232967
Morrissette_et_al_2023,Big Creek,1,3,7,Rhizophora mangle,live,NA,NA,64.9612,180,80,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.80718084,0.896931036,0.4305268973,NA,7.728337065,0.5020420497,1.398973086,0.1957963994,0.6263232967
