study_id,site_id,transect_id,plot_id,core_id,depth_min,depth_max,soil_organic_matter,soil_total_carbon,soil_inorganic_carbon,soil_organic_carbon,soil_nitrogen,dry_bulk_density,soil_carbon_density_total,soil_carbon_density_inorganic,soil_carbon_density_organic,carbon_stock_total,carbon_stock_inorganic,carbon_stock_organic
Morrissette_et_al_2023,Hicks Caye,1,1,Hicks Caye_1_1_mangrove,0,5,33.9703,19.7378,6.3481,13.3897,0.998,0.3012,0.0594,0.0191,0.0403,29.7249,9.5602,20.1648
Morrissette_et_al_2023,Hicks Caye,1,1,Hicks Caye_1_1_mangrove,5,10,27.8195,17.4667,6.38,11.0867,0.8842,0.409,0.0714,0.0261,0.0453,35.7183,13.0466,22.6716
Morrissette_et_al_2023,Hicks Caye,1,1,Hicks Caye_1_1_mangrove,10,15,27.2168,16.4399,5.8746,10.5653,0.8691,0.31,0.051,0.0182,0.0328,25.4837,9.1063,16.3774
Morrissette_et_al_2023,Hicks Caye,1,1,Hicks Caye_1_1_mangrove,15,20,38.5867,19.475,0,19.475,0.945,0.26,0.0506,0,0.0506,25.319,0,25.319
Morrissette_et_al_2023,Hicks Caye,1,1,Hicks Caye_1_1_mangrove,20,25,45.7097,39.1774,0,39.1774,2.1187,0.2062,0.0808,0,0.0808,40.3972,0,40.3972
Morrissette_et_al_2023,Hicks Caye,1,1,Hicks Caye_1_1_mangrove,25,30,52.9685,24.4161,0,24.4161,1.0982,0.1896,0.0463,0,0.0463,23.1498,0,23.1498
Morrissette_et_al_2023,Hicks Caye,1,1,Hicks Caye_1_1_mangrove,30,35,56.1487,25.795,0,25.795,1.0103,0.1879,0.0485,0,0.0485,24.2404,0,24.2404
Morrissette_et_al_2023,Hicks Caye,1,1,Hicks Caye_1_1_mangrove,35,40,62.3078,28.4127,0,28.4127,0.8853,0.2415,0.0686,0,0.0686,34.3121,0,34.3121
Morrissette_et_al_2023,Hicks Caye,1,1,Hicks Caye_1_1_mangrove,40,45,67.549,32.8478,0,32.8478,0.7456,0.3026,0.0994,0,0.0994,49.6928,0,49.6928
Morrissette_et_al_2023,Hicks Caye,1,1,Hicks Caye_1_1_mangrove,45,50,66.451,32.066,0,32.066,0.768,0.2959,0.0949,0,0.0949,47.4489,0,47.4489
Morrissette_et_al_2023,Hicks Caye,1,1,Hicks Caye_1_1_mangrove,72.5,77.5,13.8945,13.5244,8.6446,4.8798,0.3786,0.4969,0.0672,0.043,0.0242,295.7034,189.0094,106.6941
Morrissette_et_al_2023,Hicks Caye,1,2,Hicks Caye_1_2_mangrove,0,5,58.3295,28.386,0,28.386,1.312,0.1748,0.0496,0,0.0496,24.8115,0,24.8115
Morrissette_et_al_2023,Hicks Caye,1,2,Hicks Caye_1_2_mangrove,5,10,63.3094,30.661,0,30.661,1.335,0.1724,0.0529,0,0.0529,26.4295,0,26.4295
Morrissette_et_al_2023,Hicks Caye,1,2,Hicks Caye_1_2_mangrove,10,15,59.8524,29.0886,0,29.0886,1.4153,0.1717,0.0499,0,0.0499,24.9672,0,24.9672
Morrissette_et_al_2023,Hicks Caye,1,2,Hicks Caye_1_2_mangrove,15,20,55.5094,29.147,0,29.147,1.1477,0.1884,0.0549,0,0.0549,27.4517,0,27.4517
Morrissette_et_al_2023,Hicks Caye,1,2,Hicks Caye_1_2_mangrove,20,25,61.1269,30.6275,0,30.6275,1.4634,0.2083,0.0638,0,0.0638,31.9028,0,31.9028
Morrissette_et_al_2023,Hicks Caye,1,2,Hicks Caye_1_2_mangrove,25,30,68.4868,33.5945,0,33.5945,1.3313,0.178,0.0598,0,0.0598,29.8935,0,29.8935
Morrissette_et_al_2023,Hicks Caye,1,2,Hicks Caye_1_2_mangrove,30,35,64.1396,33.9451,0,33.9451,1.7969,0.1812,0.0615,0,0.0615,30.7582,0,30.7582
Morrissette_et_al_2023,Hicks Caye,1,2,Hicks Caye_1_2_mangrove,35,40,63.0464,30.151,0,30.151,1.491,0.1671,0.0504,0,0.0504,25.198,0,25.198
Morrissette_et_al_2023,Hicks Caye,1,2,Hicks Caye_1_2_mangrove,40,45,62.9222,29.702,0,29.702,1.472,0.1868,0.0555,0,0.0555,27.7404,0,27.7404
Morrissette_et_al_2023,Hicks Caye,1,2,Hicks Caye_1_2_mangrove,45,50,62.6801,33.2201,0,33.2201,1.1963,0.18,0.0598,0,0.0598,29.8919,0,29.8919
Morrissette_et_al_2023,Hicks Caye,1,2,Hicks Caye_1_2_mangrove,116,121,12.7003,10,9.6904,0.3096,0.3886,0.6726,0.0673,0.0652,0.0021,275.7555,267.2176,8.5379
Morrissette_et_al_2023,Hicks Caye,1,2,Hicks Caye_1_2_mangrove,176,181,13.2435,20.139,6.228,13.911,0.0933,0.5384,0.1084,0.0335,0.0749,650.5913,201.1954,449.396
