study_id,bibliography_id,publication_type,bibtype,mgeo_title,ccn_title,author,doi,year,journal,included
Alongi_et_al_2008,Sanderman_2018_data,synthesis dataset,Misc,NA,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,10.7910/dvn/ocyuit,2017,NA,NA
Alongi_et_al_2008,Alongi_et_al_2008_article_oct,synthesis source,Article,NA,"Growth and development of mangrove forests overlying smothered coral reefs, Sulawesi and Sumatra, Indonesia",DM Alongi and LA Trott and {Rachmansyah} and F Tirendi and AD McKinnon and MC Undu,10.3354/meps07661,2008,Marine Ecology Progress Series,NA
Alongi_et_al_2008,Alongi_et_al_2008_article_may,synthesis source,Article,NA,"Benthic microbial metabolism in seagrass meadows along a carbonate gradient in Sulawesi, Indonesia",DM Alongi and LA Trott and MC Undu and F Tirendi,10.3354/ame01191,2008,Aquatic Microbial Ecology,NA
Boschker_et_al_2000,Boschker_et_al_2000_article,synthesis source,Article,NA,Limited coupling of macrophyte production and bacterial carbon cycling in the sediments of Zostera spp. meadows,HTS Boschker and A Wielemaker and BEM Schaub and M Holmer,10.3354/meps203181,2000,Marine Ecology Progress Series,NA
Breithaupt_et_al_2020,Breithaupt_et_al_2020_data,primary dataset,Misc,NA,Dataset: Increasing rates of carbon burial in southwest Florida coastal wetlands,"Breithaupt, Joshua L. and Smoak, Joseph M. and Bianchi, Thomas S. and Vaughn, Derrick and Sanders, Christian J. and Radabaugh, Kara R. and  Michael J. Osland and Laura C. Feher and James C. Lynch and Donald R. Cahoon and Gordon H. Anderson and Kevin R.T. Whelan and Brad E. Rosenheim and Ryan P. Moyer and Lisa G. Chambers",10.25573/data.9894266,2020,NA,NA
Buzzelli_1998,Buzzelli_1998_article,synthesis source,Article,NA,Dynamic Simulation of Littoral Zone Habitats in Lower Chesapeake Bay. I. Ecosystem Characterization Related to Model Development,Christopher P. Buzzelli,10.2307/1353271,1998,Estuaries,NA
De_Falco_et_al_2006,De_Falco_et_al_2006_article,synthesis source,Article,NA,"Sediment Analysis Evidences Two Different Depositional Phenomena Influencing Seagrass Distribution in the Gulf of Oristano (Sardinia, Western Mediterranean)",Giovanni De Falco and Maura Baroli and Ester Murru and Giuseppe Piergallini and Gianluigi Cancemi,10.2112/00129.1,2006,Journal of Coastal Research,NA
Doughty_et_al_2016,Doughty_et_al_2019_data,primary dataset,Misc,NA,Mangroves marching northward: the impacts of rising seas and temperatures on ecosystems at Kennedy Space Center,Cheryl Doughty and {J. Adam Langley} and Wayne Walker and Ilka C. Feller and Ronald Schaub and Samantha Chapman,10.25573/DATA.9695918.V1,2019,NA,NA
Doughty_et_al_2016,Doughty_et_al_2015_article,associated source,Article,Mangrove range expansion rapidly increases coastal wetland carbon storage,Mangrove Range Expansion Rapidly Increases Coastal Wetland Carbon Storage,Cheryl L. Doughty and J. Adam Langley and Wayne S. Walker and Ilka C. Feller and Ronald Schaub and Samantha K. Chapman,10.1007/s12237-015-9993-8,2015,Estuaries and Coasts,yes
Eyre_and_Ferguson_2002,Eyre_and_Ferguson_2002_article,synthesis source,Article,NA,"Comparison of carbon production and decomposition, benthic nutrient fluxes and denitrification in seagrass, phytoplankton, benthic microalgae- and macroalgae-dominated warm-temperate Australian lagoons",BD Eyre and AJP Ferguson,10.3354/meps229043,2002,Marine Ecology Progress Series,NA
Figueiredo_da_Silva_et_al_2009,Figueiredo_da_Silva_et_al_2009_article,synthesis source,Article,NA,"Nutrient retention in the sediments and the submerged aquatic vegetation of the coastal lagoon of the Ria de Aveiro, Portugal",J. Figueiredo {da Silva} and R.W. Duck and J.B. Catarino,10.1016/j.seares.2009.06.007,2009,Journal of Sea Research,NA
Fonseca_et_al_2011,Fonseca_et_al_2011_article,synthesis source,Article,NA,"Meiobenthic communities of seagrass beds (Zostera capricorni) and unvegetated sediments along the coast of New South Wales, Australia",Gustavo Fonseca and Pat Hutchings and Fabiane Gallucci,10.1016/j.ecss.2010.10.003,2011,"Estuarine, Coastal and Shelf Science",NA
Gacia_et_al_2002,Gacia_et_al_2002_article,synthesis source,Article,NA,Carbon and nutrient deposition in a Mediterranean seagrass (Posidonia oceanica) meadow,Esperan̤a Gacia and Carlos M. Duarte and Jack J. Middelburg,10.4319/lo.2002.47.1.0023,2002,Limnology and Oceanography,NA
Gonneea_et_al_2004,Sanderman_2018_data,synthesis dataset,Misc,NA,Global mangrove soil carbon: dataset and spatial maps,Jonathan Sanderman,10.7910/dvn/ocyuit,2017,NA,NA
