study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_unit
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,0,2,0.584,0.0891,801,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,4,6,0.556,NA,681,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,8,10,0.635,0.08439999999999999,941,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,12,14,0.4,NA,713,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,16,18,0.467,0.08869999999999999,764,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,20,22,0.455,NA,838,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,24,26,0.343,0.1065,840,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,28,30,0.442,NA,984,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,32,34,0.667,0.0737,1107,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,36,38,0.756,NA,1087,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,38,40,0.783,0.0593,11278,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,40,42,1.003,NA,1333,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_low,42,44,1.064,0.0525,1427,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,0,2,0.567,0.1056,812,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,4,6,0.594,NA,1048,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,8,10,0.387,0.1257,747,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,12,14,0.339,NA,876,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,16,18,0.558,0.0924,1159,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,20,22,0.54,NA,1168,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,24,26,0.605,0.08,1353,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,26,28,0.917,NA,1741,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,28,30,0.895,0.0852,1791,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,30,32,0.726,0.0756,1373,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,32,34,1.11,NA,1577,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,36,38,1.02,NA,628,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,40,42,0.846,0.0591,577,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_1,42,44,1.1,NA,568,counts_per_hour
Weis_et_al_2001,Tijuana_Estuary,Tijuana_Estuary_East_mid_2,0,2,0.366,0.1444,692,counts_per_hour
