ID	COUNTRYID	SPECID	COMPID	CNUM	C	CITID
1.0	228.0	25.0	100.0	1.0	0.464	100.0
2.0	228.0	5.0	20.0	1.0	0.463	100.0
3.0	228.0	16.0	20.0	1.0	0.459	100.0
4.0	228.0	20.0	20.0	1.0	0.471	100.0
5.0	228.0	50.0	17.0	1.0	0.307	100.0
6.0	228.0	24.0	7.0	1.0	0.39	96.0
7.0	143.0	24.0	100.0	1.0	0.5	173.0
8.0	228.0	24.0	1.0	1.0	0.5	96.0
