study_id,site_id,core_id,genus,species
Buffington_et_al_2020,Miner_Slough,MS-C1,Schoenoplectus,acutus
Buffington_et_al_2020,Miner_Slough,MS-C1,Typha,sp
Buffington_et_al_2020,Miner_Slough,MS-C1,Cornus,sericea
