"","study_id","site_id","core_id","core_latitude","core_longitude"
"1","Trettin_et_al_2017","1001","1001_1",-18.831799,36.240201
"2","Trettin_et_al_2017","1001","1001_2",-18.831799,36.240201
"3","Trettin_et_al_2017","1001","1001_3",-18.831799,36.240201
"4","Trettin_et_al_2017","1001","1001_4",-18.831799,36.240201
"5","Trettin_et_al_2017","1001","1001_5",-18.831799,36.240201
"6","Trettin_et_al_2017","1079","1079_1",-18.840148,36.264355
"7","Trettin_et_al_2017","1079","1079_2",-18.840148,36.264355
"8","Trettin_et_al_2017","1079","1079_3",-18.840148,36.264355
"9","Trettin_et_al_2017","1079","1079_4",-18.840148,36.264355
"10","Trettin_et_al_2017","1079","1079_5",-18.840148,36.264355
"11","Trettin_et_al_2017","1113","1113_1",-18.845148,36.213549
"12","Trettin_et_al_2017","1113","1113_2",-18.845148,36.213549
"13","Trettin_et_al_2017","1113","1113_3",-18.845148,36.213549
"14","Trettin_et_al_2017","1113","1113_4",-18.845148,36.213549
"15","Trettin_et_al_2017","1130","1130_1",-18.845914,36.306805
"16","Trettin_et_al_2017","1130","1130_2",-18.845914,36.306805
"17","Trettin_et_al_2017","1130","1130_3",-18.845914,36.306805
"18","Trettin_et_al_2017","1130","1130_4",-18.845914,36.306805
"19","Trettin_et_al_2017","1130","1130_5",-18.845914,36.306805
"20","Trettin_et_al_2017","1216","1216_1",-18.854252,36.123515
"21","Trettin_et_al_2017","1216","1216_2",-18.854252,36.123515
"22","Trettin_et_al_2017","1216","1216_3",-18.854252,36.123515
"23","Trettin_et_al_2017","1216","1216_4",-18.854252,36.123515
"24","Trettin_et_al_2017","1216","1216_5",-18.854252,36.123515
"25","Trettin_et_al_2017","1219","1219_1",-18.854268,36.237751
"26","Trettin_et_al_2017","1219","1219_2",-18.854268,36.237751
"27","Trettin_et_al_2017","1219","1219_3",-18.854268,36.237751
"28","Trettin_et_al_2017","1219","1219_4",-18.854268,36.237751
"29","Trettin_et_al_2017","1219","1219_5",-18.854268,36.237751
"30","Trettin_et_al_2017","1254","1254_1",-18.860066,36.269428
"31","Trettin_et_al_2017","1254","1254_2",-18.860066,36.269428
"32","Trettin_et_al_2017","1254","1254_3",-18.860066,36.269428
"33","Trettin_et_al_2017","1254","1254_4",-18.860066,36.269428
"34","Trettin_et_al_2017","1254","1254_5",-18.860066,36.269428
"35","Trettin_et_al_2017","1285","1285_1",-18.86529,36.141464
"36","Trettin_et_al_2017","1285","1285_2",-18.86529,36.141464
"37","Trettin_et_al_2017","1285","1285_3",-18.86529,36.141464
"38","Trettin_et_al_2017","1285","1285_4",-18.86529,36.141464
"39","Trettin_et_al_2017","1285","1285_5",-18.86529,36.141464
"40","Trettin_et_al_2017","13","13_1",-18.744,36.112
"41","Trettin_et_al_2017","13","13_2",-18.744,36.112
"42","Trettin_et_al_2017","13","13_3",-18.744,36.112
"43","Trettin_et_al_2017","13","13_4",-18.744,36.112
"44","Trettin_et_al_2017","13","13_5",-18.744,36.112
"45","Trettin_et_al_2017","13","13_6",-18.744,36.112
"46","Trettin_et_al_2017","1305","1305_1",-18.868526,36.282128
"47","Trettin_et_al_2017","1305","1305_4",-18.868526,36.282128
"48","Trettin_et_al_2017","1314","1314_1",-18.870943,36.20356
"49","Trettin_et_al_2017","1314","1314_2",-18.870943,36.20356
"50","Trettin_et_al_2017","1314","1314_3",-18.870943,36.20356
"51","Trettin_et_al_2017","1314","1314_4",-18.870943,36.20356
"52","Trettin_et_al_2017","1314","1314_5",-18.870943,36.20356
"53","Trettin_et_al_2017","1317","1317_1",-18.871772,36.280204
"54","Trettin_et_al_2017","1317","1317_2",-18.871772,36.280204
"55","Trettin_et_al_2017","1317","1317_3",-18.871772,36.280204
"56","Trettin_et_al_2017","1317","1317_4",-18.871772,36.280204
"57","Trettin_et_al_2017","1317","1317_5",-18.871772,36.280204
"58","Trettin_et_al_2017","1359","1359_1",-18.87926,36.152707
"59","Trettin_et_al_2017","1359","1359_2",-18.87926,36.152707
"60","Trettin_et_al_2017","1359","1359_3",-18.87926,36.152707
"61","Trettin_et_al_2017","1359","1359_4",-18.87926,36.152707
"62","Trettin_et_al_2017","1359","1359_5",-18.87926,36.152707
"63","Trettin_et_al_2017","1361","1361_1",-18.881442,36.168942
