"","study_id","site_id","species_code"
"1","Trettin_et_al_2017","1001","Heritiera littoralis"
"2","Trettin_et_al_2017","1079","Bruguiera gymnorrhiza"
"3","Trettin_et_al_2017","1079","Rhizophora mucronata"
"4","Trettin_et_al_2017","1113","Bruguiera gymnorrhiza"
"5","Trettin_et_al_2017","1130","Xylocarpus granatum"
"6","Trettin_et_al_2017","1216","Bruguiera gymnorrhiza"
"7","Trettin_et_al_2017","1219","Xylocarpus granatum"
"8","Trettin_et_al_2017","1254","Avicennia marina"
"9","Trettin_et_al_2017","1254","Rhizophora mucronata"
"10","Trettin_et_al_2017","1285","Avicennia marina"
"11","Trettin_et_al_2017","1285","Xylocarpus granatum"
"12","Trettin_et_al_2017","13","Ceriops tagal"
"13","Trettin_et_al_2017","1305","Xylocarpus granatum"
"14","Trettin_et_al_2017","1314","Avicennia marina"
"15","Trettin_et_al_2017","1317","Avicennia marina"
"16","Trettin_et_al_2017","1359","Rhizophora mucronata"
"17","Trettin_et_al_2017","1361","Ceriops tagal"
"18","Trettin_et_al_2017","1382","Rhizophora mucronata"
"19","Trettin_et_al_2017","15","Ceriops tagal"
"20","Trettin_et_al_2017","16","Xylocarpus granatum"
"21","Trettin_et_al_2017","17","Ceriops tagal"
"22","Trettin_et_al_2017","25","Rhizophora mucronata"
"23","Trettin_et_al_2017","26","Ceriops tagal"
"24","Trettin_et_al_2017","27","Avicennia marina"
"25","Trettin_et_al_2017","29","Avicennia marina"
"26","Trettin_et_al_2017","32B","Sonneratia alba"
"27","Trettin_et_al_2017","35","Xylocarpus granatum"
"28","Trettin_et_al_2017","36","Xylocarpus granatum"
"29","Trettin_et_al_2017","37","Rhizophora mucronata"
"30","Trettin_et_al_2017","806","Xylocarpus granatum"
"31","Trettin_et_al_2017","864","Bruguiera gymnorrhiza"
"32","Trettin_et_al_2017","9001","Heritiera littoralis"
"33","Trettin_et_al_2017","9002","Bruguiera gymnorrhiza"
"34","Trettin_et_al_2017","9002","Heritiera littoralis"
"35","Trettin_et_al_2017","9003","Rhizophora mucronata"
"36","Trettin_et_al_2017","9003","Sonneratia alba"
"37","Trettin_et_al_2017","9004","Heritiera littoralis"
"38","Trettin_et_al_2017","9005","Heritiera littoralis"
"39","Trettin_et_al_2017","9006","Sonneratia alba"
"40","Trettin_et_al_2017","9006","Xylocarpus granatum"
"41","Trettin_et_al_2017","9007","Avicennia marina"
"42","Trettin_et_al_2017","9008","Heritiera littoralis"
"43","Trettin_et_al_2017","9009","Bruguiera gymnorrhiza"
"44","Trettin_et_al_2017","9010","Ceriops tagal"
"45","Trettin_et_al_2017","9011","Rhizophora mucronata"
"46","Trettin_et_al_2017","9012","Ceriops tagal"
"47","Trettin_et_al_2017","9013","Avicennia marina"
"48","Trettin_et_al_2017","9014","Bruguiera gymnorrhiza"
"49","Trettin_et_al_2017","9014","Xylocarpus granatum"
"50","Trettin_et_al_2017","9017","Ceriops tagal"
"51","Trettin_et_al_2017","9018","Avicennia marina"
"52","Trettin_et_al_2017","9019","Ceriops tagal"
"53","Trettin_et_al_2017","9019","Xylocarpus granatum"
"54","Trettin_et_al_2017","9020","Avicennia marina"
"55","Trettin_et_al_2017","9021","Rhizophora mucronata"
"56","Trettin_et_al_2017","9022","Avicennia marina"
"57","Trettin_et_al_2017","9023","Rhizophora mucronata"
"58","Trettin_et_al_2017","9024","Heritiera littoralis"
"59","Trettin_et_al_2017","9025","Sonneratia alba"
"60","Trettin_et_al_2017","9027","Ceriops tagal"
