"","study_id","site_id","site_longitude_max","site_longitude_min","site_latitude_max","site_latitude_min"
"1","Trettin_et_al_2017","1001",36.240201,36.240201,-18.831799,36.240201
"2","Trettin_et_al_2017","1079",36.264355,36.264355,-18.840148,36.264355
"3","Trettin_et_al_2017","1113",36.213549,36.213549,-18.845148,36.213549
"4","Trettin_et_al_2017","1130",36.306805,36.306805,-18.845914,36.306805
"5","Trettin_et_al_2017","1216",36.123515,36.123515,-18.854252,36.123515
"6","Trettin_et_al_2017","1219",36.237751,36.237751,-18.854268,36.237751
"7","Trettin_et_al_2017","1254",36.269428,36.269428,-18.860066,36.269428
"8","Trettin_et_al_2017","1285",36.141464,36.141464,-18.86529,36.141464
"9","Trettin_et_al_2017","13",36.112,36.112,-18.744,36.112
"10","Trettin_et_al_2017","1305",36.282128,36.282128,-18.868526,36.282128
"11","Trettin_et_al_2017","1314",36.20356,36.20356,-18.870943,36.20356
"12","Trettin_et_al_2017","1317",36.280204,36.280204,-18.871772,36.280204
"13","Trettin_et_al_2017","1359",36.152707,36.152707,-18.87926,36.152707
"14","Trettin_et_al_2017","1361",36.168942,36.168942,-18.881442,36.168942
"15","Trettin_et_al_2017","1382",36.174246,36.174246,-18.88302,36.174246
"16","Trettin_et_al_2017","15",36.119,36.119,-18.743,36.119
"17","Trettin_et_al_2017","16",36.128,36.128,-18.743,36.128
"18","Trettin_et_al_2017","17",36.115,36.115,-18.75,36.115
"19","Trettin_et_al_2017","25",36.144,36.144,-18.76,36.144
"20","Trettin_et_al_2017","26",36.139,36.139,-18.762,36.139
"21","Trettin_et_al_2017","27",36.15,36.15,-18.766,36.15
"22","Trettin_et_al_2017","29",36.151,36.151,-18.767,36.151
"23","Trettin_et_al_2017","32B",36.21,36.21,-18.746,36.21
"24","Trettin_et_al_2017","35",36.216,36.216,-18.747,36.216
"25","Trettin_et_al_2017","36",36.223,36.223,-18.746,36.223
"26","Trettin_et_al_2017","37",36.214,36.214,-18.752,36.214
"27","Trettin_et_al_2017","806",36.3035,36.3035,-18.808457,36.3035
"28","Trettin_et_al_2017","864",36.24601,36.24601,-18.818504,36.24601
"29","Trettin_et_al_2017","9001",36.264041,36.264041,-18.831602,36.264041
"30","Trettin_et_al_2017","9002",36.26043,36.26043,-18.850342,36.26043
"31","Trettin_et_al_2017","9003",36.275058,36.275058,-18.875474,36.275058
"32","Trettin_et_al_2017","9004",36.18594,36.18594,-18.833962,36.18594
"33","Trettin_et_al_2017","9005",36.218115,36.218115,-18.824439,36.218115
"34","Trettin_et_al_2017","9006",36.270942,36.270942,-18.870643,36.270942
"35","Trettin_et_al_2017","9007",36.132373,36.132373,-18.822449,36.132373
"36","Trettin_et_al_2017","9008",36.128404,36.128404,-18.812733,36.128404
"37","Trettin_et_al_2017","9009",36.118808,36.118808,-18.845133,36.118808
"38","Trettin_et_al_2017","9010",36.177483,36.177483,-18.891503,36.177483
"39","Trettin_et_al_2017","9011",36.170079,36.170079,-18.884576,36.170079
"40","Trettin_et_al_2017","9012",36.16247,36.16247,-18.895905,36.16247
"41","Trettin_et_al_2017","9013",36.21079,36.21079,-18.873529,36.21079
"42","Trettin_et_al_2017","9014",36.205854,36.205854,-18.881318,36.205854
"43","Trettin_et_al_2017","9017",36.186352,36.186352,-18.869369,36.186352
"44","Trettin_et_al_2017","9018",36.182005,36.182005,-18.865541,36.182005
"45","Trettin_et_al_2017","9019",36.185503,36.185503,-18.881049,36.185503
"46","Trettin_et_al_2017","9020",36.221288,36.221288,-18.864463,36.221288
"47","Trettin_et_al_2017","9021",36.141405,36.141405,-18.868706,36.141405
"48","Trettin_et_al_2017","9022",36.132076,36.132076,-18.84346,36.132076
"49","Trettin_et_al_2017","9023",36.152977,36.152977,-18.88562,36.152977
"50","Trettin_et_al_2017","9024",36.211684,36.211684,-18.823362,36.211684
"51","Trettin_et_al_2017","9025",36.278995,36.278995,-18.851282,36.278995
"52","Trettin_et_al_2017","9027",36.166532,36.166532,-18.860388,36.166532
