"","study_id","site_id","core_id","depth_min","depth_max","dry_bulk_density","fraction_carbon","fraction_nitrogen"
"1","Trettin_et_al_2017","1001","1001_1",2,7,0.668,0.0311,0.0021
"2","Trettin_et_al_2017","1001","1001_1",24,29,0.567,0.0122,0.001
"3","Trettin_et_al_2017","1001","1001_1",35,40,0.584,0.0225,0.0017
"4","Trettin_et_al_2017","1001","1001_1",70,75,0.8,0.0238,0.0017
"5","Trettin_et_al_2017","1001","1001_1",145,150,0.703,0.025,0.0015
"6","Trettin_et_al_2017","1001","1001_1",193,198,0.868,0.0236,0.0014
"7","Trettin_et_al_2017","1001","1001_2",5,10,0.706,0.0314,0.0022
"8","Trettin_et_al_2017","1001","1001_2",22,27,0.76,0.0284,0.0018
"9","Trettin_et_al_2017","1001","1001_2",35,40,0.61,0.0193,0.0011
"10","Trettin_et_al_2017","1001","1001_2",70,75,0.872,0.0215,0.001
"11","Trettin_et_al_2017","1001","1001_2",144,149,0.74,0.0181,0.001
"12","Trettin_et_al_2017","1001","1001_2",185,190,0.607,0.0183,0.001
"13","Trettin_et_al_2017","1001","1001_3",5,10,0.977,0.0181,0.0012
"14","Trettin_et_al_2017","1001","1001_3",20,25,0.646,0.0289,0.0017
"15","Trettin_et_al_2017","1001","1001_3",35,40,0.613,0.0261,0.0015
"16","Trettin_et_al_2017","1001","1001_3",70,75,0.707,0.0235,0.0014
"17","Trettin_et_al_2017","1001","1001_3",145,150,0.903,0.0218,0.0013
"18","Trettin_et_al_2017","1001","1001_3",188,193,0.92,0.0233,0.0013
"19","Trettin_et_al_2017","1001","1001_4",5,10,0.696,0.022,0.0016
"20","Trettin_et_al_2017","1001","1001_4",20,25,0.674,0.0201,0.0014
"21","Trettin_et_al_2017","1001","1001_4",35,40,0.893,0.0148,8e-04
"22","Trettin_et_al_2017","1001","1001_4",70,75,0.696,0.0152,9e-04
"23","Trettin_et_al_2017","1001","1001_4",70,75,0.874,0.021,0.0013
"24","Trettin_et_al_2017","1001","1001_4",145,150,0.707,0.021,0.0012
"25","Trettin_et_al_2017","1001","1001_4",190,195,0.901,0.0126,8e-04
"26","Trettin_et_al_2017","1001","1001_5",5,10,0.874,0.0163,0.0013
"27","Trettin_et_al_2017","1001","1001_5",20,25,0.993,0.015,0.0011
"28","Trettin_et_al_2017","1001","1001_5",35,40,0.923,0.0143,0.001
"29","Trettin_et_al_2017","1001","1001_5",70,75,0.92,0.0219,0.0013
"30","Trettin_et_al_2017","1001","1001_5",140,145,0.653,0.0225,0.0013
"31","Trettin_et_al_2017","1001","1001_5",190,195,0.814,0.0196,0.0012
"32","Trettin_et_al_2017","1079","1079_1",5,10,0.67,0.0244,0.0018
"33","Trettin_et_al_2017","1079","1079_1",20,25,0.675,0.0204,0.0015
"34","Trettin_et_al_2017","1079","1079_1",35,40,0.788,0.0186,0.0013
"35","Trettin_et_al_2017","1079","1079_1",70,75,1.021,0.016,9e-04
"36","Trettin_et_al_2017","1079","1079_1",145,150,1.13,0.0134,8e-04
"37","Trettin_et_al_2017","1079","1079_1",190,195,1.062,0.0145,9e-04
"38","Trettin_et_al_2017","1079","1079_2",5,10,0.595,0.0298,0.002
"39","Trettin_et_al_2017","1079","1079_2",20,25,0.631,0.024,0.0016
"40","Trettin_et_al_2017","1079","1079_2",35,40,0.662,0.025,0.0016
"41","Trettin_et_al_2017","1079","1079_2",70,75,0.826,0.0175,0.0012
"42","Trettin_et_al_2017","1079","1079_2",145,150,0.92,0.0171,9e-04
"43","Trettin_et_al_2017","1079","1079_2",190,195,1.053,0.014,9e-04
"44","Trettin_et_al_2017","1079","1079_3",5,10,0.681,0.0326,0.0022
