MaterialDated,Age,SampleID,Depth,AgeType,ErrorOlder,GeochronType,Delta13C,LabNumber,ErrorYounger,Notes,Infinite,Thickness
bulk organic picked free of roots,30,260773,22,Radiocarbon years BP,30,Carbon-14,,Beta-348404,30,,FALSE,1
bulk organic picked free of roots,220,260774,31,Radiocarbon years BP,30,Carbon-14,,Beta-352945,30,,FALSE,1
bulk organic picked free of roots,1260,260775,37,Radiocarbon years BP,30,Carbon-14,,Beta-348405,30,,FALSE,1
bulk organic picked free of roots,1850,260776,60,Radiocarbon years BP,30,Carbon-14,,Beta-348406,30,,FALSE,1
bulk organic picked free of roots,2180,260777,72,Radiocarbon years BP,30,Carbon-14,,Beta-348407,30,,FALSE,1
bulk organic picked free of roots,2030,260778,77,Radiocarbon years BP,30,Carbon-14,,Beta-344281,30,,FALSE,1
