study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,excess_pb210_activity,excess_pb210_activity_se,total_pb210_activity,total_pb210_activity_se,ra226_activity,ra226_activity_se,c14_age,c14_age_se,c14_material,c14_notes,fraction_modern,fraction_modern_se,delta_c14,delta_c14_se,am241_activity,am241_activity_se
Brown_et_al_2026,Bodega Bay,BOD13-02,151,152,BOD13-02_152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,765,40,marine,BOD13-02 152cm .042mgC,0.9091,0.0041,-90.9,4.1,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,0,1,BOL13-01_1,0.4103,0.393858153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,1,2,BOL13-01_2,0.7205,0.175850104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,2,3,BOL13-01_3,0.7386,0.134714324,3.76,3.39,NA,NA,104.03,24.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,3,4,BOL13-01_4,0.9447,0.08531809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,4,5,BOL13-01_5,1.0956,0.080412559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,5,6,BOL13-01_6,1.1027,0.095764941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,6,7,BOL13-01_7,1.3554,0.110004427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,7,8,BOL13-01_8,1.1041,0.071913776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,8,9,BOL13-01_9,1.7019,0.064281098,3.78,1.9,NA,NA,49.65,13.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12
