study_id,site_id,core_id,year,month,day,latitude,longitude,position_method,elevation,elevation_datum,elevation_method,elevation_notes,salinity_class,vegetation_class,vegetation_method,inundation_class,core_length_flag,carbon_stock_kg_per_m2,fraction_organic_matter_mean,dry_bulk_density_mean,cs137_depth_med,cs137_depth_age_max,cs137_depth_age_min,plum_accretion_rate_yr_cm_mean,plum_accretion_rate_yr_cm_se,plum_accretion_rate_yr_cm_upper_CI,plum_accretion_rate_yr_cm_lower_CI,carbon_accumulation_rate_gC_m2_year_mean,carbon_accumulation_rate_gC_m2_year_se,carbon_accumulation_rate_gC_m2_year_upper_CI,carbon_accumulation_rate_gC_m2_year_lower_CI
Brown_et_al_2026,Bodega Bay,BOD13-02,2013,7,23,38.3156,-123.03665,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,2013,7,22,37.91953333,-122.6884,handheld,1.72522,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,high,not specified,34.20244988554828,0.08783905329591837,1.085080612244898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,2013,7,22,37.91855,-122.6879667,handheld,1.59668,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,high,not specified,31.4122821755669,0.10756461424489797,0.7994377551020408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-03,2013,7,22,37.91853333,-122.6875667,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-04,2013,7,22,37.9177,-122.6885833,handheld,1.58503,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,low,not specified,26.239912294244988,0.09894965335106384,0.8966468085106383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Bolinas Lagoon,BOL13-05,2013,7,22,37.91636667,-122.6879333,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Eureka,ERK13-01,2013,7,24,40.80676667,-124.1380667,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Hookton Slough,HKS16-01,2016,7,19,40.6775833,-124.2176,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,27.347838446239614,0.12780437,0.5699367346938775,26.5,1928.55,1983.878787878788,2.5135431783339515,0.3738398421738949,3.292133325,1.8397033147058832,125.13878012285802,18.750364230681463,166.93401594762696,95.18134800320632
Brown_et_al_2026,Hookton Slough,HKS16-02,2016,7,19,40.67775,-124.2172,handheld,NA,NA,NA,NA,saline,emergent,measurement,low,not specified,29.784992517750034,0.13602184486000002,0.579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Hookton Slough,HKS17-03,2016,7,1,40.67743,-124.21741,other low resolution,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,29.529136703796034,0.14515932033999998,0.558023,26.5,1928.55,1983.878787878788,2.736033239594196,0.39719160818125815,3.594377518518517,2.041842624342105,130.01609140941147,17.000873058171493,168.701348983499,102.11464266669736
Brown_et_al_2026,Jacoby,JCB13-01,2013,7,24,40.84571667,-124.0837,handheld,NA,NA,NA,NA,saline,emergent,measurement,mid,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mission Bay,MB16-01,2016,11,6,32.79546401,-117.229373,handheld,NA,NA,NA,NA,saline,emergent,measurement,high,not specified,24.498379634593057,0.0628953464,1.037182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mission Bay,MB16-02,2016,11,6,32.79454703,-117.2290048,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,29.559717376448393,0.13394770395918368,0.6418816326530612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mission Bay,MB16-03,2016,11,6,32.7945327,-117.2290229,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,25.64260761832884,0.07490648957575757,1.1687242424242423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mission Bay,MB17-05,2017,6,11,32.793113,-117.2308632,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,30.698087191165023,0.0879275970510204,0.9153802040816327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mission Bay,MB17-08,2017,6,11,32.79309609,-117.2307201,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mugu,MGL13-01,2013,1,18,34.10411,-119.09179,handheld,1.41687,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,mid,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mugu,MGL13-05,2013,1,18,34.10286,-119.08872,handheld,1.37897,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,mid,not specified,39.90803002910086,0.059315125418367344,1.582980612244898,27.5,1948.4166666666667,1974.2903225806451,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mugu,MGL13-06,2013,1,18,34.10284,-119.08863,handheld,1.40496,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,mid,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mugu,MGL13-08,2013,1,18,34.10522,-119.08797,handheld,1.58953,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,high,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Mugu,MGL14-10,2014,NA,NA,34.10339,-119.086,other low resolution,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Morro,MOB13-01,2013,3,1,35.341,-120.8367,handheld,1.3985,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,mid,not specified,21.184292139468496,0.08004755566,0.8361350000000001,14.5,1951.4615384615383,1972.375,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Morro,MOB13-02,2013,3,1,35.341,-120.8366,handheld,1.39153,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,mid,not specified,24.17952857015556,0.10083410937,0.7042418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Morro,MOB13-03,2013,3,1,35.3429,-120.836,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Morro,MOB13-04,2013,3,1,35.3446,-120.8342,handheld,1.64559,NAVD88,DEM,Handheld GPS interpolation from Thorne/Freeman DEM,saline,emergent,measurement,mid,not specified,25.358390059004627,0.11324072411458333,0.6681364583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Morro,MOB13-06,2013,3,1,35.3459,-120.8334,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Morro,MOB13-07,2013,3,1,35.3471,-120.8327,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brown_et_al_2026,Morro,MOB13-08,2013,3,1,35.3471,-120.8325,handheld,NA,NA,NA,NA,NA,emergent,measurement,NA,not specified,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
