study_id,site_id,core_id,species_code
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,Salicornia pacifica
Brown_et_al_2026,Bolinas Lagoon,BOL13-01,Distichlis spicata
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,Salicornia pacifica
Brown_et_al_2026,Bolinas Lagoon,BOL13-02,Distichlis spicata
Brown_et_al_2026,Bolinas Lagoon,BOL13-03,Salicornia pacifica
Brown_et_al_2026,Bolinas Lagoon,BOL13-03,Spartina foliosa
Brown_et_al_2026,Bolinas Lagoon,BOL13-04,Salicornia pacifica
Brown_et_al_2026,Bolinas Lagoon,BOL13-04,Spartina foliosa
Brown_et_al_2026,Hookton Slough,HKS16-01,Spartina alterniflora
Brown_et_al_2026,Hookton Slough,HKS16-01,Salicornia pacifica
Brown_et_al_2026,Hookton Slough,HKS16-02,Spartina alterniflora
Brown_et_al_2026,Hookton Slough,HKS16-02,Salicornia pacifica
Brown_et_al_2026,Jacoby,JCB13-01,Salicornia pacifica
Brown_et_al_2026,Jacoby,JCB13-01,Distichlis spicata
Brown_et_al_2026,Mad River High,MRH14-01,Distichlis spicata
Brown_et_al_2026,Mad River High,MRH14-01,Frankenia grandifolia
Brown_et_al_2026,Mad River High,MRH14-02,Distichlis spicata
Brown_et_al_2026,Mad River High,MRH14-02,Frankenia grandifolia
Brown_et_al_2026,Mad River Low,MRL13-01,Spartina alterniflora
Brown_et_al_2026,Mad River Low,MRL14-04,Salicornia pacifica
Brown_et_al_2026,Mad River Low,MRL14-04,Spartina alterniflora
Brown_et_al_2026,Mad River Low,MRL14-05,Salicornia pacifica
Brown_et_al_2026,Mad River Low,MRL14-05,Spartina alterniflora
Brown_et_al_2026,Mad River Low,MRL14-10,Salicornia pacifica
Brown_et_al_2026,Mad River Low,MRL14-10,Spartina alterniflora
Brown_et_al_2026,White Slough,WTS16-01,Salicornia pacifica
Brown_et_al_2026,White Slough,WTS16-02,Salicornia pacifica
Brown_et_al_2026,Eureka,ERK13-01,Spartina alterniflora
Brown_et_al_2026,Mission Bay,MB16-01,Salicornia pacifica
Brown_et_al_2026,Morro,MOB13-01,Salicornia pacifica
Brown_et_al_2026,Morro,MOB13-02,Salicornia pacifica
Brown_et_al_2026,Morro,MOB13-04,Salicornia pacifica
Brown_et_al_2026,Morro,MOB13-09,Salicornia pacifica
Brown_et_al_2026,Mugu,MGL13-01,Salicornia pacifica
Brown_et_al_2026,Mugu,MGL13-05,Salicornia pacifica
Brown_et_al_2026,Mugu,MGL13-06,Salicornia pacifica
Brown_et_al_2026,Mugu,MGL13-08,Distichlis spicata
Brown_et_al_2026,Mugu,MGL13-08,Salicornia pacifica
Brown_et_al_2026,Seal Beach,SB14-01,Spartina foliosa
Brown_et_al_2026,Seal Beach,SB14-02,Spartina foliosa
Brown_et_al_2026,Seal Beach,SB14-04,Salicornia pacifica
Brown_et_al_2026,Seal Beach,SB14-05,Salicornia pacifica
Brown_et_al_2026,Tijuana,TJE12-01,Salicornia pacifica
Brown_et_al_2026,Tijuana,TJE12-01,Spartina foliosa
Brown_et_al_2026,Tijuana,TJE12-03,Salicornia pacifica
Brown_et_al_2026,Tijuana,TJE12-06,Salicornia pacifica
Brown_et_al_2026,Tijuana,TJE12-07,Salicornia pacifica
Brown_et_al_2026,Tijuana,TJE12-07,Jaumea carnosa
Brown_et_al_2026,Tijuana,TJE12-08,Salicornia pacifica
Brown_et_al_2026,Tijuana,TJE12-08,Spartina foliosa
Brown_et_al_2026,Upper Newport,UNB13-01,Salicornia pacifica
Brown_et_al_2026,Upper Newport,UNB13-01,Jaumea carnosa
Brown_et_al_2026,Upper Newport,UNB13-02,Salicornia pacifica
Brown_et_al_2026,Upper Newport,UNB13-02,Spartina foliosa
Brown_et_al_2026,Upper Newport,UNB13-03,Spartina foliosa
Brown_et_al_2026,Upper Newport,UNB13-03,Salicornia pacifica
Brown_et_al_2026,Upper Newport,UNB13-04,Spartina foliosa
Brown_et_al_2026,Upper Newport,UNB13-04,Jaumea carnosa
Brown_et_al_2026,Upper Newport,UNB14-05,Spartina foliosa
Brown_et_al_2026,Upper Newport,UNB14-06,Spartina foliosa
Brown_et_al_2026,Upper Newport,UNB14-07,Salicornia pacifica
Brown_et_al_2026,Upper Newport,UNB14-08,Salicornia pacifica
