Site ID,Date Collected,Depth Interval Code,Bulk Densisty,Percent Organic Matter,Percent TN,Percent TC,137Cs,137Cs error,210Pb total,210Pb supported,210Pb unsupported,210Pb unsupported error
171,20160628,1,0.32,13.9676,0.375,4.631,0.321,0.066,35.813,1.642,34.171,0.891
171,20160628,2,0.4,12.8577,0.3723,4.715,0.217,0.06,32.093,1.496,30.597,0.788
171,20160628,3,0.42,10.6319,0.2879,3.336,0.007,0.047,20.439,1.455,18.984,0.445
171,20160628,4,0.47,12.1665,0.2575,3.27,0.143,0.048,26.276,1.562,24.714,0.643
171,20160628,5,0.54,8.6116,0.2139,2.446,0.052,0.046,29.575,1.458,28.117,0.742
171,20160628,6,0.58,7.318,0.1887,2.022,0.129,0.052,27.032,1.633,25.399,0.684
171,20160628,7,0.75,5.366,0.1343,1.219,0.147,0.049,23.209,1.588,21.621,0.603
171,20160628,8,0.48,10.2628,0.2606,3.167,0.131,0.043,26.408,1.487,24.921,0.666
171,20160628,9,0.39,11.6332,0.3071,3.998,0.299,0.061,28.45,1.563,26.887,0.724
171,20160628,10,0.4,12.2697,0.315,4.275,0.283,0.057,24.377,1.344,23.032,1.058
171,20160628,11,0.44,12.3028,0.2622,5.258,0.329,0.052,19.298,1.178,18.121,0.427
171,20160628,12,0.4,14.9355,0.2605,4.148,0.309,0.06,25.791,0.949,24.842,1.126
171,20160628,13,0.38,15.1747,0.4003,6.023,0.297,0.057,17.961,1.178,16.783,0.402
171,20160628,14,0.34,14.9537,0.345,4.901,0.341,0.053,27.852,1.355,26.497,0.716
171,20160628,15,0.35,13.4017,0.364,4.674,0.341,0.059,27.726,1.289,26.437,0.719
171,20160628,16,0.4,13.5197,0.3631,4.596,0.282,0.062,18.994,1.177,17.817,0.435
171,20160628,17,0.33,12.8553,0.3751,5.271,0.358,0.051,25.207,1.046,24.161,0.642
171,20160628,18,0.4,14.1881,0.2581,3.857,0.349,0.065,22.95,1.265,21.685,0.53
171,20160628,19,0.49,15.5365,0.1906,2.722,0.486,0.053,23.08,1.25,21.83,0.596
