Site,Basin,Marsh_Type,Core_Increment,Moisture,Bulk_Density,Organic_Matter
211,BA,1,1,51.12,0.07,54.1
211,BA,1,2,62.94,0.09,49.82
211,BA,1,3,59.57,0.07,49.28
211,BA,1,5,61.44,0.07,59.48
273,BA,1,1,29.6,0.06,.
273,BA,1,2,39.2,0.06,59.6
273,BA,1,3,58.38,0.06,86.59
273,BA,1,5,58.43,0.07,83.16
327,BA,1,1,45.21,0.06,84.06
327,BA,1,3,52.86,0.06,72.53
327,BA,1,5,60.01,0.07,55.28
331,TE,1,1,73.94,0.08,86.67
331,TE,1,2,44.68,0.07,87.86
331,TE,1,3,78.53,0.08,86.9
331,TE,1,5,76.71,0.08,84.28
367,TE,1,1,49.48,0.06,88.42
367,TE,1,2,55.47,0.06,85.33
367,TE,1,3,58.67,0.07,84.08
367,TE,1,5,42.52,0.06,84.36
3166,BA,1,1,66.05,0.08,67.8
3166,BA,1,2,65.65,0.08,60.82
3166,BA,1,3,64.34,0.07,65.55
3166,BA,1,5,68.19,0.08,68.43
225,BA,2,1,54.84,0.09,41.9
225,BA,2,2,63.37,0.1,37.68
225,BA,2,3,65.48,0.09,45.03
225,BA,2,5,65.84,0.15,28.71
305,TE,2,1,65.05,0.12,20.45
305,TE,2,2,67.36,0.12,21.04
305,TE,2,3,64.7,0.15,14.28
305,TE,2,5,66.36,0.18,13.93
398,TE,2,1,62.42,0.11,39.11
398,TE,2,2,62.27,0.12,27.7
398,TE,2,3,63.49,0.11,26.91
398,TE,2,5,66.46,0.13,26.8
4045,TE,2,1,61.07,0.09,34.41
4045,TE,2,2,67.63,0.09,38.24
4045,TE,2,3,74.54,0.07,58.7
4245,BA,2,1,69.81,0.1,50.13
4245,BA,2,2,69.61,0.1,25.27
4245,BA,2,3,72.75,0.12,35
4245,BA,2,5,70.41,0.09,35.38
BA-01-04,BA,2,1,79.69,0.09,21.24
BA-01-04,BA,2,2,81.09,0.1,85.82
BA-01-04,BA,2,3,76.67,0.09,86.51
BA-01-04,BA,2,5,79.11,0.08,91.26
253,BA,3,1,64.93,0.09,31.44
253,BA,3,2,53.17,0.07,35.89
253,BA,3,3,59.36,0.08,35.11
253,BA,3,5,69.15,0.1,34.82
309,TE,3,1,65.48,0.15,21.11
309,TE,3,2,66.66,0.2,19.19
309,TE,3,3,71.01,0.17,21.54
309,TE,3,5,65.79,0.16,16.66
399,TE,3,1,46.84,0.07,49.15
399,TE,3,2,40.44,0.06,46.5
399,TE,3,3,48.34,0.07,53.68
399,TE,3,5,64.81,0.09,42.74
2825,TE,3,1,63.18,0.09,49.37
2825,TE,3,2,68.29,0.09,42.86
2825,TE,3,3,73.51,0.1,44.21
2825,TE,3,5,76.19,0.1,49.36
3565,BA,3,1,50.5,0.1,32.53
3565,BA,3,2,38.18,0.07,40.5
3565,BA,3,3,56.78,0.09,34.64
3565,BA,3,5,60.01,0.17,18.96
3617,BA,3,1,47.98,0.08,33.69
3617,BA,3,2,48.23,0.08,27.22
3617,BA,3,3,69.79,0.13,37.6
3617,BA,3,5,65.56,0.09,69.06
175,BA,4,1,58.03,0.13,17.97
175,BA,4,2,61.52,0.18,17.54
175,BA,4,3,60.18,0.2,15.22
175,BA,4,5,72.94,0.15,29.31
224,BA,4,1,63.91,0.15,26.11
224,BA,4,2,61.91,0.16,22.32
224,BA,4,3,59.46,0.14,20.84
224,BA,4,5,66.46,0.16,29.73
237,BA,4,1,38.61,0.27,6.77
237,BA,4,2,52.3,0.34,13.2
237,BA,4,3,57.81,0.18,18.02
237,BA,4,5,54.99,0.25,31.08
337,TE,4,1,58.23,0.21,16.03
337,TE,4,2,61.41,0.25,14.76
337,TE,4,3,59.96,0.21,15.13
337,TE,4,5,49.77,0.28,8.25
377,TE,4,1,64.01,0.18,20.51
377,TE,4,2,64.39,0.16,17.7
377,TE,4,3,68.66,0.25,21.23
377,TE,4,5,67.34,0.19,17.94
4455,TE,4,1,61.32,0.12,29.1
4455,TE,4,2,57.92,0.11,32.76
4455,TE,4,3,47.91,0.09,24.91
4455,TE,4,5,53.76,0.11,25.28
