Batch,Site,2014_Habitat Type,Most_Freq_Occ_Habitat_1949to1988,Core Increment (cm),Moisture (percent),Bulk Density (g/cm^3),Organic matter (percent)
1,BA-01-04,2,1,14-Dec,73.53,0.15,92.89
1,BA-01-04,2,1,16-18,71.42,0.14,91.38
1,BA-01-04,2,1,22-24,67.3,0.16,92.25
1,BA-01-04,2,1,34-36,75.02,0.16,88.99
1,BA-01-04,2,1,38-40,70.92,0.19,.
1,BA-01-04,2,1,58-60,77,0.16,81.17
1,BA-01-04,2,1,78-80,79.83,0.21,53.94
1,BA-01-04,2,1,98-100,75.75,0.16,61.87
1,175,4,4,14-Dec,60.05,0.41,13.46
1,175,4,4,16-18,68.1,0.36,19.74
1,175,4,4,22-24,73.72,0.39,29.7
1,175,4,4,38-40,66.5,0.5,15.53
1,175,4,4,58-60,73.8,0.35,29.46
1,175,4,4,78-80,74.89,0.82,13.74
1,175,4,4,98-100,31.75,1.67,3.72
1,211,1,1,14-Dec,58.11,0.13,76.64
1,211,1,1,16-18,67.25,0.15,31.36
1,211,1,1,22-24,68.42,0.15,78.59
1,211,1,1,38-40,74.27,0.2,45.32
1,211,1,1,58-60,77.63,0.21,.
1,211,1,1,78-80,78.35,0.16,87.16
1,211,1,1,98-100,80.15,0.18,73.32
1,224,4,4,14-Dec,70.15,0.26,40.3
1,224,4,4,16-18,72.78,0.33,38.6
1,224,4,4,22-24,67.63,0.21,47.61
1,224,4,4,38-40,55.49,0.22,22.47
1,224,4,4,58-60,78.09,0.26,51.97
1,224,4,4,78-80,80.31,0.18,71.7
1,224,4,4,98-100,75.44,0.19,62.05
1,225,2,3,14-Dec,69.96,0.21,44.99
1,225,2,3,16-18,78.15,0.28,50.47
1,225,2,3,22-24,78.07,0.2,57.9
1,225,2,3,38-40,79.15,0.21,57.33
1,225,2,3,58-60,81.83,0.19,82.46
1,225,2,3,78-80,84.15,0.2,80.24
1,225,2,3,98-100,84.27,0.25,74.7
1,237,4,4,14-Dec,47.48,0.56,13.34
1,237,4,4,16-18,51.9,0.45,13.93
1,237,4,4,22-24,63.96,0.29,31.61
1,237,4,4,38-40,64.04,0.56,17.48
1,237,4,4,58-60,62.04,0.72,13.61
1,237,4,4,78-80,50.01,0.88,7.98
1,237,4,4,98-100,45.38,0.61,7.83
1,253,3,3,14-Dec,70.1,0.26,29.09
1,253,3,3,16-18,75.69,0.32,32.64
1,253,3,3,22-24,77.18,0.32,39.06
1,253,3,3,38-40,65.49,0.42,18.49
1,253,3,3,58-60,78.89,0.3,46.91
1,253,3,3,78-80,80.83,0.26,52.71
1,253,3,3,98-100,75.07,0.45,25.51
1,273,1,1,14-Dec,64.82,0.12,.
1,273,1,1,16-18,65.76,0.13,88.5
1,273,1,1,20-22,50.39,0.12,86.07
1,273,1,1,60-62,71.8,0.14,82.98
1,273,1,1,78-80,81,0.16,94.23
1,273,1,1,98-100,42.82,0.12,.
1,305,2,2,14-Dec,72.68,0.29,20.55
1,305,2,2,16-18,63.35,0.41,12.82
1,305,2,2,22-24,61.5,0.57,10.28
1,305,2,2,38-40,52.51,0.83,7.56
1,305,2,2,58-60,77.73,0.41,31.37
1,305,2,2,78-80,64.02,0.51,17.48
1,305,2,2,98-100,67.94,0.54,24.52
1,309,3,3,14-Dec,69.84,0.31,23.1
1,309,3,3,16-18,67.25,0.41,17.51
1,309,3,3,22-24,70.87,0.4,22.83
1,309,3,3,38-40,66.93,0.56,17.46
1,309,3,3,58-60,61.94,0.49,15.62
1,309,3,3,78-80,75.32,0.41,36.26
1,309,3,3,98-100,58.89,0.57,13.04
1,327,1,1,14-Dec,61.04,0.13,68.28
1,327,1,1,16-18,71.79,0.15,64.74
1,327,1,1,22-24,65.39,0.14,54.04
1,327,1,1,38-40,80.77,0.17,65.99
1,327,1,1,58-60,62.18,0.14,73.93
1,327,1,1,78-80,67.06,0.14,61
1,327,1,1,98-100,79.6,0.16,79.76
1,331,1,1,14-Dec,77.03,0.15,80.89
1,331,1,1,16-18,79.23,0.16,76.14
1,331,1,1,22-24,79.61,0.17,73.95
1,331,1,1,38-40,75.11,0.15,74.95
1,331,1,1,58-60,66.68,0.14,78.82
1,331,1,1,78-80,24.84,0.74,40.75
1,331,1,1,98-100,79.82,0.23,45.37
1,337,4,4,14-Dec,62.16,0.36,15.45
1,337,4,4,16-18,68.53,0.45,19.4
1,337,4,4,22-24,68.15,0.36,20.98
1,337,4,4,38-40,50.44,0.93,6.67
1,337,4,4,58-60,66.59,0.43,18.15
1,337,4,4,78-80,78.75,0.3,41.17
1,337,4,4,98-100,71.9,0.38,25.37
1,367,1,1,14-Dec,37.08,0.12,84.66
1,367,1,1,16-18,53.06,0.13,77.31
1,367,1,1,20-22,67.5,0.15,.
1,367,1,1,38-40,72.45,0.16,61.03
1,367,1,1,58-60,74.83,0.27,29.56
1,367,1,1,78-80,81.78,0.22,61.03
1,367,1,1,98-100,73.74,0.24,32.91
1,377,4,4,14-Dec,58.75,0.26,17.77
1,377,4,4,16-18,58.2,0.56,11.1
1,377,4,4,22-24,54.56,0.63,10.84
1,377,4,4,38-40,67.77,0.49,18.61
1,377,4,4,58-60,66.68,0.55,16.51
1,377,4,4,78-80,62.29,0.62,12.01
1,377,4,4,98-100,54.94,0.56,10.22
1,398,2,3,14-Dec,67.16,0.4,19.62
1,398,2,3,16-18,72.82,0.26,36.55
1,398,2,3,22-24,71.06,0.34,27.68
1,398,2,3,38-40,73.55,0.35,31.12
1,398,2,3,56-58,77.59,0.27,.
1,398,2,3,78-80,81.23,0.27,64.61
1,398,2,3,98-100,72.34,0.26,44.41
1,399,3,3,14-Dec,61.89,0.15,45.82
1,399,3,3,16-18,68.59,0.22,31.11
1,399,3,3,22-24,75.41,0.25,34.27
1,399,3,3,38-40,75.16,0.3,32.91
1,399,3,3,58-60,75.62,0.31,36.31
1,399,3,3,78-80,83.12,0.23,71.22
1,399,3,3,98-100,77.88,0.24,56.11
1,2825,3,1,14-Dec,77.08,0.17,56.7
1,2825,3,1,16-18,78.8,0.21,66.55
1,2825,3,1,22-24,79.99,0.16,68.57
1,2825,3,1,38-40,83.26,0.18,77.14
1,2825,3,1,58-60,82.5,0.2,79.49
1,2825,3,1,78-80,83.12,0.19,81.55
1,2825,3,1,98-100,84.5,0.22,80.29
2,3166,1,1,14-Dec,54.48,0.13,87.93
2,3166,1,1,16-18,74.19,0.14,83.39
2,3166,1,1,20-22,85.21,0.18,82.52
2,3166,1,1,38-40,87.55,0.27,70.54
2,3166,1,1,40-42,87.47,0.23,.
2,3166,1,1,46-48,87.06,0.24,68.03
2,3166,1,1,52-54,85.48,0.34,68.96
2,3166,1,1,60-62,69.76,0.56,19.43
2,3166,1,1,78-80,74.22,0.74,28.86
2,3166,1,1,98-100,50.65,1.78,8.33
1,3565,3,3,14-Dec,64.82,0.31,24.3
1,3565,3,3,16-18,68.86,0.3,27.93
1,3565,3,3,22-24,72.66,0.3,30.91
1,3565,3,3,38-40,77.34,0.24,42.23
1,3565,3,3,58-60,82.97,0.21,75.34
1,3565,3,3,78-80,81.79,0.21,77.21
1,3565,3,3,98-100,73.7,0.2,65.21
1,3617,3,3,14-Dec,73.64,0.2,64.34
1,3617,3,3,16-18,73.49,0.22,53.01
1,3617,3,3,22-24,73.38,0.28,41.29
1,3617,3,3,38-40,49.97,0.76,10.4
1,3617,3,3,58-60,76.43,0.27,50.16
1,3617,3,3,78-80,81.17,0.21,68.61
1,3617,3,3,98-100,79.37,0.24,56.48
1,4045,2,3,12-Oct,70.79,0.29,.
1,4045,2,3,14-16,78.28,0.18,.
1,4045,2,3,18-20,72.09,0.14,.
1,4045,2,3,22-24,75.62,0.23,39.84
1,4045,2,3,38-40,79.41,0.28,41.48
1,4045,2,3,58-60,57.45,0.8,15.04
1,4045,2,3,78-80,39.28,1.07,9.37
1,4045,2,3,98-100,50.45,0.86,.
2,4245,2,3,14-Dec,72.78,0.41,25.44
2,4245,2,3,16-18,78.45,0.41,36.16
2,4245,2,3,20-22,82.15,0.47,38.2
2,4245,2,3,38-40,82.64,0.5,41.77
2,4245,2,3,60-62,71.43,0.83,24.94
2,4245,2,3,78-80,85.66,0.52,67.09
2,4245,2,3,82-84,86.82,0.34,69.22
2,4245,2,3,86-88,87.87,0.47,74.82
2,4245,2,3,90-92,88.02,0.41,76.46
2,4245,2,3,98-100,87.57,0.36,78.58
1,4455,4,4,14-Dec,58.62,0.43,20.02
