study_id,site_id,plot_center_latitude,plot_center_longitude,year,month,day,stand_age,field_or_manipulation_code,habitat,dominant_species,mean_height,aboveground_biomass,aboveground_biomass_se,belowground_biomass,belowground_biomass_se,plant_plot_detail_present,soil_core_present
Dontis_et_al_2020,Mangrove_Bay,27.84256,-82.630324,2017,3,10,29,field,mangrove,Avivennia germinans,15.971698113207546,61.6,4.9,66.5,0.1,no,no
Dontis_et_al_2020,Perico_Preserve2,27.501934,-82.677041,2017,2,10,4,field,marsh,Cyperus esculentus,58.96,1.1,0.1,18,0.1,no,no
Dontis_et_al_2020,Perico_Preserve2,27.501934,-82.677041,2017,2,10,4,field,marsh,Cyperus rotundus,12.63934426229508,1.1,0.1,18,0.1,no,no
Dontis_et_al_2020,Perico_Preserve2,27.501934,-82.677041,2017,2,10,4,field,marsh,Dichanthelium species,8,1.1,0.1,18,0.1,no,no
Dontis_et_al_2020,Perico_Preserve,27.501934,-82.677041,2017,2,10,7,field,marsh,Distichlis spicata,19.067307692307693,0.3,0,32.4,0.1,no,no
Dontis_et_al_2020,Perico_Preserve2,27.501934,-82.677041,2017,2,10,4,field,marsh,Panicum species,20.27358490566037,1.1,0.1,18,0.1,no,no
Dontis_et_al_2020,Mangrove_Bay,27.84256,-82.630324,2017,3,10,29,field,mangrove,Schinus terebinthifolius,5.4523809523809526,61.6,4.9,66.5,0.1,no,no
Dontis_et_al_2020,Perico_Preserve2,27.501934,-82.677041,2017,2,10,4,field,marsh,Scoparia dulcis,36.05405405405405,1.1,0.1,18,0.1,no,no
Dontis_et_al_2020,Clam_Bayou,27.739043,-82.691578,2017,1,27,9,field,mangrove,Seutera angustifola,66.325,10.8,1,17.7,0,no,no
Dontis_et_al_2020,Perico_Preserve2,27.501934,-82.677041,2017,2,10,4,field,marsh,Spartina bakeri,52.79545454545455,1.1,0.1,18,0.1,no,no
Dontis_et_al_2020,Clam_Bayou,27.739043,-82.691578,2017,1,27,9,field,mangrove,Suaeda linearis,44.7037037037037,10.8,1,17.7,0,no,no
Dontis_et_al_2020,Harbor_Palms,28.038868,-82.695301,2017,3,3,26,field,mangrove,Triglochin striata,11.829545454545457,47,4.7,69.1,0.1,no,no
Dontis_et_al_2020,Bishop_Harbor,27.600538,-82.550515,2017,2,17,11,field,mangrove,Vigna luteola,65.29411764705883,61.2,7.3,91.3,0.1,no,no
Dontis_et_al_2020,EG_Simmons_Park_Mangroves,NA,NA,NA,NA,NA,30,field,NA,NA,NA,105.8,11.7,66.2,0.1,no,no
Dontis_et_al_2020,Schultz_Preserve,NA,NA,NA,NA,NA,16,field,NA,NA,NA,26.4,1.9,57.5,0.1,no,no
Dontis_et_al_2020,Cockroach_Bay,NA,NA,NA,NA,NA,15,field,NA,NA,NA,34.5,3.6,43.1,0.1,no,no
Dontis_et_al_2020,Rock_Ponds,NA,NA,NA,NA,NA,4,field,NA,NA,NA,1.5,0.1,50.1,0,no,no
